position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,4.076623,-4.065803,-0.996046,0.972567,-0.377072,0.38213,2.826823,-2.97633,0.690778,-0.270105,0.401874,-0.030724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,3.810526,-3.792924,-0.831322,0.802217,-0.514196,0.519378,2.991166,-3.13739,0.718729,-0.311335,0.407373,-0.052053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,3.455628,-3.433594,-0.605058,0.57302,-0.691161,0.695485,3.204658,-3.343406,0.753173,-0.364956,0.413193,-0.080325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,3.196919,-3.16979,-0.434469,0.399006,-0.815762,0.819585,3.348832,-3.482445,0.773394,-0.401001,0.415903,-0.099651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,2.943465,-2.912083,-0.263041,0.225137,-0.932689,0.935024,3.475174,-3.601938,0.788928,-0.43025,0.41259,-0.11769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,2.616821,-2.584789,-0.040013,0.00276,-1.06839,1.072015,3.602514,-3.721351,0.794939,-0.467263,0.407161,-0.137472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,2.383676,-2.350216,0.125425,-0.162616,-1.157724,1.160771,3.662071,-3.772129,0.788129,-0.484951,0.396263,-0.14919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,2.161275,-2.130066,0.289852,-0.323723,-1.235755,1.236366,3.684318,-3.781482,0.768953,-0.492955,0.379211,-0.157157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,1.918597,-1.889502,0.468736,-0.499467,-1.303038,1.303719,3.652485,-3.736571,0.728153,-0.490793,0.35097,-0.161759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,1.694391,-1.673511,0.64326,-0.666411,-1.348695,1.349823,3.555162,-3.623167,0.666928,-0.474783,0.313071,-0.160683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,1.520145,-1.507037,0.789155,-0.805135,-1.373384,1.374272,3.425484,-3.477854,0.604116,-0.454204,0.275928,-0.156995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
