position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.552021,0.541075,0.548641,-0.524891,0.447122,-0.452241,-0.310694,0.461977,-0.280285,-0.14584,-0.218231,-0.156496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,-0.510503,0.494869,0.518783,-0.491309,0.472512,-0.477352,-0.33043,0.477214,-0.277922,-0.134622,-0.211914,-0.147021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,-0.454957,0.433579,0.479357,-0.447722,0.503165,-0.507952,-0.355105,0.496081,-0.273205,-0.119767,-0.202988,-0.134451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,-0.416174,0.389894,0.447223,-0.412269,0.527279,-0.531375,-0.371875,0.507285,-0.26931,-0.108131,-0.195389,-0.124359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,-0.377019,0.347459,0.41486,-0.378119,0.54869,-0.552674,-0.385038,0.51479,-0.262691,-0.096687,-0.186971,-0.114352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,-0.32411,0.291544,0.372616,-0.334548,0.572278,-0.578024,-0.395769,0.51883,-0.249409,-0.080562,-0.173484,-0.10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,-0.289415,0.256862,0.33922,-0.302534,0.590388,-0.59377,-0.400822,0.512266,-0.236794,-0.06938,-0.161454,-0.089679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,-0.254325,0.223017,0.305596,-0.271186,0.605236,-0.607664,-0.398781,0.49904,-0.21987,-0.057533,-0.147435,-0.078394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,-0.216395,0.187049,0.267822,-0.236801,0.618952,-0.619652,-0.388252,0.473059,-0.194515,-0.043594,-0.1283,-0.064634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,-0.179512,0.158186,0.22839,-0.204838,0.627896,-0.629138,-0.366605,0.435056,-0.16253,-0.028935,-0.105557,-0.049807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,-0.15104,0.137334,0.194889,-0.178526,0.633177,-0.634008,-0.341277,0.393515,-0.131772,-0.01614,-0.084377,-0.036625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.56,-0.125599,0.120374,0.159673,-0.151708,0.637696,-0.636572,-0.311142,0.345008,-0.099689,-0.002798,-0.062574,-0.02299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
