position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,0.081707,-0.081707,0.385048,-0.385048,0.390222,-0.390222,0.06553,-0.065529,0.007641,-0.007645,0.003121,-0.003124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,0.079999,-0.079982,0.380461,-0.38048,0.395244,-0.395223,0.06525,-0.065295,0.007659,-0.007656,0.003144,-0.003129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,0.077543,-0.07755,0.373949,-0.373946,0.401775,-0.401782,0.065122,-0.06512,0.007706,-0.007689,0.003194,-0.003167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,0.075595,-0.075532,0.368197,-0.368232,0.407081,-0.407064,0.065102,-0.065091,0.007778,-0.007964,0.00332,-0.003231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,0.073612,-0.073617,0.362226,-0.362222,0.41208,-0.412083,0.066172,-0.066174,0.007846,-0.007815,0.003209,-0.003219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,0.070733,-0.07079,0.352567,-0.352518,0.419353,-0.419387,0.06817,-0.068112,0.008038,-0.008025,0.003299,-0.003304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,0.068399,-0.068389,0.343672,-0.343682,0.425337,-0.425339,0.070572,-0.070582,0.008259,-0.008232,0.003377,-0.003354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,0.065813,-0.065803,0.333272,-0.333283,0.431646,-0.431642,0.073974,-0.073993,0.008553,-0.008522,0.003472,-0.003445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,0.062464,-0.062461,0.318821,-0.318824,0.439412,-0.439408,0.079315,-0.079328,0.00898,-0.008952,0.003601,-0.003576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,0.058387,-0.059024,0.301549,-0.301048,0.447693,-0.447865,0.086274,-0.085968,0.00954,-0.009419,0.003786,-0.003724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
