position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.795345,-0.793079,0.334737,0.328013,-0.614349,-0.606719,4.622867,4.606681,-15.135085,-15.086838,-13.267859,-13.203153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,-0.884458,-0.838048,0.376262,0.355306,-0.600459,-0.585803,4.3452,4.313162,-14.352897,-14.303856,-12.492476,-12.432695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,-0.997587,-0.892174,0.418994,0.384584,-0.584771,-0.565425,3.989451,3.934628,-13.316832,-13.267088,-11.467174,-11.414606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,-1.08269,-0.938941,0.453271,0.403642,-0.57271,-0.545334,3.722845,3.655996,-12.552368,-12.502535,-10.71382,-10.665719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,-1.171897,-0.994978,0.487551,0.427921,-0.553955,-0.52208,3.458812,3.379038,-11.805645,-11.756173,-9.979361,-9.936401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,-1.278048,-1.064339,0.522928,0.452082,-0.539528,-0.502774,3.133005,3.040118,-10.841307,-10.793369,-9.038484,-9.002153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,-1.35621,-1.125478,0.548412,0.472663,-0.523971,-0.485269,2.895511,2.795939,-10.150897,-10.104877,-8.370319,-8.339026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,-1.429655,-1.19052,0.571161,0.493205,-0.509,-0.469596,2.670883,2.568139,-9.493141,-9.450082,-7.740095,-7.713788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,-1.506421,-1.271308,0.594237,0.51761,-0.494207,-0.455558,2.428284,2.326982,-8.773378,-8.735177,-7.060274,-7.039838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,-1.573647,-1.358266,0.614469,0.544916,-0.483856,-0.448457,2.210263,2.116011,-8.109983,-8.078153,-6.446293,-6.431479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,-1.631327,-1.444417,0.632898,0.572015,-0.46877,-0.437244,2.032741,1.949149,-7.586047,-7.560807,-5.971238,-5.961139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.56,-1.691146,-1.539242,0.655884,0.606999,-0.460303,-0.433809,1.876406,1.804812,-7.097862,-7.079738,-5.537751,-5.532541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.25,-1.782334,-1.685725,0.699264,0.665779,-0.453916,-0.43347,1.69249,1.63856,-6.499309,-6.492131,-5.019872,-5.018133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.94,-1.870782,-1.818582,0.741745,0.725178,-0.443641,-0.431223,1.565182,1.530108,-6.085031,-6.083954,-4.671124,-4.67681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.62,-1.977167,-1.969592,0.799854,0.797533,-0.438485,-0.432281,1.454246,1.435266,-5.697511,-5.70334,-4.353226,-4.363045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
