position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.410593,-0.410293,-0.501719,-0.500858,-0.430609,-0.431516,-0.689082,-0.689326,-0.170989,-0.171014,-0.097675,-0.097684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,-0.406495,-0.406205,-0.505485,-0.504502,-0.432691,-0.433641,-0.686183,-0.686431,-0.169938,-0.169981,-0.097085,-0.097078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,-0.400626,-0.40043,-0.510485,-0.509773,-0.435743,-0.436333,-0.682577,-0.683057,-0.168974,-0.16899,-0.096504,-0.096497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,-0.395545,-0.395263,-0.515012,-0.513966,-0.437687,-0.438493,-0.680344,-0.680774,-0.168707,-0.16879,-0.096401,-0.096427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,-0.389242,-0.388864,-0.520447,-0.518937,-0.4397,-0.440813,-0.678197,-0.678655,-0.169238,-0.169297,-0.096706,-0.096679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,-0.377836,-0.377557,-0.528991,-0.527922,-0.442826,-0.443545,-0.676036,-0.676465,-0.171203,-0.171251,-0.097887,-0.097928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,-0.366251,-0.366424,-0.537296,-0.536494,-0.44502,-0.445514,-0.675215,-0.675308,-0.173928,-0.174057,-0.099554,-0.099633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,-0.352682,-0.351998,-0.547418,-0.546162,-0.447402,-0.448215,-0.67397,-0.674166,-0.177975,-0.178219,-0.101995,-0.102121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,-0.332867,-0.332665,-0.561023,-0.560061,-0.449168,-0.449639,-0.674657,-0.675053,-0.185038,-0.185077,-0.106149,-0.106162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,-0.308205,-0.307928,-0.577954,-0.576709,-0.450927,-0.451475,-0.675647,-0.676203,-0.194286,-0.194257,-0.111704,-0.111514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,-0.283455,-0.283222,-0.593087,-0.592976,-0.455049,-0.45494,-0.674287,-0.675074,-0.20358,-0.20364,-0.117365,-0.117382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.56,-0.258539,-0.258094,-0.609972,-0.60948,-0.454538,-0.454863,-0.676955,-0.67672,-0.215802,-0.215723,-0.124504,-0.124494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.25,-0.22453,-0.224152,-0.631406,-0.631129,-0.455908,-0.456071,-0.677092,-0.676996,-0.234478,-0.234515,-0.135752,-0.135929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
