position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.244578,-0.25384,1.231927,1.196443,-1.274708,-1.238382,0.169766,0.18281,0.973173,0.971927,0.80841,0.805446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,-0.308087,-0.337929,1.281469,1.246922,-1.185389,-1.152377,-0.161218,-0.126241,1.523526,1.519308,1.258831,1.253696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,-0.383466,-0.443758,1.328542,1.306783,-1.063371,-1.042111,-0.582917,-0.530812,2.245483,2.237677,1.84748,1.84098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,-0.44933,-0.528536,1.371456,1.348571,-0.971634,-0.951893,-0.890401,-0.821068,2.763546,2.74889,2.268486,2.261021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,-0.524523,-0.623122,1.417114,1.394235,-0.866971,-0.849584,-1.195493,-1.113311,3.247004,3.233084,2.659979,2.654085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,-0.612557,-0.728389,1.454137,1.445319,-0.748131,-0.743239,-1.5327,-1.440147,3.833376,3.818656,3.132387,3.12214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,-0.687442,-0.811331,1.487909,1.481547,-0.65913,-0.658599,-1.760331,-1.660824,4.213689,4.198201,3.433615,3.423672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,-0.771673,-0.898917,1.522804,1.51933,-0.563315,-0.566869,-1.965726,-1.864325,4.531131,4.515567,3.681262,3.671528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,-0.868383,-0.992328,1.562177,1.559227,-0.473009,-0.47887,-2.142112,-2.043269,4.815517,4.800877,3.894167,3.88549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,-0.973311,-1.084014,1.601215,1.603839,-0.387303,-0.396758,-2.265163,-2.17875,4.994003,4.981142,4.015054,4.008248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
