position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.263732,-0.275996,1.276571,1.241429,-1.284744,-1.247665,0.45678,0.46673,0.16797,0.168953,0.099656,0.100009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,-0.374443,-0.388363,1.381128,1.341459,-1.201927,-1.164407,0.335697,0.353454,0.129723,0.133256,0.078426,0.075714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,-0.530182,-0.540771,1.514188,1.473931,-1.090177,-1.055839,0.191704,0.209192,0.085416,0.087199,0.049278,0.049591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,-0.655535,-0.667994,1.619679,1.572225,-1.001833,-0.964751,0.078352,0.099274,0.059681,0.061439,0.034244,0.034877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,-0.797763,-0.809613,1.731282,1.676601,-0.901208,-0.862069,-0.043898,-0.021605,0.042149,0.043807,0.027015,0.026554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,-0.976483,-0.987457,1.854877,1.808609,-0.784503,-0.754689,-0.168832,-0.14664,0.045661,0.047184,0.03256,0.033994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,-1.126549,-1.137695,1.958199,1.908089,-0.695398,-0.665886,-0.264646,-0.241276,0.067295,0.069337,0.051929,0.05257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,-1.293311,-1.303884,2.063371,2.014285,-0.596383,-0.569864,-0.365305,-0.343402,0.107534,0.109477,0.084837,0.085499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,-1.494535,-1.504637,2.186486,2.138454,-0.501667,-0.477678,-0.457224,-0.437613,0.188502,0.190379,0.146795,0.147424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,-1.713722,-1.7236,2.311827,2.271921,-0.411832,-0.392269,-0.538988,-0.528184,0.304475,0.305936,0.233456,0.233602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,-1.919562,-1.925808,2.415962,2.386341,-0.313969,-0.300442,-0.62911,-0.622382,0.421686,0.422776,0.320626,0.321035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.56,-2.116807,-2.120258,2.518384,2.495925,-0.245305,-0.234758,-0.69234,-0.692176,0.558955,0.559655,0.418979,0.418879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.25,-2.367912,-2.367656,2.64174,2.632807,-0.165935,-0.159667,-0.767825,-0.777136,0.757473,0.75762,0.554541,0.554812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.94,-2.546466,-2.545586,2.711413,2.717662,-0.08543,-0.082918,-0.83996,-0.858114,0.906427,0.905542,0.652418,0.652147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.62,-2.699656,-2.697557,2.770031,2.785927,-0.02256,-0.021023,-0.900433,-0.926228,1.054631,1.05277,0.743202,0.742305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.31,-2.85545,-2.850484,2.815713,2.846502,0.051241,0.050309,-0.976099,-1.00877,1.239985,1.237221,0.843653,0.842635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.934623,-2.927518,2.817198,2.858009,0.11538,0.115036,-1.0352,-1.075997,1.36062,1.356406,0.896339,0.894982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,-2.9468,-2.937112,2.726039,2.778834,0.236943,0.238842,-1.153024,-1.200568,1.570214,1.562629,0.934935,0.93271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.801931,-2.791442,2.533753,2.592684,0.35117,0.359153,-1.238219,-1.293938,1.663906,1.653233,0.889845,0.886182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,-2.482133,-2.471967,2.219187,2.276425,0.469631,0.484722,-1.309405,-1.368214,1.680329,1.66633,0.778558,0.77415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-2.12802,-2.11929,1.854461,1.909477,0.60262,0.620848,-1.352421,-1.406168,1.610695,1.598644,0.653476,0.652177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,-1.647682,-1.640554,1.379826,1.421173,0.744608,0.773117,-1.362537,-1.418268,1.441604,1.424174,0.514137,0.508606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-1.23335,-1.228372,0.89482,0.928417,0.906579,0.936638,-1.344822,-1.391942,1.212553,1.19555,0.415122,0.409132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,-0.76611,-0.762823,0.308002,0.327228,1.089853,1.126409,-1.285566,-1.330409,0.864435,0.850993,0.361951,0.357781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,-0.43784,-0.436031,-0.24478,-0.2346,1.28251,1.318828,-1.195835,-1.232972,0.477271,0.469482,0.385746,0.383411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
