position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,1.138806,1.138806,-1.070383,-1.070383,-0.651571,-0.651571,0.960746,0.960746,0.182773,0.182773,0.087822,0.087822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.69,1.072872,1.072965,-0.951081,-0.951244,-0.720153,-0.720012,1.006112,1.006091,0.197715,0.19771,0.095365,0.095371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.38,0.964241,0.964212,-0.799983,-0.799987,-0.792029,-0.792054,1.065656,1.065744,0.216949,0.216995,0.105024,0.105029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.06,0.883959,0.883714,-0.678613,-0.678117,-0.850852,-0.851184,1.097938,1.097903,0.2282,0.228269,0.1106,0.110678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.75,0.800046,0.80005,-0.557245,-0.557247,-0.904377,-0.904375,1.119972,1.120004,0.23661,0.236615,0.114834,0.11485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.44,0.688464,0.68845,-0.416407,-0.416407,-0.954934,-0.954949,1.141185,1.1412,0.244118,0.244109,0.11849,0.118479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.12,0.612624,0.612943,-0.306242,-0.30647,-0.991202,-0.991353,1.13157,1.132772,0.243091,0.242373,0.117299,0.11736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.81,0.54294,0.542551,-0.202401,-0.202274,-1.016359,-1.016382,1.105529,1.105411,0.236345,0.236342,0.114299,0.11431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.5,0.473291,0.473297,-0.099634,-0.099619,-1.034618,-1.034618,1.069536,1.069555,0.225003,0.225005,0.108289,0.10829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-21.19,0.417586,0.417576,-0.00897,-0.008885,-1.040979,-1.041016,1.01774,1.017712,0.207625,0.207628,0.099212,0.099186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.88,0.37819,0.377462,0.073854,0.061328,-1.03846,-1.0314,0.951888,0.948659,0.188204,0.187517,0.093277,0.089913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.56,0.353519,0.354203,0.130599,0.137574,-1.026845,-1.031187,0.88066,0.88456,0.167708,0.168871,0.075928,0.079545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.25,0.330159,0.323955,0.204671,0.193517,-1.016369,-1.009041,0.810985,0.802973,0.154174,0.153631,0.064715,0.075478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.94,0.308115,0.311376,0.261431,0.255445,-0.998276,-0.997226,0.732766,0.736809,0.137854,0.137031,0.064844,0.065279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.62,0.310402,0.308284,0.304392,0.312958,-0.98541,-0.987662,0.664212,0.66187,0.133962,0.13381,0.067057,0.05627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.31,0.304224,0.303881,0.35802,0.360772,-0.96821,-0.971524,0.584631,0.592252,0.142078,0.141413,0.065384,0.066788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.309815,0.30981,0.411202,0.411178,-0.966551,-0.966552,0.522346,0.52232,0.157999,0.157996,0.074637,0.074636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0.331015,0.332003,0.525791,0.523562,-0.981269,-0.980589,0.393504,0.393387,0.242628,0.242136,0.119808,0.119797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.375858,0.380019,0.654913,0.656202,-1.019366,-1.022159,0.267702,0.272706,0.346758,0.34846,0.175014,0.17715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0.439334,0.439345,0.809111,0.810909,-1.076595,-1.076996,0.134039,0.133841,0.501911,0.501533,0.255763,0.259245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.520798,0.533871,0.968799,0.964562,-1.127477,-1.130947,-0.017625,-0.010099,0.649867,0.654952,0.384288,0.347446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0.602911,0.605154,1.150879,1.150818,-1.176901,-1.176303,-0.15925,-0.160154,0.811343,0.808821,0.415989,0.417392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.688416,0.671642,1.29492,1.328248,-1.183507,-1.197317,-0.313141,-0.301154,0.92866,0.929528,0.504312,0.478157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
