position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_23,bga_24,bga_00
-102,0.337613,0.337729,-0.961861,-0.961871,0.335399,0.335332,0.576796,0.576792,0.140676,0.140676,0,0,0,0,0,0,0
-95.5,0.407458,0.407811,-0.973534,-0.972666,0.163284,0.160715,0.726139,0.725704,0.186971,0.183565,0,0,0,0,0,0,0
-89,0.484196,0.484972,-0.989616,-0.987518,-0.015211,-0.020452,0.901915,0.900951,0.239594,0.232544,0,0,0,0,0,0,0
-82.5,0.566823,0.567644,-1.000628,-0.997587,-0.179733,-0.18617,1.038251,1.037069,0.278838,0.26924,0,0,0,0,0,0,0
-76,0.652467,0.652953,-1.006512,-1.002925,-0.351416,-0.357542,1.186883,1.184549,0.316912,0.305182,0,0,0,0,0,0,0
-69.5,0.729726,0.730915,-0.990954,-0.98641,-0.506164,-0.513285,1.287734,1.286358,0.338647,0.327131,0,0,0,0,0,0,0
-63,0.792894,0.793937,-0.951821,-0.947516,-0.661493,-0.667273,1.383214,1.38208,0.350358,0.340463,0,0,0,0,0,0,0
-56.5,0.833232,0.834004,-0.882845,-0.879664,-0.793923,-0.797561,1.428968,1.428211,0.344053,0.337515,0,0,0,0,0,0,0
-50,0.836954,0.837183,-0.776303,-0.7756,-0.909993,-0.910729,1.447592,1.44737,0.317197,0.317175,0,0,0,0,0,0,0
-43.5,0.812781,0.809733,-0.644353,-0.647054,-0.994901,-0.992418,1.415853,1.417033,0.273324,0.282329,0,0,0,0,0,0,0
-37,0.738977,0.737764,-0.477317,-0.483711,-1.043248,-1.038733,1.341398,1.341945,0.211914,0.230075,0,0,0,0,0,0,0
-30.5,0.658749,0.657126,-0.310774,-0.319453,-1.067883,-1.062694,1.237354,1.237577,0.156089,0.182478,0,0,0,0,0,0,0
-24,0.540413,0.538337,-0.124581,-0.135606,-1.059349,-1.053663,1.104984,1.104832,0.105907,0.139321,0,0,0,0,0,0,0
-17.5,0.434009,0.432004,0.04573,0.035167,-1.041408,-1.03668,0.965864,0.964702,0.081438,0.117031,0,0,0,0,0,0,0
-11,0.300305,0.298668,0.224615,0.215937,-1.004521,-1.001071,0.818315,0.816442,0.094772,0.126612,0,0,0,0,0,0,0
-4.5,0.196817,0.195793,0.384662,0.379405,-0.979076,-0.977087,0.679705,0.67768,0.146202,0.167903,0,0,0,0,0,0,0
2,0.085113,0.085194,0.55008,0.550533,-0.95737,-0.957374,0.539596,0.539091,0.271683,0.271628,0,0,0,0,0,0,0
8.5,-0.002973,-0.00146,0.709851,0.717413,-0.954984,-0.957245,0.382027,0.385724,0.464015,0.431212,0.137838,0.124653,0,0,0,0,0
