position,bga_03,bga_04,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,2.47796,-2.458207,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,-0.528527,0.518505,0
2,2.425958,-2.429452,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,-0.515767,0.517554,0
106,2.445415,-2.445436,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,-0.529508,0.529524,0
188,2.170022,-2.165803,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,-0.515704,0.513278,0
248,2.177204,-2.1765,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,-0.527569,0.52716,0
308,2.156591,-2.167464,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,-0.522216,0.528632,0
368,2.160093,-2.173797,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,-0.522656,0.530778,0
428,2.173462,-2.162012,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,-0.530468,0.523666,0
488,2.18126,-2.179347,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,-0.530479,0.529343,0
548,2.1834,-2.182211,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,-0.530759,0.530053,0
608,2.164376,-2.173874,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,-0.524395,0.530058,0
668,2.146275,-2.147493,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,-0.521345,0.522064,0
728,2.180002,-2.177445,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,-0.530075,0.528551,0
788,2.15161,-2.16157,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,-0.521082,0.527016,0
848,2.178923,-2.171422,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,-0.530737,0.526277,0
908,2.176362,-2.158682,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,-0.531914,0.521401,0
968,2.196378,-2.195242,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,-0.533795,0.533124,0
