position,bga_03,bga_04,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,0.067525,-0.067525,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0.318345,-0.318345,0
2,0.067831,-0.067834,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0.318735,-0.318735,0
106,0.069616,-0.069614,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0.321499,-0.321498,0
188,0.076857,-0.076858,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0.323854,-0.323854,0
248,0.079244,-0.079243,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0.3271,-0.3271,0
308,0.079841,-0.079842,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0.328533,-0.328533,0
368,0.079987,-0.079987,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0.329072,-0.329072,0
428,0.080059,-0.080058,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0.329268,-0.329268,0
488,0.080052,-0.080051,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0.329369,-0.329369,0
548,0.080049,-0.080048,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0.329426,-0.329426,0
