position,bga_03,bga_04,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
-51,-0.17795,-0.17795,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,-0.35072,0
2,-0.180562,-0.180562,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,-0.351766,-0.351772,0
106,-0.186938,-0.186938,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,-0.35481,-0.354807,0
188,-0.210484,-0.210484,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,-0.366309,-0.36631,0
248,-0.216173,-0.216173,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,-0.368919,-0.368916,0
308,-0.218318,-0.218319,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,-0.369883,-0.369885,0
368,-0.219602,-0.219602,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,-0.370465,-0.370467,0
428,-0.220388,-0.220388,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,-0.370837,-0.370834,0
488,-0.220899,-0.220899,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,-0.371062,-0.371059,0
548,-0.221202,-0.221202,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,-0.371201,-0.371198,0
608,-0.22145,-0.221451,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,-0.37135,-0.371352,0
668,-0.221574,-0.221575,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,-0.371422,-0.371429,0
728,-0.221587,-0.221587,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,-0.371467,-0.371465,0
788,-0.22153,-0.22153,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,-0.371507,-0.371512,0
848,-0.221356,-0.221355,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,-0.371541,-0.371533,0
908,-0.220996,-0.220996,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,-0.371543,-0.37154,0
968,-0.220389,-0.220389,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,-0.371465,-0.371461,0
1028,-0.219225,-0.219225,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,-0.371163,-0.371155,0
1088,-0.21701,-0.217009,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,-0.370378,-0.370371,0
1148,-0.213066,-0.213066,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,-0.368725,-0.368727,0
