position,BGA_03,BGA_04,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
53,0,0,1.0053,1.0053,2.0402,2.0402,-1.4683,-1.4683,-0.194,-0.194,1.0852,1.0852,-1.8787,-1.8787,0.0437,0.0437,0.7531,0.7531,0.4062,0.4062,0.1857,0.1857,0.0878,0.0878,0.0454,0.0454,0.025,0.025,0
54,0,0,1.0354,1.0352,2.0709,2.072,-1.4729,-1.4729,-0.2225,-0.2228,1.1326,1.133,-1.8793,-1.879,0.0307,0.0305,0.743,0.7417,0.3918,0.3906,0.1729,0.1729,0.0786,0.0794,0.0391,0.0398,0.0213,0.0207,0
55,0,0,1.0658,1.0665,2.1025,2.1049,-1.4788,-1.4773,-0.2509,-0.2526,1.1806,1.181,-1.8803,-1.8792,0.018,0.0174,0.7328,0.7304,0.3772,0.3757,0.1601,0.1606,0.0697,0.0713,0.0334,0.0342,0.0176,0.0168,0
56,0,0,1.0961,1.0983,2.1347,2.1381,-1.4843,-1.4814,-0.2795,-0.2829,1.2287,1.2292,-1.8812,-1.8794,0.0052,0.0042,0.7226,0.7197,0.3623,0.3615,0.1473,0.1486,0.0614,0.0634,0.0283,0.0285,0.0139,0.0132,0
57,0,0,1.125,1.1283,2.1657,2.1686,-1.4857,-1.4855,-0.3098,-0.3116,1.2754,1.2781,-1.8806,-1.8808,-0.0087,-0.0102,0.7129,0.7119,0.3463,0.3493,0.1347,0.1369,0.0537,0.0547,0.0237,0.0223,0.0093,0.0103,0
58,0,0,1.1523,1.156,2.1944,2.1963,-1.4851,-1.4869,-0.341,-0.3396,1.3218,1.3264,-1.8797,-1.8812,-0.0222,-0.0255,0.7034,0.7053,0.3308,0.3362,0.1224,0.1256,0.0459,0.0456,0.0182,0.0169,0.0055,0.0078,0
59,0,0,1.1782,1.1813,2.22,2.2214,-1.4809,-1.4872,-0.3724,-0.3677,1.3682,1.3737,-1.8784,-1.8803,-0.0352,-0.0409,0.6942,0.699,0.3163,0.3214,0.1102,0.1145,0.0376,0.0363,0.0114,0.012,0.0024,0.0052,0
60,0,0,1.2045,1.2045,2.2412,2.244,-1.476,-1.4829,-0.4027,-0.3976,1.4158,1.4198,-1.8773,-1.878,-0.0478,-0.0535,0.6857,0.6899,0.3034,0.3044,0.098,0.1023,0.0286,0.027,0.0033,0.0057,-0.0004,0.0012,0
61,0,0,1.228,1.2262,2.2588,2.2619,-1.4691,-1.4747,-0.4323,-0.4282,1.4634,1.466,-1.8761,-1.8759,-0.0612,-0.0652,0.6784,0.6799,0.2909,0.2889,0.0862,0.0893,0.0192,0.0182,-0.0037,-0.002,-0.0041,-0.004,0
62,0,0,1.2478,1.2462,2.2728,2.2751,-1.4594,-1.4624,-0.4613,-0.4592,1.5106,1.5126,-1.875,-1.8748,-0.0754,-0.0769,0.6721,0.6705,0.2786,0.2758,0.0749,0.0762,0.0096,0.01,-0.0094,-0.0104,-0.0092,-0.0101,0
63,0,0,1.2625,1.2633,2.2834,2.2842,-1.4459,-1.4465,-0.4901,-0.49,1.5577,1.56,-1.875,-1.8752,-0.09,-0.0908,0.6654,0.6647,0.267,0.2654,0.0642,0.0643,0.0004,0.0017,-0.0144,-0.0167,-0.0143,-0.0152,0
64,0,0,1.2742,1.2769,2.2853,2.286,-1.4284,-1.4272,-0.519,-0.5202,1.6057,1.6067,-1.8754,-1.8756,-0.1042,-0.1049,0.6584,0.6599,0.2559,0.2552,0.0536,0.053,-0.0082,-0.0066,-0.0194,-0.0216,-0.0191,-0.0197,0
65,0,0,1.2836,1.2872,2.2841,2.286,-1.4064,-1.4045,-0.5483,-0.5499,1.6543,1.6527,-1.8763,-1.8758,-0.1184,-0.1189,0.6517,0.6555,0.2453,0.2447,0.0433,0.0422,-0.016,-0.0149,-0.0246,-0.0257,-0.0233,-0.0239,0
66,0,0,1.2916,1.2947,2.2752,2.2778,-1.3799,-1.3784,-0.5777,-0.5789,1.7017,1.6987,-1.8762,-1.8755,-0.1335,-0.1333,0.6469,0.6505,0.2347,0.2344,0.0334,0.0321,-0.0234,-0.0225,-0.0297,-0.0303,-0.0272,-0.0279,0
67,0,0,1.2942,1.2961,2.2596,2.262,-1.3488,-1.3479,-0.6067,-0.6074,1.7481,1.7453,-1.876,-1.8752,-0.1496,-0.1492,0.6444,0.6467,0.2249,0.2248,0.0239,0.0229,-0.0303,-0.0298,-0.0348,-0.035,-0.0309,-0.0315,0
68,0,0,1.2947,1.2955,2.2364,2.2374,-1.3127,-1.3123,-0.6351,-0.6354,1.7937,1.7925,-1.8757,-1.8751,-0.1666,-0.1668,0.6432,0.6441,0.2161,0.2161,0.0148,0.0144,-0.0368,-0.0366,-0.0397,-0.0398,-0.0343,-0.0346,0
69,0,0,1.2895,1.2894,2.205,2.2054,-1.2713,-1.272,-0.6631,-0.6627,1.8394,1.8395,-1.8755,-1.875,-0.1842,-0.1852,0.6424,0.6424,0.2084,0.2084,0.0064,0.0063,-0.043,-0.0429,-0.044,-0.0444,-0.0373,-0.0375,0
70,0,0,1.2798,1.279,2.1656,2.166,-1.2253,-1.2273,-0.6906,-0.6895,1.8847,1.8862,-1.8749,-1.8751,-0.2034,-0.2041,0.6421,0.6422,0.2019,0.2022,-0.0011,-0.0011,-0.0487,-0.0487,-0.0479,-0.0485,-0.0399,-0.0401,0
71,0,0,1.2653,1.2642,2.1183,2.119,-1.1749,-1.1779,-0.7175,-0.7158,1.9297,1.9324,-1.8727,-1.8752,-0.2247,-0.2238,0.642,0.6427,0.1967,0.197,-0.0077,-0.0077,-0.0541,-0.0541,-0.0515,-0.0522,-0.0423,-0.0425,0
72,0,0,1.2466,1.2462,2.0657,2.0656,-1.1219,-1.1239,-0.7435,-0.7424,1.9751,1.9782,-1.8703,-1.8744,-0.2474,-0.2448,0.6431,0.6448,0.1926,0.1918,-0.0138,-0.0136,-0.059,-0.0592,-0.0547,-0.0552,-0.045,-0.0446,0
73,0,0,1.2239,1.2243,2.0074,2.0064,-1.0659,-1.066,-0.7687,-0.7688,2.0199,2.0228,-1.867,-1.8721,-0.2714,-0.2675,0.6455,0.6473,0.1891,0.1871,-0.019,-0.0189,-0.063,-0.0634,-0.0574,-0.0577,-0.0474,-0.0462,0
74,0,0,1.1974,1.1982,1.9431,1.9414,-1.0068,-1.0046,-0.793,-0.7945,2.063,2.0656,-1.8622,-1.8667,-0.2966,-0.2923,0.6493,0.6496,0.1865,0.1839,-0.0232,-0.0232,-0.0664,-0.0669,-0.0597,-0.06,-0.0493,-0.0475,0
