position,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_31,BGA_32,BGA_33,BGA_34
368,0.915058,0.915049,0.201206,0.201193,-1.771743,-1.771738,0.823906,0.823901,0.681895,0.681901,-1.692388,-1.692394,0.116473,0.116491,0.719917,0.719929,0.386746,0.386749,0.178507,0.178508
369.5,0.900545,0.901141,0.251707,0.252025,-1.767345,-1.767784,0.738793,0.739431,0.759229,0.757834,-1.681802,-1.681677,0.047902,0.048742,0.734834,0.734853,0.404253,0.405329,0.189216,0.189034
371,0.88795,0.888581,0.301702,0.300538,-1.763483,-1.761955,0.654674,0.652657,0.832937,0.834647,-1.6685,-1.669277,-0.01846,-0.018714,0.747591,0.748782,0.421153,0.421207,0.198856,0.198734
372.5,0.875796,0.875505,0.350576,0.351538,-1.75857,-1.758678,0.569489,0.569359,0.907467,0.905976,-1.654559,-1.654089,-0.087144,-0.086368,0.762183,0.761571,0.438375,0.438643,0.208476,0.208471
374,0.863846,0.863371,0.400851,0.401544,-1.755078,-1.754588,0.485535,0.484742,0.978991,0.977723,-1.63817,-1.638447,-0.15579,-0.154444,0.775281,0.776238,0.455115,0.454834,0.217865,0.2179
375.5,0.852503,0.852064,0.447146,0.447148,-1.743293,-1.744103,0.397411,0.398586,1.047737,1.048052,-1.619189,-1.619485,-0.221493,-0.222103,0.785499,0.786798,0.470386,0.470894,0.226869,0.22731
377,0.840263,0.842221,0.496603,0.494487,-1.736167,-1.736931,0.311771,0.313652,1.114838,1.115824,-1.598268,-1.598787,-0.291425,-0.291823,0.798792,0.7987,0.487877,0.487911,0.236607,0.236604
378.5,0.830251,0.830918,0.541315,0.541279,-1.72462,-1.72459,0.226131,0.226298,1.18016,1.178864,-1.574982,-1.57275,-0.36113,-0.362639,0.811283,0.809665,0.504235,0.503797,0.245566,0.245597
380,0.823399,0.823071,0.587088,0.586835,-1.715431,-1.715142,0.139603,0.139413,1.242276,1.242426,-1.546926,-1.546241,-0.431163,-0.432131,0.820455,0.820712,0.520618,0.519866,0.254557,0.254504
381.5,0.813384,0.813129,0.628918,0.628062,-1.69629,-1.69562,0.052673,0.052244,1.298163,1.298649,-1.513105,-1.512919,-0.50264,-0.503379,0.829671,0.830286,0.53604,0.536227,0.263131,0.263124
383,0.807807,0.807786,0.669254,0.669211,-1.679481,-1.679466,-0.034354,-0.034369,1.351657,1.351641,-1.475496,-1.475494,-0.574924,-0.57491,0.838619,0.838629,0.551701,0.551705,0.271411,0.271412
384.5,0.801191,0.802903,0.706509,0.7061,-1.65636,-1.656545,-0.120439,-0.120692,1.398187,1.39941,-1.432187,-1.433424,-0.649116,-0.648136,0.847028,0.846749,0.567824,0.567821,0.280109,0.279639
386,0.798815,0.798717,0.742352,0.742276,-1.634061,-1.633494,-0.206566,-0.207005,1.443029,1.442389,-1.386842,-1.386288,-0.720651,-0.720989,0.853189,0.85342,0.582815,0.582641,0.287127,0.287197
387.5,0.794436,0.794406,0.774894,0.773869,-1.604086,-1.603972,-0.292242,-0.291529,1.481146,1.480409,-1.33675,-1.336235,-0.793513,-0.793879,0.858553,0.858617,0.597965,0.597958,0.294501,0.294567
389,0.791435,0.793098,0.803298,0.807355,-1.574698,-1.574716,-0.373657,-0.376181,1.511531,1.511436,-1.279828,-1.278914,-0.864583,-0.866022,0.860004,0.861943,0.612672,0.612553,0.301442,0.301436
390.5,0.788937,0.791321,0.831863,0.831575,-1.538338,-1.53925,-0.458428,-0.457899,1.53943,1.540008,-1.221775,-1.221316,-0.936579,-0.937524,0.864346,0.864064,0.625155,0.626429,0.30725,0.307212
392,0.788616,0.788922,0.856592,0.856105,-1.50105,-1.501494,-0.540064,-0.539844,1.561189,1.562517,-1.15865,-1.159186,-1.005562,-1.004433,0.864999,0.862058,0.636912,0.636881,0.312414,0.312334
393.5,0.786079,0.785475,0.877833,0.876416,-1.458334,-1.456936,-0.619819,-0.621329,1.579212,1.581489,-1.094646,-1.095784,-1.07286,-1.072808,0.861155,0.861921,0.64936,0.649115,0.317536,0.317571
395,0.782213,0.782405,0.895874,0.896458,-1.411952,-1.411835,-0.699067,-0.699622,1.592128,1.592331,-1.026828,-1.026471,-1.135636,-1.135955,0.856541,0.856341,0.657756,0.657625,0.320696,0.320644
396.5,0.776646,0.776717,0.911744,0.911753,-1.360771,-1.360111,-0.776997,-0.778124,1.600862,1.602111,-0.957373,-0.958067,-1.197698,-1.196959,0.849803,0.848707,0.666411,0.666587,0.324243,0.32423
398,0.771513,0.77153,0.92482,0.924859,-1.306808,-1.306818,-0.853906,-0.853907,1.604942,1.604994,-0.885354,-0.885356,-1.253732,-1.253745,0.838609,0.838621,0.672763,0.672768,0.326066,0.326068
399.5,0.761541,0.761801,0.933479,0.934198,-1.245944,-1.246425,-0.927796,-0.928221,1.60382,1.60515,-0.812682,-0.812262,-1.308578,-1.309147,0.826463,0.82576,0.679393,0.679105,0.328257,0.328951
401,0.752525,0.752677,0.940645,0.939957,-1.183985,-1.183478,-1.001601,-1.001814,1.600213,1.600228,-0.737574,-0.737975,-1.356954,-1.35655,0.809766,0.809795,0.682639,0.682541,0.328755,0.328761
402.5,0.739487,0.739096,0.94269,0.942814,-1.115564,-1.115179,-1.071602,-1.072187,1.589783,1.590476,-0.660684,-0.661515,-1.402699,-1.402737,0.790638,0.791796,0.685601,0.686102,0.329714,0.329793
404,0.726654,0.726391,0.944155,0.94371,-1.046481,-1.04619,-1.140812,-1.141078,1.576519,1.5771,-0.583374,-0.583804,-1.444559,-1.444359,0.769654,0.769816,0.688385,0.688212,0.33031,0.330165
405.5,0.710645,0.71068,0.941196,0.941506,-0.972624,-0.973385,-1.206406,-1.206099,1.55816,1.558766,-0.504891,-0.505365,-1.484046,-1.484106,0.745834,0.746394,0.691012,0.691148,0.331299,0.331326
407,0.694741,0.694674,0.937371,0.937773,-0.899091,-0.899628,-1.269673,-1.269069,1.535349,1.534783,-0.424965,-0.424865,-1.517699,-1.517265,0.719787,0.719118,0.691783,0.691432,0.331516,0.331538
408.5,0.676463,0.676401,0.929716,0.931339,-0.822478,-0.822902,-1.327554,-1.327752,1.506341,1.506567,-0.343467,-0.344004,-1.550452,-1.550523,0.690359,0.691297,0.693971,0.694034,0.333125,0.333437
410,0.65821,0.657902,0.922753,0.922389,-0.746347,-0.745678,-1.383989,-1.38443,1.473428,1.473732,-0.261344,-0.262002,-1.577405,-1.576825,0.65924,0.659005,0.694797,0.694763,0.334416,0.334459
411.5,0.638146,0.638073,0.912165,0.912672,-0.668072,-0.668044,-1.435297,-1.434979,1.436224,1.434917,-0.179431,-0.178466,-1.603611,-1.603787,0.625488,0.625076,0.697751,0.697651,0.337696,0.337919
413,0.618836,0.618826,0.901206,0.901179,-0.590963,-0.590966,-1.482557,-1.482534,1.39231,1.392244,-0.09531,-0.095333,-1.624666,-1.624637,0.589158,0.589115,0.699114,0.699092,0.340483,0.340476
414.5,0.598405,0.598312,0.890305,0.888479,-0.514192,-0.514096,-1.525722,-1.525172,1.344707,1.344693,-0.010699,-0.011497,-1.64529,-1.645145,0.550566,0.551278,0.702231,0.702707,0.345496,0.345733
416,0.578348,0.578495,0.875631,0.875689,-0.43802,-0.438036,-1.562658,-1.562572,1.290703,1.290583,0.073546,0.073376,-1.659119,-1.658812,0.5093,0.50893,0.70512,0.70534,0.350257,0.350112
417.5,0.558017,0.558199,0.862082,0.861609,-0.362252,-0.363253,-1.597257,-1.595528,1.234961,1.23319,0.158197,0.158566,-1.674769,-1.675073,0.46624,0.466822,0.71033,0.710767,0.357195,0.357188
419,0.538732,0.538548,0.848945,0.848059,-0.289798,-0.290519,-1.625756,-1.625086,1.172743,1.17282,0.241978,0.242424,-1.68389,-1.684081,0.420562,0.420187,0.71545,0.7157,0.364428,0.364174
420.5,0.518943,0.520074,0.834402,0.832763,-0.217655,-0.218183,-1.650325,-1.650322,1.107769,1.109429,0.327537,0.326089,-1.696419,-1.694962,0.3741,0.372604,0.72362,0.723428,0.373063,0.373383
422,0.500293,0.499894,0.81845,0.819905,-0.147095,-0.146857,-1.672412,-1.673266,1.041257,1.041779,0.409178,0.409633,-1.699022,-1.699898,0.323965,0.324871,0.728394,0.728538,0.382094,0.381798
