position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
53,1.0053,1.0053,2.0402,2.0402,-1.4683,-1.4683,-0.194,-0.194,1.0852,1.0852,-1.8787,-1.8787,0.0437,0.0437,0.7531,0.7531,0.4062,0.4062,0.1857,0.1857,0.0878,0.0878,0.0454,0.0454,0.025,0.025,0
54.5,1.0505,1.0506,2.0865,2.0882,-1.4755,-1.4751,-0.2368,-0.2375,1.1565,1.157,-1.8797,-1.8791,0.0243,0.0239,0.7379,0.7361,0.3845,0.3831,0.1665,0.1667,0.0741,0.0753,0.0362,0.037,0.0194,0.0187,0
56,1.0961,1.0983,2.1347,2.1381,-1.4843,-1.4814,-0.2795,-0.2829,1.2287,1.2292,-1.8812,-1.8794,0.0052,0.0042,0.7226,0.7197,0.3623,0.3615,0.1473,0.1486,0.0614,0.0634,0.0283,0.0285,0.0139,0.0132,0
57.5,1.1389,1.1425,2.1804,2.1828,-1.4859,-1.4866,-0.3253,-0.3257,1.2986,1.3024,-1.8802,-1.8813,-0.0156,-0.0177,0.7082,0.7084,0.3384,0.343,0.1285,0.1312,0.0499,0.0502,0.0212,0.0194,0.0072,0.009,0
59,1.1782,1.1813,2.22,2.2214,-1.4809,-1.4872,-0.3724,-0.3677,1.3682,1.3737,-1.8784,-1.8803,-0.0352,-0.0409,0.6942,0.699,0.3163,0.3214,0.1102,0.1145,0.0376,0.0363,0.0114,0.012,0.0024,0.0052,0
60.5,1.2167,1.2155,2.2504,2.2536,-1.4729,-1.4792,-0.4176,-0.4128,1.4397,1.4428,-1.8768,-1.8768,-0.0543,-0.0594,0.6818,0.685,0.2972,0.2962,0.092,0.0959,0.024,0.0225,-0.0005,0.0021,-0.002,-0.0012,0
62,1.2478,1.2462,2.2728,2.2751,-1.4594,-1.4624,-0.4613,-0.4592,1.5106,1.5126,-1.875,-1.8748,-0.0754,-0.0769,0.6721,0.6705,0.2786,0.2758,0.0749,0.0762,0.0096,0.01,-0.0094,-0.0104,-0.0092,-0.0101,0
63.5,1.2686,1.2705,2.2855,2.286,-1.4377,-1.4372,-0.5045,-0.5052,1.5815,1.5835,-1.8751,-1.8754,-0.0972,-0.098,0.662,0.6622,0.2614,0.2604,0.0589,0.0586,-0.004,-0.0024,-0.0168,-0.0193,-0.0168,-0.0175,0
65,1.2836,1.2872,2.2841,2.286,-1.4064,-1.4045,-0.5483,-0.5499,1.6543,1.6527,-1.8763,-1.8758,-0.1184,-0.1189,0.6517,0.6555,0.2453,0.2447,0.0433,0.0422,-0.016,-0.0149,-0.0246,-0.0257,-0.0233,-0.0239,0
66.5,1.2936,1.2962,2.2681,2.2708,-1.3649,-1.3638,-0.5923,-0.5932,1.7251,1.7218,-1.8761,-1.8753,-0.1414,-0.141,0.6454,0.6484,0.2297,0.2295,0.0286,0.0274,-0.0269,-0.0262,-0.0322,-0.0326,-0.0291,-0.0298,0
