position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_31,BGA_32,BGA_00
53,5,5,-0.2221,-0.2221,-1.6846,-1.6846,-0.5671,-0.5671,1.0243,1.0243,-1.9966,-1.9966,-0.4605,-0.4605,0.5893,0.5893,0.3982,0.3982,0.2079,0.2079,0.1091,0.1091,0.0604,0.0604,5,5,5,5,0
54.5,5.0004,4.9996,-0.1366,-0.1359,-1.6939,-1.6959,-0.597,-0.5946,1.0679,1.064,-1.9727,-1.972,-0.5029,-0.5016,0.5736,0.575,0.3869,0.3865,0.199,0.1986,0.1014,0.1005,0.0553,0.0559,5.0012,5.0019,5.0013,5.001,0
56,4.999,4.9997,-0.0494,-0.0507,-1.704,-1.7045,-0.6254,-0.6243,1.1084,1.1046,-1.946,-1.9457,-0.5446,-0.5429,0.5588,0.561,0.3738,0.3745,0.1889,0.1882,0.0933,0.0911,0.0492,0.0503,5.0018,5.0032,5.0027,5.0016,0
57.5,4.9971,4.9962,0.034,0.0328,-1.7105,-1.7102,-0.6544,-0.6539,1.1492,1.1444,-1.9204,-1.9198,-0.5864,-0.5835,0.5471,0.5472,0.3613,0.3623,0.1776,0.177,0.0863,0.0848,0.0439,0.0443,5.002,5.0016,5.0016,5.0011,0
59,4.9978,4.995,0.1153,0.1125,-1.7149,-1.7147,-0.6846,-0.6841,1.1869,1.1848,-1.8922,-1.8932,-0.6264,-0.6243,0.5316,0.5345,0.3497,0.35,0.1667,0.1669,0.0791,0.0792,0.0392,0.0402,5.0025,5.0009,5.0009,5.0021,0
60.5,4.9983,4.9969,0.1906,0.1855,-1.7156,-1.7159,-0.7156,-0.7146,1.2232,1.2234,-1.862,-1.8647,-0.6665,-0.6661,0.5146,0.5232,0.3397,0.3381,0.1557,0.1582,0.0727,0.0729,0.0359,0.0366,5.004,5.0022,5.0003,5.0058,0
62,4.9971,4.997,0.2551,0.2531,-1.7108,-1.7117,-0.7466,-0.7452,1.2614,1.2587,-1.8344,-1.8347,-0.7079,-0.7091,0.5027,0.5124,0.3303,0.3273,0.1459,0.149,0.0663,0.067,0.0328,0.0305,5.0027,5.0024,4.9994,5.0073,0
63.5,4.9967,4.9973,0.3115,0.3132,-1.702,-1.7024,-0.7772,-0.777,1.2972,1.296,-1.8069,-1.805,-0.7486,-0.7522,0.4944,0.4996,0.3199,0.3189,0.1386,0.1391,0.0582,0.06,0.0264,0.0244,5.0004,5.0016,5.0004,5.0048,0
65,4.9973,4.998,0.3582,0.361,-1.6875,-1.6876,-0.8082,-0.8089,1.331,1.3333,-1.7777,-1.776,-0.7896,-0.7933,0.4863,0.4861,0.3101,0.3107,0.1305,0.1297,0.0506,0.0518,0.0196,0.0198,5.0003,5.0009,5.0009,5.0017,0
66.5,4.9982,4.9982,0.3943,0.3964,-1.6669,-1.6673,-0.8394,-0.8397,1.3646,1.3663,-1.7464,-1.746,-0.8327,-0.834,0.4766,0.4753,0.3018,0.3023,0.1218,0.1215,0.0443,0.0444,0.015,0.0152,5.0003,5.0004,5.0002,5.0003,0
