position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,-0.398909,0.348792,1.009497,-0.698918,1.373243,-1.721816,0.735026,-0.289456,-0.35399,0.071848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,-0.42443,0.399682,0.883955,-0.696945,1.429001,-1.661598,0.761363,-0.434069,-0.286637,0.070456,-0.028067,-0.028067,0.022398,0.022398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,-0.443335,0.437034,0.789718,-0.692042,1.466319,-1.615635,0.782747,-0.54015,-0.237339,0.068275,-0.048575,-0.048575,0.040634,0.040634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,-0.465398,0.482036,0.665424,-0.678342,1.506272,-1.553264,0.815894,-0.676543,-0.175717,0.061449,-0.075356,-0.075356,0.068326,0.068326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,-0.481872,0.518965,0.544131,-0.65344,1.530072,-1.491504,0.858001,-0.805484,-0.120084,0.047478,-0.10031,-0.10031,0.101562,0.101562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,-0.489944,0.543817,0.427539,-0.613886,1.533874,-1.430625,0.91305,-0.924956,-0.073066,0.023354,-0.123162,-0.123162,0.141514,0.141514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,-0.488965,0.552823,0.345299,-0.572001,1.518929,-1.387301,0.964982,-1.007255,-0.043733,-0.004021,-0.138447,-0.138447,0.178057,0.178057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,-0.476231,0.549049,0.242521,-0.497561,1.474019,-1.331536,1.051939,-1.105872,-0.016125,-0.054493,-0.156305,-0.156305,0.23484,0.23484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,-0.447454,0.524403,0.14927,-0.398514,1.394022,-1.280221,1.16185,-1.189982,-0.002253,-0.124196,-0.170251,-0.170251,0.303624,0.303624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,-0.401888,0.476969,0.067219,-0.272722,1.277267,-1.233137,1.297153,-1.258016,-0.002438,-0.214756,-0.180311,-0.180311,0.384054,0.384054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
