position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-510,0.409092,-0.41227,0.516465,-0.511823,0.87259,-0.873776,0.769835,-0.771208,0.400654,-0.393677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,0.411213,-0.414572,0.501644,-0.497557,0.860574,-0.859836,0.783444,-0.785159,0.417416,-0.412,0.037398,0.037398,-0.036069,-0.036069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,0.411856,-0.415263,0.490436,-0.486934,0.85144,-0.849449,0.793606,-0.79557,0.430072,-0.425765,0.065107,0.065107,-0.062714,-0.062714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,0.410699,-0.414477,0.475676,-0.472674,0.839447,-0.835534,0.807255,-0.809175,0.447131,-0.444069,0.101002,0.101002,-0.097552,-0.097552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,0.405818,-0.409612,0.461256,-0.458846,0.827306,-0.822623,0.820965,-0.823036,0.464547,-0.46246,0.135279,0.135279,-0.130653,-0.130653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,0.395895,-0.399722,0.44734,-0.445296,0.815811,-0.810445,0.834822,-0.837133,0.482534,-0.481071,0.167273,0.167273,-0.161952,-0.161952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,0.384415,-0.388421,0.437325,-0.435268,0.807775,-0.801806,0.845641,-0.847655,0.49649,-0.49539,0.189265,0.189265,-0.183894,-0.183894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,0.362741,-0.366731,0.424613,-0.422432,0.797381,-0.791378,0.860308,-0.861978,0.515665,-0.514589,0.215631,0.215631,-0.2105,-0.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,0.332536,-0.336338,0.412828,-0.410192,0.787754,-0.782424,0.875315,-0.876486,0.535792,-0.534317,0.238002,0.238002,-0.233752,-0.233752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,0.293153,-0.296685,0.402042,-0.398592,0.779016,-0.774942,0.890943,-0.891275,0.55691,-0.554514,0.255984,0.255984,-0.253359,-0.253359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
