position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,-3.390406,-3.916897,15.084966,15.466384,-19.927014,-19.711813,23.414246,23.132666,-18.126874,-18.059338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,-3.758876,-4.399256,16.403077,16.992309,-20.110713,-19.981683,21.798406,21.471832,-15.649293,-15.461043,-0.826047,-0.826047,-0.82653,-0.82653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,-4.017309,-4.737561,17.291844,18.029812,-20.143546,-20.077605,20.493843,20.136534,-13.754499,-13.475919,-1.506377,-1.506377,-1.504762,-1.504762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,-4.306657,-5.12595,18.195739,19.123487,-19.913379,-19.92342,18.534822,18.13795,-11.085592,-10.704165,-2.553228,-2.553228,-2.549579,-2.549579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,-4.512175,-5.414446,18.628346,19.718509,-19.191666,-19.270244,16.213378,15.785223,-8.175361,-7.703876,-3.833514,-3.833514,-3.821642,-3.821642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,-4.611328,-5.573616,18.413476,19.632359,-17.792823,-17.928732,13.41606,12.964198,-4.915863,-4.378438,-5.420836,-5.420836,-5.394997,-5.394997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,-4.596313,-5.583837,17.717892,19.006207,-16.202969,-16.37192,10.928672,10.466727,-2.176283,-1.607965,-6.853621,-6.853621,-6.812187,-6.812187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,-4.458878,-5.450745,15.936503,17.274203,-13.192824,-13.39028,7.02229,6.557958,1.965022,2.544097,-9.139902,-9.139902,-9.06973,-9.06973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,-4.164462,-5.121088,13.012558,14.341231,-9.012912,-9.218998,2.329794,1.877749,6.769675,7.319044,-11.91363,-11.91363,-11.804234,-11.804234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,-3.7138,-4.591253,8.851392,10.107573,-3.582827,-3.775052,-3.182959,-3.604775,12.261988,12.737502,-15.171773,-15.171773,-15.012252,-15.012252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-473,-3.295409,-4.089643,5.067337,6.231892,1.118035,0.94959,-7.696954,-8.084842,16.644898,17.041922,-17.759431,-17.759431,-17.556495,-17.556495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-469,-2.675228,-3.333646,-0.573674,0.4245,7.922649,7.796372,-13.919081,-14.2454,22.476503,22.745008,-21.151721,-21.151721,-20.887747,-20.887747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-465,-2.016993,-2.525727,-6.574891,-5.783209,14.954477,14.880078,-20.060469,-20.303707,27.898296,28.02282,-24.162731,-24.162731,-23.837524,-23.837524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-461,-1.368911,-1.721439,-12.579354,-12.028182,21.822706,21.799258,-25.749464,-25.893729,32.468221,32.441142,-26.471029,-26.471029,-26.089643,-26.089643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-458,-0.920706,-1.162074,-16.872223,-16.517511,26.631301,26.642723,-29.497583,-29.554461,35.068946,34.93122,-27.547847,-27.547847,-27.129998,-27.129998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-454,-0.314705,-0.527657,-22.011087,-21.99958,32.209889,32.316694,-33.540031,-33.42587,37.078324,36.75631,-27.879417,-27.879417,-27.414676,-27.414676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,0,0,-26.197566,-26.408815,36.668601,36.728165,-36.059035,-35.840652,36.963142,36.571341,-26.651856,-26.651856,-26.179342,-26.179342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-446,0,0,-28.987479,-29.486095,39.666812,39.721557,-36.497956,-36.117587,35.108359,34.633562,-23.08313,-23.08313,-22.60823,-22.60823,-2.155568,-2.155568,-2.18005,-2.18005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-443,0,0,-30.394949,-31.104234,40.776755,40.819361,-35.71594,-35.22273,32.453623,31.933559,-19.28014,-19.28014,-18.80823,-18.80823,-4.210379,-4.210379,-4.271141,-4.271141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-439,0,0,-31.384472,-32.360082,40.851651,40.887519,-33.371212,-32.755863,27.522369,26.964632,-13.053461,-13.053461,-12.581015,-12.581015,-7.388621,-7.388621,-7.540534,-7.540534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-435,0,0,-31.431109,-32.636179,39.434155,39.48993,-29.713143,-29.031072,21.343701,20.769993,-5.905706,-5.905706,-5.400458,-5.400458,-10.899146,-10.899146,-11.20195,-11.20195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-431,0,0,-30.617645,-32.009511,36.64683,36.77661,-24.920282,-24.248033,14.317495,13.750583,1.728872,1.728872,2.307641,2.307641,-14.571646,-14.571646,-15.112619,-15.112619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-428,0,0,-29.487789,-30.981066,33.729668,33.965631,-20.706349,-20.101279,8.715681,8.17147,7.519297,7.519297,8.194811,8.194811,-17.316868,-17.316868,-18.103357,-18.103357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-424,0,0,-27.356525,-28.922883,28.835058,29.29815,-14.402518,-13.985477,1.12364,0.631183,14.977845,14.977845,15.852343,15.852343,-20.824104,-20.824104,-22.043615,-22.043615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-420,0,0,-24.587862,-26.14427,22.894367,23.703509,-7.508261,-7.411047,-6.253804,-6.66844,21.772942,21.772942,22.944667,22.944667,-23.960926,-23.960926,-25.751917,-25.751917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-416,0,0,-21.307404,-22.763006,16.039498,17.323513,-0.220877,-0.584839,-13.058725,-13.370863,27.554687,27.554687,29.128874,29.128874,-26.551417,-26.551417,-29.056276,-29.056276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-413,0,0,-18.613667,-19.944782,10.47406,12.170805,5.346459,4.566747,-17.702998,-17.922593,31.16826,31.16826,33.090099,33.090099,-28.058506,-28.058506,-31.157447,-31.157447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-409,0,0,-14.865096,-15.981075,2.753832,5.031857,12.690752,11.306567,-23.222493,-23.301744,34.980365,34.980365,37.384416,37.384416,-29.420157,-29.420157,-33.329344,-33.329344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-405,0,0,-11.104979,-11.971212,-4.995178,-2.155769,19.703983,17.704415,-27.906146,-27.829013,37.591111,37.591111,40.451369,40.451369,-29.963926,-29.963926,-34.635206,-34.635206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-401,0,0,-7.518307,-8.122397,-12.430395,-9.109221,26.134875,23.558314,-31.668821,-31.426537,38.935417,38.935417,42.169845,42.169845,-29.622141,-29.622141,-34.93369,-34.93369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-398,0,0,-5.057785,-5.461023,-17.595194,-14.003755,30.452547,27.466834,-33.848586,-33.456568,39.060936,39.060936,42.503919,42.503919,-28.74264,-28.74264,-34.414613,-34.414613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-394,0,0,-2.197118,-2.379317,-23.633433,-19.834301,35.24775,31.916553,-35.785561,-35.239097,38.004738,38.004738,41.543294,41.543294,-26.732977,-26.732977,-32.646125,-32.646125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-390,0,0,0,0,-28.38858,-24.624714,38.808551,35.283163,-36.595235,-35.870415,35.442823,35.442823,38.865384,38.865384,-23.706324,-23.706324,-29.537576,-29.537576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-386,0,0,0,0,-31.277626,-27.819442,41.275746,37.786707,-35.755217,-34.842355,31.988192,31.988192,35.050296,35.050296,-19.084596,-19.084596,-24.456325,-24.456325,-2.25875,-2.311971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-383,0,0,0,0,-32.649234,-29.573051,42.028263,38.689397,-34.355775,-33.309625,28.693217,28.693217,31.34872,31.34872,-14.920597,-14.920597,-19.751362,-19.751362,-4.425958,-4.519339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-379,0,0,0,0,-33.444919,-31.022472,41.703706,38.691612,-31.601889,-30.390768,23.508632,23.508632,25.505158,25.505158,-8.659062,-8.659062,-12.595559,-12.595559,-7.789422,-7.916413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-375,0,0,0,0,-33.178931,-31.510499,39.987639,37.397927,-27.914884,-26.562535,17.622193,17.622193,18.895714,18.895714,-1.861115,-1.861115,-4.809749,-4.809749,-11.539812,-11.655665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-371,0,0,0,0,-31.965528,-31.079707,37.020841,34.895368,-23.404392,-21.946271,11.251636,11.251636,11.811604,11.811604,5.190607,5.190607,3.207936,3.207936,-15.494228,-15.529692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
