position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,-0.597017,-0.623543,-2.070535,-2.045084,-0.384552,-0.375379,-0.768309,-0.769233,-2.960757,-2.977094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,-0.624911,-0.661991,-1.892694,-1.865348,-0.532166,-0.519907,-0.70499,-0.705284,-2.71791,-2.729099,-0.343111,-0.343111,-0.343527,-0.343527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,-0.644118,-0.68936,-1.765285,-1.736114,-0.642322,-0.627655,-0.658327,-0.658349,-2.539774,-2.547644,-0.597283,-0.597283,-0.597584,-0.597584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,-0.666446,-0.720318,-1.607544,-1.577398,-0.783767,-0.767253,-0.596284,-0.596075,-2.312609,-2.315515,-0.926306,-0.926306,-0.927395,-0.927395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,-0.680699,-0.743022,-1.473088,-1.442611,-0.919552,-0.900065,-0.534342,-0.534413,-2.101617,-2.101844,-1.238534,-1.238534,-1.24013,-1.24013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,-0.684437,-0.752871,-1.371834,-1.340387,-1.044688,-1.024948,-0.474092,-0.473592,-1.913638,-1.909844,-1.527999,-1.527999,-1.529922,-1.529922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,-0.678007,-0.749603,-1.321753,-1.291033,-1.133446,-1.113079,-0.429925,-0.429643,-1.790767,-1.784717,-1.72548,-1.72548,-1.727879,-1.727879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,-0.654985,-0.728566,-1.296554,-1.266854,-1.239465,-1.218366,-0.370586,-0.370543,-1.654564,-1.646946,-1.95761,-1.95761,-1.960544,-1.960544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,-0.612283,-0.684081,-1.327211,-1.299714,-1.331599,-1.310941,-0.313618,-0.313338,-1.555362,-1.547624,-2.147844,-2.147844,-2.151243,-2.151243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,-0.548843,-0.615244,-1.417786,-1.393362,-1.408265,-1.388166,-0.259324,-0.258767,-1.497279,-1.490531,-2.291924,-2.291924,-2.295778,-2.295778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-473,-0.489252,-0.549694,-1.517944,-1.495911,-1.457425,-1.437928,-0.222776,-0.221981,-1.475773,-1.470529,-2.370364,-2.370364,-2.374535,-2.374535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-469,-0.399833,-0.450322,-1.680521,-1.662904,-1.510851,-1.492339,-0.181437,-0.179803,-1.471277,-1.468638,-2.441564,-2.441564,-2.446201,-2.446201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-465,-0.303947,-0.343133,-1.86178,-1.847537,-1.553053,-1.5361,-0.151738,-0.149506,-1.486234,-1.486329,-2.479398,-2.479398,-2.484255,-2.484255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
