position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,-0.107923,-0.026961,3.542726,3.392208,0.852797,0.782418,-5.185221,-5.074376,1.158329,1.286763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,-0.125072,-0.01014,3.316925,3.146699,1.238744,1.179804,-4.969878,-4.864708,0.598197,0.677222,0.242093,0.242093,0.219459,0.219459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,-0.143541,-0.004271,3.147244,2.963705,1.535185,1.483979,-4.798609,-4.695518,0.18259,0.224432,0.421956,0.421956,0.383665,0.383665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,-0.167772,0.001981,2.910857,2.712582,1.913985,1.875893,-4.555706,-4.456874,-0.358255,-0.36196,0.659921,0.659921,0.603132,0.603132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,-0.192683,0.004359,2.664039,2.456776,2.276927,2.253581,-4.290902,-4.198733,-0.88472,-0.930377,0.888234,0.888234,0.816753,0.816753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,-0.212168,0.006044,2.403709,2.193575,2.611279,2.604028,-4.004163,-3.920883,-1.394225,-1.476087,1.102637,1.102637,1.022082,1.022082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,-0.22807,0.001131,2.201908,1.994948,2.85403,2.86009,-3.765085,-3.69055,-1.769404,-1.873784,1.244941,1.244941,1.162071,1.162071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,-0.23751,-0.002369,1.917666,1.722235,3.139589,3.164042,-3.422525,-3.363577,-2.252391,-2.379588,1.413447,1.413447,1.334653,1.334653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,-0.235641,-0.0047,1.616362,1.443487,3.386298,3.430652,-3.043749,-3.006321,-2.717923,-2.859595,1.547891,1.547891,1.482119,1.482119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,-0.217453,-0.003348,1.298765,1.15873,3.586153,3.650649,-2.629497,-2.619729,-3.162644,-3.30883,1.643929,1.643929,1.601018,1.601018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-473,-0.201631,-0.006899,1.055125,0.945111,3.716291,3.796447,-2.287899,-2.300975,-3.480903,-3.62401,1.681693,1.681693,1.661092,1.661092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-469,-0.16914,-0.005893,0.728559,0.66344,3.843668,3.942066,-1.814332,-1.859629,-3.868947,-4.003275,1.695836,1.695836,1.706369,1.706369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-465,-0.131668,-0.005446,0.41063,0.390413,3.926701,4.039904,-1.318039,-1.394272,-4.209383,-4.328391,1.659469,1.659469,1.701248,1.701248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-461,-0.089601,-0.001589,0.110174,0.132962,3.959394,4.083352,-0.813707,-0.916457,-4.489988,-4.590761,1.573502,1.573502,1.641627,1.641627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-458,-0.064006,-0.003205,-0.098979,-0.047264,3.958177,4.087431,-0.422937,-0.54018,-4.655605,-4.741458,1.468694,1.468694,1.550937,1.550937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-454,-0.029041,-0.002497,-0.346394,-0.265143,3.910201,4.038685,0.090877,-0.037753,-4.805758,-4.871377,1.282454,1.282454,1.373631,1.373631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,0,0,-0.549873,-0.451522,3.810036,3.930399,0.59182,0.465222,-4.866239,-4.912969,1.040028,1.040028,1.123156,1.123156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-446,0,0,-0.687417,-0.58788,3.672694,3.774756,1.062173,0.951522,-4.863883,-4.894805,0.708468,0.708468,0.76564,0.76564,0.125213,0.125213,0.114717,0.114717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-443,0,0,-0.764797,-0.672326,3.536753,3.621857,1.402536,1.313833,-4.807236,-4.827528,0.414813,0.414813,0.443419,0.443419,0.240116,0.240116,0.220209,0.220209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-439,0,0,-0.827085,-0.752227,3.318068,3.376371,1.823164,1.772435,-4.667445,-4.676002,-0.020421,-0.020421,-0.037055,-0.037055,0.420056,0.420056,0.386767,0.386767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-435,0,0,-0.851313,-0.800438,3.061355,3.091318,2.209154,2.203317,-4.457814,-4.457558,-0.497554,-0.497554,-0.563029,-0.563029,0.618545,0.618545,0.572237,0.572237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-431,0,0,-0.839661,-0.816192,2.774864,2.775027,2.555034,2.596102,-4.187331,-4.180553,-1.004281,-1.004281,-1.114306,-1.114306,0.826709,0.826709,0.769776,0.769776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-428,0,0,-0.817584,-0.814139,2.540726,2.520245,2.796083,2.871941,-3.94168,-3.932128,-1.401256,-1.401256,-1.538965,-1.538965,0.977422,0.977422,0.914787,0.914787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-424,0,0,-0.762019,-0.78269,2.213995,2.168147,3.076331,3.19286,-3.571549,-3.562521,-1.936657,-1.936657,-2.099152,-2.099152,1.172044,1.172044,1.105921,1.105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-420,0,0,-0.686338,-0.724632,1.874182,1.808085,3.314187,3.461558,-3.154165,-3.150865,-2.472178,-2.472178,-2.640304,-2.640304,1.345544,1.345544,1.281898,1.281898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-416,0,0,-0.59304,-0.640537,1.530173,1.44927,3.506952,3.670584,-2.698829,-2.706849,-2.995797,-2.995797,-3.146149,-3.146149,1.489166,1.489166,1.435177,1.435177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-413,0,0,-0.521062,-0.570273,1.268882,1.18056,3.628714,3.796094,-2.328187,-2.348044,-3.375058,-3.375058,-3.499159,-3.499159,1.566065,1.566065,1.523439,1.523439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-409,0,0,-0.416054,-0.462452,0.929417,0.834557,3.749936,3.911058,-1.816294,-1.856244,-3.845128,-3.845128,-3.92199,-3.92199,1.632246,1.632246,1.60892,1.60892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-405,0,0,-0.310953,-0.349929,0.602186,0.504976,3.829198,3.974763,-1.284806,-1.348584,-4.262176,-4.262176,-4.284232,-4.284232,1.645247,1.645247,1.644365,1.644365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-401,0,0,-0.208336,-0.236866,0.296396,0.200365,3.863632,3.987061,-0.748502,-0.837923,-4.610416,-4.610416,-4.575578,-4.575578,1.601099,1.601099,1.624497,1.624497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-398,0,0,-0.141527,-0.16162,0.080145,-0.013554,3.864031,3.967452,-0.338416,-0.447269,-4.818263,-4.818263,-4.742365,-4.742365,1.520002,1.520002,1.56224,1.56224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-394,0,0,-0.061849,-0.07096,-0.176906,-0.266003,3.824485,3.899064,0.19558,0.062205,-5.009983,-5.009983,-4.886003,-4.886003,1.352568,1.352568,1.420194,1.420194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-390,0,0,0,0,-0.395031,-0.477152,3.739637,3.786823,0.709296,0.555239,-5.090274,-5.090274,-4.931161,-4.931161,1.109346,1.109346,1.200395,1.200395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-386,0,0,0,0,-0.553346,-0.625835,3.624462,3.649557,1.182669,1.013612,-5.084706,-5.084706,-4.908352,-4.908352,0.753322,0.753322,0.865874,0.865874,0.12098,0.123808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-383,0,0,0,0,-0.651167,-0.71808,3.507641,3.516326,1.522457,1.346318,-5.013473,-5.013473,-4.832595,-4.832595,0.431756,0.431756,0.558424,0.558424,0.231591,0.236103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-379,0,0,0,0,-0.745877,-0.803572,3.312893,3.306563,1.936437,1.756885,-4.83962,-4.83962,-4.665584,-4.665584,-0.050296,-0.050296,0.093629,0.093629,0.404896,0.413231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-375,0,0,0,0,-0.805181,-0.853283,3.077234,3.06241,2.313156,2.136099,-4.586044,-4.586044,-4.431027,-4.431027,-0.577193,-0.577193,-0.419242,-0.419242,0.595495,0.607831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-371,0,0,0,0,-0.827975,-0.866823,2.805902,2.789448,2.648857,2.480016,-4.267778,-4.267778,-4.141486,-4.141486,-1.128914,-1.128914,-0.960468,-0.960468,0.79508,0.811045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-368,0,0,0,0,-0.829294,-0.861731,2.57811,2.565596,2.883812,2.724408,-3.986922,-3.986922,-3.888884,-3.888884,-1.552155,-1.552155,-1.379035,-1.379035,0.93884,0.956925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-364,0,0,0,0,-0.800072,-0.825047,2.250077,2.250242,3.158685,3.017199,-3.577778,-3.577778,-3.521074,-3.521074,-2.107694,-2.107694,-1.930922,-1.930922,1.122891,1.143655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-360,0,0,0,0,-0.742084,-0.760809,1.895416,1.918445,3.396821,3.279109,-3.134908,-3.134908,-3.124835,-3.124835,-2.639484,-2.639484,-2.463614,-2.463614,1.284883,1.306903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-356,0,0,0,0,-0.65694,-0.670886,1.520423,1.576443,3.596692,3.507759,-2.672048,-2.672048,-2.711166,-2.711166,-3.130964,-3.130964,-2.960968,-2.960968,1.415714,1.437458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-353,0,0,0,0,-0.585428,-0.596581,1.227804,1.313354,3.727008,3.663059,-2.306146,-2.306146,-2.383207,-2.383207,-3.470234,-3.470234,-3.308329,-3.308329,1.483188,1.503674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-349,0,0,0,0,-0.474882,-0.48327,0.839635,0.967901,3.861123,3.832365,-1.8127,-1.8127,-1.93715,-1.93715,-3.874927,-3.874927,-3.724168,-3.724168,1.536938,1.556106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-345,0,0,0,0,-0.35956,-0.365505,0.460392,0.632205,3.952437,3.960858,-1.308666,-1.308666,-1.476512,-1.476512,-4.219176,-4.219176,-4.081874,-4.081874,1.53952,1.55732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
