position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,-0.256428,-0.275617,4.64664,4.548665,-0.450317,-0.449283,-3.597803,-3.527541,0.196114,0.277664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,-0.330955,-0.307009,4.557764,4.470667,-0.032177,-0.045977,-3.55783,-3.511915,-0.04696,0.012134,0.041774,0.041774,0.039206,0.039206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,-0.392592,-0.336729,4.48526,4.406796,0.290588,0.267337,-3.517003,-3.487815,-0.230858,-0.187891,0.07448,0.07448,0.070082,0.070082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,-0.470155,-0.373687,4.362812,4.296238,0.710792,0.67817,-3.44967,-3.43969,-0.47586,-0.45302,0.127714,0.127714,0.120977,0.120977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,-0.541346,-0.407146,4.203966,4.149628,1.127249,1.088992,-3.360174,-3.367179,-0.729926,-0.725979,0.189428,0.189428,0.18079,0.18079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,-0.59619,-0.430765,3.996378,3.952575,1.530826,1.490774,-3.248151,-3.267974,-0.997714,-1.010835,0.263504,0.263504,0.252702,0.252702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,-0.629332,-0.44553,3.804803,3.768273,1.837391,1.799346,-3.139919,-3.166359,-1.216166,-1.240431,0.32217,0.32217,0.309876,0.309876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,-0.647419,-0.448392,3.489213,3.458224,2.229988,2.198005,-2.969064,-3.000627,-1.528781,-1.566299,0.413935,0.413935,0.399243,0.399243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,-0.634603,-0.431829,3.094506,3.067365,2.612557,2.590531,-2.758261,-2.791066,-1.87472,-1.923379,0.518425,0.518425,0.501058,0.501058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,-0.585204,-0.392241,2.617581,2.588885,2.978287,2.97037,-2.506704,-2.536394,-2.254544,-2.312368,0.636405,0.636405,0.61564,0.61564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
