position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_54,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-510,0.602578,0.647054,0.237483,0.209796,-3.6474,-3.66033,-1.116246,-1.107487,3.044452,3.073378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-506,0.638072,0.687929,0.227026,0.198835,-3.434048,-3.447693,-1.389611,-1.381176,2.721856,2.744635,0.390213,0.390213,0.390633,0.390633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-503,0.680395,0.733978,0.23371,0.205293,-3.276768,-3.290873,-1.615042,-1.606863,2.460421,2.478695,0.663548,0.663548,0.664236,0.664236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-499,0.708283,0.76648,0.240899,0.212695,-3.060471,-3.074794,-1.881179,-1.873326,2.151081,2.163868,1.037468,1.037468,1.038629,1.038629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-495,0.726911,0.790198,0.268427,0.240232,-2.842528,-2.857055,-2.142597,-2.135029,1.854826,1.862169,1.391314,1.391314,1.392605,1.392605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-491,0.73516,0.799932,0.322659,0.295848,-2.622968,-2.637454,-2.396925,-2.389308,1.574431,1.578326,1.717017,1.717017,1.718726,1.718726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-488,0.748573,0.813721,0.397689,0.372534,-2.453953,-2.467966,-2.602407,-2.59514,1.351563,1.353232,1.919347,1.919347,1.921259,1.921259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-484,0.725722,0.790604,0.518111,0.494906,-2.225524,-2.239322,-2.83895,-2.831894,1.109353,1.109063,2.175707,2.175707,2.177533,2.177533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,0.680656,0.742465,0.685043,0.664859,-1.993004,-2.006206,-3.062659,-3.056227,0.895921,0.895179,2.382818,2.382818,2.384518,2.384518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-476,0.609898,0.666049,0.901532,0.885177,-1.754413,-1.767015,-3.268971,-3.263466,0.714024,0.714379,2.535278,2.535278,2.53666,2.53666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-473,0.559688,0.610183,1.102118,1.089089,-1.564533,-1.576492,-3.424791,-3.419972,0.565742,0.567791,2.592632,2.592632,2.593655,2.593655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-469,0.456949,0.498585,1.371154,1.363921,-1.320505,-1.331631,-3.587689,-3.584881,0.422683,0.427746,2.658107,2.658107,2.65835,2.65835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-465,0.345464,0.377597,1.6487,1.644694,-1.078572,-1.089024,-3.718146,-3.716151,0.290402,0.298523,2.68247,2.68247,2.682006,2.682006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-461,0.233172,0.255304,1.916216,1.91646,-0.841768,-0.851529,-3.812884,-3.812758,0.162119,0.173484,2.672778,2.672778,2.672062,2.672062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-458,0.169847,0.184944,2.114624,2.117666,-0.657019,-0.666062,-3.867147,-3.868393,0.034183,0.047566,2.620944,2.620944,2.619816,2.619816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-454,0.074311,0.080959,2.326135,2.331949,-0.437066,-0.445149,-3.886917,-3.889935,-0.105158,-0.089711,2.569044,2.569044,2.567557,2.567557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-450,0,0,2.483113,2.490748,-0.233114,-0.239801,-3.861822,-3.866167,-0.26118,-0.244797,2.505722,2.505722,2.504275,2.504275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-446,0,0,2.540846,2.548701,-0.08206,-0.087196,-3.829926,-3.835081,-0.496098,-0.48107,2.384218,2.384218,2.382751,2.382751,0.184488,0.184488,0.183934,0.183934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-443,0,0,2.582178,2.589671,0.067539,0.063741,-3.767106,-3.773485,-0.720529,-0.706095,2.253419,2.253419,2.2523,2.2523,0.343722,0.343722,0.342895,0.342895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-439,0,0,2.565635,2.572028,0.237488,0.236139,-3.649561,-3.656209,-1.016255,-1.004141,2.094615,2.094615,2.09409,2.09409,0.61189,0.61189,0.610428,0.610428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
