position, SAT_01, SAT_02, SAT_03, SAT_04, SAT_103, SAT_104, SAT_105, SAT_106, SAT_201, SAT_202, SAT_203, SAT_204, SAT_205, SAT_206, SAT_207, SAT_208, SAT_209, SAT_210, SAT_211, SAT_212, SAT_213, SAT_214, SAT_215, SAT_216, SAT_217, SAT_218, SAT_219, SAT_220, SAT_221, SAT_222, SAT_223, SAT_224, SAT_300, SAT_301, SAT_302, SAT_303, SAT_400, SAT_401, SAT_402, SAT_403
-275, -0.108245, -0.108245, 0.823382, 0.823382, 0, 0, 0, 0, -2.48594, -2.48594, 6.85979, 6.85979, 3.21443, 3.21443, 5.2576, 4.27636, 2.03537, -7.06581, -0.796051, -11.4356, -6.17628, -6.17628, -7.63124, -7.63124, -2.95803, -2.95803, 4.27636, 5.2576, -7.06581, 2.03537, -11.4356, -0.796051, 0, 0, 0, 0, 0, 0, 0, 0
-274.5, -0.0990491, -0.0990491, 0.821298, 0.821298, -3.06684e-240, -3.06684e-240, -1.89485e-310, -1.89485e-310, -2.47706, -2.47706, 6.76494, 6.76494, 3.16249, 3.16249, 5.03775, 3.88971, 1.86435, -6.88303, -0.852677, -11.167, -5.88182, -5.88182, -7.23657, -7.23657, -2.98736, -2.98736, 3.88971, 5.03775, -6.88303, 1.86435, -11.167, -0.852677, 0, 0, 0, 0, 0, 0, 0, 0
-274, -0.0906938, -0.0906938, 0.819392, 0.819392, -1.3828e-239, -1.3828e-239, -1.02934e-309, -1.02934e-309, -2.46899, -2.46899, 6.67878, 6.67878, 3.11547, 3.11547, 4.83855, 3.53931, 1.7094, -6.71762, -0.90419, -10.9231, -5.61477, -5.61477, -6.87907, -6.87907, -3.01357, -3.01357, 3.53931, 4.83855, -6.71762, 1.7094, -10.9231, -0.90419, 0, 0, 0, 0, 0, 0, 0, 0
-273.5, -0.0823065, -0.0823065, 0.817453, 0.817453, -6.07278e-239, -6.07278e-239, -5.5151e-309, -5.5151e-309, -2.4609, -2.4609, 6.59229, 6.59229, 3.06859, 3.06859, 4.6396, 3.18929, 1.55467, -6.55281, -0.956023, -10.6787, -5.34761, -5.34761, -6.5223, -6.5223, -3.03907, -3.03907, 3.18929, 4.6396, -6.55281, 1.55467, -10.6787, -0.956023, 0, 0, 0, 0, 0, 0, 0, 0
-273, -0.0739177, -0.0739177, 0.815477, 0.815477, -2.65805e-238, -2.65805e-238, -2.94767e-308, -2.94767e-308, -2.45282, -2.45282, 6.50582, 6.50582, 3.02217, 3.02217, 4.44215, 2.84175, 1.40114, -6.3898, -1.00804, -10.435, -5.08178, -5.08178, -6.16854, -6.16854, -3.06338, -3.06338, 2.84175, 4.44215, -6.3898, 1.40114, -10.435, -1.00804, 0, 0, 0, 0, 0, 0, 0, 0
-272.5, -0.0655251, -0.0655251, 0.813452, 0.813452, -1.16103e-237, -1.16103e-237, -1.57228e-307, -1.57228e-307, -2.44475, -2.44475, 6.41934, 6.41934, 2.97636, 2.97636, 4.24662, 2.4974, 1.24915, -6.22912, -1.0603, -10.192, -4.81764, -4.81764, -5.81868, -5.81868, -3.08611, -3.08611, 2.4974, 4.24662, -6.22912, 1.24915, -10.192, -1.0603, 0, 0, 0, 0, 0, 0, 0, 0
-272, -0.0571272, -0.0571272, 0.811365, 0.811365, -5.06121e-237, -5.06121e-237, -8.36975e-307, -8.36975e-307, -2.4367, -2.4367, 6.33286, 6.33286, 2.93128, 2.93128, 4.05346, 2.15699, 1.09907, -6.0713, -1.11285, -9.95005, -4.5556, -4.5556, -5.47364, -5.47364, -3.10692, -3.10692, 2.15699, 4.05346, -6.0713, 1.09907, -9.95005, -1.11285, 0, 0, 0, 0, 0, 0, 0, 0
-271.5, -0.0487223, -0.0487223, 0.809203, 0.809203, -2.20191e-236, -2.20191e-236, -4.4466e-306, -4.4466e-306, -2.42867, -2.42867, 6.2464, 6.2464, 2.88706, 2.88706, 3.86312, 1.82124, 0.951269, -5.91686, -1.16571, -9.70924, -4.29607, -4.29607, -5.13426, -5.13426, -3.12545, -3.12545, 1.82124, 3.86312, -5.91686, 0.951269, -9.70924, -1.16571, 0, 0, 0, 0, 0, 0, 0, 0
-271, -0.0403079, -0.0403079, 0.806954, 0.806954, -9.56043e-236, -9.56043e-236, -2.35763e-305, -2.35763e-305, -2.42068, -2.42068, 6.15997, 6.15997, 2.84382, 2.84382, 3.67602, 1.49085, 0.806095, -5.76629, -1.21893, -9.46979, -4.03943, -4.03943, -4.8014, -4.8014, -3.14137, -3.14137, 1.49085, 3.67602, -5.76629, 0.806095, -9.46979, -1.21893, 0, 0, 0, 0, 0, 0, 0, 0
-270.5, -0.0318813, -0.0318813, 0.804605, 0.804605, -4.14276e-235, -4.14276e-235, -1.24754e-304, -1.24754e-304, -2.41272, -2.41272, 6.07357, 6.07357, 2.80167, 2.80167, 3.49257, 1.16647, 0.663899, -5.62005, -1.2725, -9.23189, -3.78609, -3.78609, -4.47585, -4.47585, -3.15437, -3.15437, 1.16647, 3.49257, -5.62005, 0.663899, -9.23189, -1.2725, 0, 0, 0, 0, 0, 0, 0, 0
