index,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_207,SAT_208,SAT_209,SAT_210,SAT_211,SAT_212,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_219,SAT_220,SAT_221,SAT_222,SAT_223,SAT_224,SAT_300,SAT_301,SAT_302,SAT_303,SAT_306,SAT_307,SAT_308,SAT_309,SAT_400,SAT_401,SAT_402,SAT_403,SAT_406,SAT_407,SAT_408,SAT_409
0,-2.695,-2.769,3.239,3.148,9.882,9.865,-4.970,-5.009,-6.199,-6.206,9.160,9.175,-2.733,-2.774,3.176,3.179,9.906,9.865,-4.974,-4.957,-6.232,-6.197,9.180,9.176,0.037,0.069,0.084,0.095,-10.648,0.515,5.355,0.702,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
5,-2.495,-3.186,4.259,1.675,9.500,9.217,-4.332,-4.357,-5.512,-5.517,9.467,9.478,-3.161,-2.543,1.694,4.224,9.241,9.492,-5.254,-5.247,-5.713,-5.691,9.117,9.114,0.038,0.056,0.065,0.072,-10.333,-1.166,5.380,1.503,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
10,-1.848,-4.204,4.729,0.162,8.133,7.482,-3.286,-3.308,-3.415,-3.420,9.883,9.894,-4.183,-1.886,0.179,4.702,7.500,8.129,-5.274,-5.269,-4.394,-4.376,9.500,9.496,0.038,0.053,0.060,0.065,-9.847,-2.815,5.297,2.288,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
15,-0.285,-5.764,4.921,-1.034,5.781,4.628,-1.902,-1.920,-0.115,-0.122,10.152,10.165,-5.746,-0.313,-1.018,4.901,4.644,5.780,-5.212,-5.209,-2.738,-2.721,10.320,10.314,0.038,0.050,0.058,0.062,-9.080,-4.362,5.046,3.008,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
20,2.299,-7.368,5.307,-1.912,2.630,0.890,-0.203,-0.217,3.890,3.880,9.933,9.949,-7.352,2.280,-1.896,5.293,0.903,2.633,-5.244,-5.243,-0.976,-0.958,11.330,11.320,0.038,0.048,0.059,0.061,-8.123,-5.805,4.677,3.668,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
25,5.531,-8.387,6.163,-2.747,-0.846,-3.218,1.900,1.888,8.001,7.986,8.833,8.853,-8.372,5.522,-2.727,6.156,-3.207,-0.836,-5.553,-5.554,0.963,0.985,12.049,12.033,0.038,0.047,0.066,0.066,-6.983,-7.104,4.195,4.242,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
30,8.654,-8.404,7.310,-3.751,-3.970,-7.099,4.504,4.494,11.695,11.672,6.589,6.618,-8.389,8.655,-3.725,7.310,-7.087,-3.953,-6.271,-6.274,3.275,3.304,11.986,11.960,0.039,0.049,0.080,0.077,-5.672,-8.231,3.610,4.712,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
35,10.835,-7.393,8.207,-4.843,-6.159,-10.347,7.478,7.470,14.526,14.494,3.360,3.402,-7.377,10.848,-4.804,8.215,-10.334,-6.130,-7.317,-7.322,5.931,5.972,10.914,10.873,0.042,0.054,0.104,0.098,-4.226,-9.173,2.944,5.069,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
40,11.614,-5.733,8.299,-5.719,-7.213,-12.831,10.308,10.301,16.046,16.001,-0.127,-0.066,-5.714,11.641,-5.660,8.315,-12.814,-7.168,-8.239,-8.248,8.501,8.559,9.003,8.941,0.049,0.062,0.142,0.131,-2.670,-9.894,2.212,5.291,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
45,11.124,-4.020,7.316,-6.133,-7.379,-14.587,12.260,12.252,15.844,15.784,-2.827,-2.740,-3.996,11.168,-6.045,7.343,-14.566,-7.312,-8.364,-8.377,10.308,10.388,6.687,6.597,0.061,0.074,0.197,0.180,-1.034,-10.365,1.430,5.365,0.000,0.000,0.000,0.000,-10.648,0.515,5.355,0.702
