Pin,Name: MUSIQC Satellite
1,SAT_136
2,SAT_140
3,SAT_08
4,SAT_04
5,SAT_201
6,SAT_205
7,SAT_06
8,SAT_212
9,SAT_203
10,SAT_02
11,SAT_10
12, 
13,SAT_09
14, 
15,SAT_204
16,SAT_01
17,SAT_05
18,SAT_223
19,SAT_202
20,SAT_206
21,SAT_07
22,SAT_03
23,SAT_135
24,SAT_139
25,SAT_112
26,SAT_118
27,SAT_110
28,SAT_116
29,SAT_122
30,SAT_126
31,SAT_132
32,SAT_216
33,SAT_211
34,SAT_207
35,SAT_408
36,SAT_402
37,SAT_209
38,SAT_406
39,SAT_218
40,SAT_400
41,SAT_404
42,SAT_409
43,SAT_401
44,SAT_405
45,SAT_403
46,SAT_210
47,SAT_407
48,SAT_208
49,SAT_103
50,SAT_127
51,SAT_137
52,SAT_213
53,SAT_105
54,SAT_107
55,SAT_113
56,SAT_119
57,SAT_123
58,SAT_129
59,SAT_133
60,SAT_101
61,SAT_134
62,SAT_102
63,SAT_124
64,SAT_130
65,SAT_114
66,SAT_120
67,SAT_106
68,SAT_108
69,SAT_138
70,SAT_214
71,SAT_104
72,SAT_128
73,SAT_307
74,SAT_219
75,SAT_303
76,SAT_221
77,SAT_301
78,SAT_305
79,SAT_304
80,SAT_309
81,SAT_217
82,SAT_300
83,SAT_222
84,SAT_306
85,SAT_308
86,SAT_302
87,SAT_224
88,SAT_220
89,SAT_131
90,SAT_215
91,SAT_121
92,SAT_125
93,SAT_109
94,SAT_115
95,SAT_111
96,SAT_117
