Pin,Name: MUSIQC Satellite
1,SAT_135
2,SAT_139
3,SAT_07
4,SAT_03
5,SAT_202
6,SAT_206
7,SAT_05
8,SAT_223
9,SAT_204
10,SAT_01
11,SAT_09
12, 
14, 
13,SAT_10
16,SAT_02
15,SAT_203
18,SAT_212
17,SAT_06
20,SAT_205
19,SAT_201
22,SAT_04
21,SAT_08
24,SAT_140
23,SAT_136
47,SAT_407
48,SAT_208
45,SAT_403
46,SAT_210
43,SAT_401
44,SAT_405
41,SAT_404
42,SAT_409
39,SAT_218
40,SAT_400
37,SAT_209
38,SAT_406
36,SAT_402
35,SAT_408
34,SAT_207
33,SAT_211
32,SAT_216
31,SAT_132
30,SAT_126
29,SAT_122
28,SAT_116
27,SAT_110
26,SAT_118
25,SAT_112
71,SAT_104
72,SAT_128
69,SAT_138
70,SAT_214
67,SAT_106
68,SAT_108
65,SAT_114
66,SAT_120
63,SAT_124
64,SAT_130
61,SAT_134
62,SAT_102
60,SAT_101
59,SAT_133
58,SAT_129
57,SAT_123
56,SAT_119
55,SAT_113
54,SAT_107
53,SAT_105
52,SAT_213
51,SAT_137
50,SAT_127
49,SAT_103
95,SAT_111
96,SAT_117
93,SAT_109
94,SAT_115
91,SAT_121
92,SAT_125
89,SAT_131
90,SAT_215
87,SAT_224
88,SAT_220
85,SAT_308
86,SAT_302
84,SAT_306
83,SAT_222
82,SAT_300
81,SAT_217
80,SAT_309
79,SAT_304
78,SAT_305
77,SAT_301
76,SAT_221
75,SAT_303
74,SAT_219
73,SAT_307
