position,SAT_219,SAT_220,SAT_221,SAT_222,SAT_223,SAT_224,SAT_300,SAT_301,SAT_302,SAT_303,SAT_306,SAT_307,SAT_308,SAT_309
200,-1.5512,-1.377,-0.8499,-0.6886,0.4864,0.5442,0.6547,0.5612,0.7114,0.6972,-10.6413,2.4661,5.0959,-0.2522
205,-1.7067,-1.5101,-0.6904,-0.5302,0.4763,0.5331,0.5938,0.4776,0.7797,0.7615,-10.4699,3.3823,4.888,-0.6979
210,-1.8312,-1.6162,-0.5419,-0.3844,0.4649,0.5203,0.4997,0.3614,0.8562,0.834,-10.2347,4.2644,4.6505,-1.1304
215,-1.9139,-1.6865,-0.4063,-0.2534,0.4522,0.506,0.381,0.2199,0.9399,0.9135,-9.9499,5.1101,4.3873,-1.549
220,-1.9438,-1.7119,-0.2851,-0.1398,0.4386,0.4906,0.2461,0.0605,1.03,0.9992,-9.6294,5.9171,4.1023,-1.953
225,-1.9314,-1.7011,-0.1736,-0.0389,0.4235,0.4733,0.0593,-0.1494,1.1411,1.1082,-9.1359,6.8118,3.7105,-2.4082
230,-1.8974,-1.6712,-0.0697,0.053,0.4068,0.454,-0.1864,-0.4153,1.2705,1.237,-8.4839,7.7573,3.2315,-2.8942
235,-1.8461,-1.6257,0.0213,0.1325,0.3888,0.4332,-0.4392,-0.6893,1.391,1.3534,-7.9152,8.506,2.8261,-3.281
240,-1.7821,-1.5685,0.0935,0.1961,0.37,0.4116,-0.6474,-0.9235,1.4754,1.4255,-7.6719,8.8105,2.6552,-3.4388
245,-1.6396,-1.4319,0.1464,0.2431,0.3458,0.3843,-0.8164,-1.1215,1.5317,1.4625,-7.6719,8.8105,2.6552,-3.4388
250,-1.3938,-1.1907,0.1886,0.2805,0.3175,0.3524,-0.9745,-1.3086,1.5811,1.493,-7.6719,8.8105,2.6552,-3.4388
255,-1.1107,-0.9117,0.2282,0.3159,0.2939,0.326,-1.1046,-1.4693,1.6162,1.5138,-7.6719,8.8105,2.6552,-3.4388
260,-0.8561,-0.662,0.2737,0.3572,0.284,0.315,-1.1897,-1.5881,1.6296,1.5214,-7.6719,8.8105,2.6552,-3.4388
265,-0.6441,-0.4556,0.3242,0.4039,0.2897,0.3203,-1.2346,-1.6652,1.6144,1.4947,-7.6719,8.8105,2.6552,-3.4388
270,-0.4402,-0.2574,0.377,0.4536,0.3051,0.3348,-1.2645,-1.7225,1.5788,1.4299,-7.6719,8.8105,2.6552,-3.4388
275,-0.2377,-0.061,0.4371,0.5108,0.3273,0.3558,-1.293,-1.7768,1.5374,1.3496,-7.6719,8.8105,2.6552,-3.4388
280,-0.0298,0.1404,0.5099,0.58,0.3539,0.3809,-1.3335,-1.8452,1.5052,1.2765,-7.6719,8.8105,2.6552,-3.4388
285,0.1757,0.3392,0.6029,0.6691,0.3942,0.4198,-1.3922,-1.9305,1.4865,1.2166,-7.6719,8.8105,2.6552,-3.4388
290,0.3784,0.5351,0.7199,0.7821,0.4561,0.4804,-1.4683,-2.0283,1.472,1.1577,-7.6719,8.8105,2.6552,-3.4388
295,0.5966,0.7456,0.8597,0.9176,0.5347,0.5575,-1.5651,-2.144,1.4562,1.0956,-7.6719,8.8105,2.6552,-3.4388
300,0.8484,0.9882,1.0214,1.0744,0.6252,0.6463,-1.6858,-2.2831,1.4337,1.0259,-7.6719,8.8105,2.6552,-3.4388
305,1.145,1.2726,1.2166,1.2637,0.735,0.7541,-1.8704,-2.4689,1.3959,0.9471,-7.5184,8.925,2.5585,-3.5036
310,1.4869,1.5993,1.4576,1.498,0.8756,0.8924,-2.137,-2.71,1.3401,0.8595,-7.143,9.1978,2.3229,-3.6591
315,1.8762,1.9721,1.7449,1.778,1.0482,1.0624,-2.4556,-2.99,1.2692,0.7617,-6.6732,9.5229,2.0307,-3.8472
320,2.3153,2.3947,2.0789,2.1045,1.2538,1.2651,-2.7965,-3.2926,1.1862,0.6522,-6.2367,9.7943,1.7636,-4.0095
325,2.8698,2.9343,2.5177,2.5367,1.536,1.5438,-3.2008,-3.663,1.0817,0.5257,-5.8794,10.0008,1.5493,-4.133
330,3.5407,3.5916,3.0754,3.089,1.9108,1.9147,-3.6809,-4.104,0.9447,0.3799,-5.5285,10.1965,1.3421,-4.2485
335,4.2328,4.2705,3.6867,3.6948,2.3384,2.3381,-4.1641,-4.5356,0.7764,0.2175,-5.1338,10.373,1.1142,-4.3639
340,4.8508,4.8746,4.286,4.2873,2.7788,2.7747,-4.5775,-4.8779,0.5777,0.0411,-4.6451,10.5222,0.8378,-4.4871
345,5.4443,5.4511,4.916,4.9067,3.2704,3.2624,-4.9606,-5.1589,0.2671,-0.1746,-3.7696,10.6622,0.3706,-4.6486
350,6.0458,6.0338,5.5919,5.5698,3.8237,3.8118,-5.3429,-5.425,-0.1564,-0.4273,-2.5616,10.7975,-0.2543,-4.8354
355,6.5344,6.5071,6.2078,6.1744,4.3571,4.3421,-5.6366,-5.6233,-0.5705,-0.6723,-1.4919,10.8997,-0.8017,-4.9897
360,6.7895,6.7551,6.6572,6.6184,4.7889,4.7726,-5.754,-5.7011,-0.8534,-0.8653,-1.0307,10.9401,-1.0365,-5.054
365,6.8788,6.8433,6.9867,6.9476,5.1585,5.1427,-5.6912,-5.6334,-1.0259,-1.02,-1.0307,10.9401,-1.0365,-5.054
370,6.9477,6.9114,7.2816,7.2431,5.5118,5.4971,-5.5266,-5.4578,-1.1759,-1.1639,-1.0307,10.9401,-1.0365,-5.054
375,6.9921,6.9553,7.4937,7.4562,5.7766,5.763,-5.2959,-5.2155,-1.2818,-1.273,-1.0307,10.9401,-1.0365,-5.054
380,7.0078,6.9709,7.5751,7.5381,5.8809,5.8678,-5.035,-4.9477,-1.3219,-1.3236,-1.0307,10.9401,-1.0365,-5.054
385,6.8371,6.8042,7.4268,7.3911,5.7888,5.7767,-4.6701,-4.5927,-1.2705,-1.3355,-1.1949,10.9365,-0.9566,-5.0369
390,6.4137,6.3907,7.0536,7.0215,5.5537,5.5439,-4.1601,-4.1154,-1.1317,-1.3444,-1.6229,10.9261,-0.746,-4.9896
395,5.8704,5.8607,6.563,6.5363,5.2372,5.2306,-3.5898,-3.597,-0.9291,-1.35,-2.2182,10.9089,-0.4483,-4.9179
400,5.3402,5.3442,6.0625,6.0422,4.9011,4.8978,-3.0442,-3.1185,-0.686,-1.3519,-2.8841,10.8853,-0.1071,-4.8276
405,4.8403,4.8596,5.549,5.5381,4.5256,4.5259,-2.5309,-2.6979,-0.2569,-1.3015,-3.8391,10.6881,0.4017,-4.644
410,4.2985,4.3361,4.9563,4.9585,4.0635,4.0682,-2.0095,-2.2921,0.4196,-1.1716,-5.1627,10.2093,1.1334,-4.318
415,3.4817,3.4048,3.8257,3.9673,2.9665,3.1547,-1.0305,-1.3651,1.0299,-1.154,-6.511,9.5771,1.9192,-3.912
420,2.5478,2.6358,2.738,2.8287,2.2678,2.3385,-0.1768,-0.4784,1.6587,-1.088,-7.6953,8.7646,2.6796,-3.4154
425,1.691,1.8103,1.7627,1.685,1.4851,1.6438,0.5412,0.0998,2.332,-0.8832,-8.7236,7.5885,3.4051,-2.7736
430,0.9839,0.8588,1.0196,0.7723,0.8067,1.05,1.0952,0.3777,3.0698,-0.521,-9.6267,6.0205,4.1,-1.981
435,0.525,-0.0018,0.7152,0.5122,0.5532,-0.0998,1.1039,0.5598,3.845,-0.1351,-10.333,4.2499,4.7267,-1.1055
440,0.2431,-0.5372,0.7587,0.6446,0.5948,-1.3322,0.8195,0.545,4.4531,0.2853,-10.691,2.3974,5.1465,-0.2031
445,-0.6722,-0.176,-0.143,-0.076,0.2745,-1.5425,0.9829,0.2501,4.7678,0.7763,-10.5724,0.5224,5.3118,0.6999
450,-1.4246,0.1852,-1.0447,-0.7967,-0.2339,-1.6245,1.1463,-0.0828,4.909,1.2357,-10.2981,-1.3532,5.3823,1.5924
455,-0.9882,-0.2055,-0.7905,-0.6268,-0.6183,-1.2804,0.6262,-0.3998,4.9039,1.6199,-9.7055,-3.1665,5.2417,2.4516
460,-0.5519,-0.7012,-0.5363,-0.4569,-0.9224,-0.9296,0.0693,-0.6592,4.8891,1.9395,-8.7997,-4.8685,4.9471,3.2428
465,-0.7772,-0.8912,-0.5646,-0.8692,-1.1332,-0.9229,0.0292,-0.8356,4.594,2.2248,-7.667,-6.4245,4.4988,3.9511
470,-1.0026,-0.9762,-0.599,-1.2815,-1.2362,-0.9162,-0.01,-0.9323,4.0587,2.3914,-6.2947,-7.7781,3.8943,4.5323
475,-0.8859,-0.8353,-0.607,-1.0008,-0.8819,-0.7179,-0.3866,-0.9529,3.4803,2.4213,-4.741,-8.9277,3.1875,5.0086
480,-0.7418,-0.6944,-0.6142,-0.7018,-0.5245,-0.5254,-0.8112,-0.9607,2.8029,2.4324,-3.0326,-9.7835,2.3849,5.2716
485,-0.7027,-0.6949,-0.6354,-0.6794,-0.5211,-0.5247,-0.9381,-0.9371,2.0421,2.3341,-1.2226,-10.361,1.5239,5.3056
490,-0.6727,-0.6955,-0.6512,-0.6631,-0.518,-0.5239,-1.0241,-0.9064,1.2327,2.1369,0.6349,-10.6387,0.6288,5.3178
495,-0.6337,-0.6788,-0.6192,-0.6322,-0.4904,-0.5013,-1.1008,-0.8934,0.4218,1.8725,2.4732,-10.5265,-0.2628,5.0958
500,-0.5964,-0.6528,-0.5688,-0.5991,-0.4503,-0.4664,-1.1702,-0.8873,-0.3773,1.5389,4.2539,-10.2669,-1.1355,4.6613
505,-0.567,-0.6381,-0.5262,-0.5661,-0.4245,-0.4441,-1.2385,-0.8951,-1.1473,1.1687,5.9613,-9.7118,-1.9758,4.1275
510,-0.5389,-0.6207,-0.502,-0.5474,-0.3932,-0.4182,-1.313,-0.911,-1.8581,0.7699,7.4828,-8.8465,-2.7477,3.4554
515,-0.4998,-0.5704,-0.5472,-0.5477,-0.3019,-0.3547,-1.4344,-0.9336,-2.4831,0.3625,8.7674,-7.6943,-3.4272,2.6612
520,-0.4758,-0.532,-0.5925,-0.548,-0.2317,-0.3081,-1.5195,-0.963,-3.0257,-0.0367,9.7576,-6.2752,-4.0022,1.7772
525,-0.4827,-0.5644,-0.5475,-0.5339,-0.2812,-0.3373,-1.5256,-0.9915,-3.49,-0.4062,10.4989,-4.6933,-4.4795,0.8583
530,-0.4896,-0.5968,-0.4328,-0.4944,-0.3307,-0.3666,-1.5319,-1.0332,-3.8637,-0.7456,10.8673,-2.9567,-4.8245,-0.0779
535,-0.2041,-0.3591,0.149,-0.0258,0.2175,-0.0292,-1.7518,-1.1888,-4.1822,-1.07,10.8087,-1.1138,-5.0444,-1.0037
540,0.0377,-0.1542,0.559,0.3356,0.6598,0.2491,-1.8877,-1.2578,-4.3297,-1.3185,10.6497,0.7576,-5.1456,-1.8758
545,-0.2735,-0.2241,0.0197,-0.1533,0.0985,-0.0293,-1.5311,-1.0514,-4.2958,-1.4734,10.0394,2.6285,-5.0694,-2.6804
550,-0.3732,-0.346,-0.0251,-0.3488,0.013,-0.0404,-1.2577,-0.8508,-4.2402,-1.5863,9.0232,4.4236,-4.8768,-3.3863
555,-0.4248,-0.3924,-0.3413,-0.4305,-0.2651,-0.2529,-1.2299,-0.8646,-3.9485,-1.5552,7.8015,6.1132,-4.5519,-3.9998
560,-0.3056,-0.6358,-0.2589,-0.4199,-0.2562,-0.1373,-1.0874,-0.8827,-3.5809,-1.5048,6.3025,7.6019,-4.0677,-4.4764
565,-0.2801,-0.338,-0.2447,-0.2769,-0.2217,-0.1722,-1.0194,-0.8055,-3.1244,-1.4362,4.634,8.8912,-3.4743,-4.8451
570,-0.2409,-0.2742,-0.2102,-0.234,-0.2086,-0.1291,-0.8338,-0.7313,-2.5831,-1.31,2.8196,9.8984,-2.7632,-5.0614
575,-0.2053,-0.2348,-0.1744,-0.1922,-0.1502,-0.1257,-0.6626,-0.571,-1.953,-1.1577,0.92,10.5868,-1.9512,-5.1318
580,-0.1614,-0.1741,-0.1349,-0.1425,-0.1002,-0.1048,-0.4654,-0.4167,-1.2554,-0.971,-1.0085,10.9068,-1.0534,-5.056
585,-0.1045,-0.0968,-0.0879,-0.0829,-0.0659,-0.0628,-0.2334,-0.2691,-0.4801,-0.666,-2.8955,10.9093,-0.111,-4.8495
590,-0.0526,-0.0301,-0.0448,-0.0303,-0.034,-0.0251,-0.0411,-0.1366,0.1289,-0.3853,-4.6718,10.5383,0.8473,-4.5
595,-0.0091,0.0234,-0.0079,0.0127,-0.0065,0.0063,0.1075,-0.0267,0.5701,-0.1494,-6.3098,9.8416,1.7961,-4.029
600,0.0234,0.0597,0.0198,0.0429,0.0143,0.0287,0.2024,0.055,0.8209,0.0364,-7.6953,8.7646,2.6796,-3.4154
605,0.0414,0.0764,0.0348,0.0572,0.0255,0.0395,0.243,0.1026,0.9068,0.1671,-8.8803,7.4666,3.4938,-2.7216
610,0.0488,0.0778,0.0413,0.0599,0.0306,0.0423,0.2361,0.1214,0.8274,0.2282,-9.7432,5.9084,4.1741,-1.9324
615,0.0436,0.0638,0.037,0.05,0.0276,0.0358,0.1875,0.1085,0.6276,0.2184,-10.3423,4.2025,4.7268,-1.0876
620,0.0267,0.0369,0.0227,0.0293,0.017,0.0212,0.1059,0.0666,0.3422,0.1406,-10.691,2.3974,5.1465,-0.2031
625,0,0,0,0,0,0,0,0,0,0,-10.6484,0.5146,5.3551,0.7024
630,0,0,0,0,0,0,0,0,0,0,-10.2981,-1.3532,5.3823,1.5924
635,0,0,0,0,0,0,0,0,0,0,-9.7348,-3.1803,5.2751,2.4617
640,0,0,0,0,0,0,0,0,0,0,-8.7997,-4.8685,4.9471,3.2428
645,0,0,0,0,0,0,0,0,0,0,-7.672,-6.4298,4.4964,3.9517
650,0,0,0,0,0,0,0,0,0,0,-6.2947,-7.7781,3.8943,4.5323
655,0,0,0,0,0,0,0,0,0,0,-4.7373,-8.9113,3.1836,4.9815
660,0,0,0,0,0,0,0,0,0,0,-3.0326,-9.7835,2.3849,5.2716
665,0,0,0,0,0,0,0,0,0,0,-1.2198,-10.3344,1.5187,5.3701
670,0,0,0,0,0,0,0,0,0,0,0.6349,-10.6387,0.6288,5.3178
675,0,0,0,0,0,0,0,0,0,0,2.4804,-10.6076,-0.2664,5.0741
680,0,0,0,0,0,0,0,0,0,0,4.2539,-10.2669,-1.1355,4.6613
685,0,0,0,0,0,0,0,0,0,0,5.9374,-9.6865,-1.9677,4.1211
690,0,0,0,0,0,0,0,0,0,0,7.4828,-8.8465,-2.7477,3.4554
695,0,0,0,0,0,0,0,0,0,0,8.7155,-7.6413,-3.4099,2.6425
700,0,0,0,0,0,0,0,0,0,0,9.7576,-6.2752,-4.0022,1.7772
705,0,0,0,0,0,0,0,0,0,0,10.5082,-4.7071,-4.4881,0.8604
710,0,0,0,0,0,0,0,0,0,0,10.8673,-2.9567,-4.8245,-0.0779
715,0,0,0,0,0,0,0,0,0,0,10.969,-1.1202,-5.0696,-1.0044
720,0,0,0,0,0,0,0,0,0,0,10.6571,0.7816,-5.1482,-1.8856
725,0,0,0,0,0,0,0,0,0,0,9.9659,2.6652,-5.0662,-2.6862
730,0,0,0,0,0,0,0,0,0,0,9.0268,4.496,-4.8772,-3.4124
735,0,0,0,0,0,0,0,0,0,0,7.7682,6.1835,-4.5295,-4.0167
740,0,0,0,0,0,0,0,0,0,0,6.2659,7.6806,-4.0456,-4.4947
745,0,0,0,0,0,0,0,0,0,0,4.5849,8.9474,-3.443,-4.8443
750,0,0,0,0,0,0,0,0,0,0,2.7694,9.9399,-2.7292,-5.0581
755,0,0,0,0,0,0,0,0,0,0,0.8747,10.5847,-1.9146,-5.1145
760,0,0,0,0,0,0,0,0,0,0,-1.0307,10.9401,-1.0365,-5.054
765,0,0,0,0,0,0,0,0,0,0,-2.8841,10.8853,-0.1071,-4.8276
770,0,0,0,0,0,0,0,0,0,0,-4.6451,10.5222,0.8378,-4.4871
775,0,0,0,0,0,0,0,0,0,0,-6.2367,9.7943,1.7636,-4.0095
780,0,0,0,0,0,0,0,0,0,0,-7.6719,8.8105,2.6552,-3.4388
785,0,0,0,0,0,0,0,0,0,0,-8.8005,7.4828,3.4414,-2.7399
790,0,0,0,0,0,0,0,0,0,0,-9.6294,5.9171,4.1023,-1.953
795,0,0,0,0,0,0,0,0,0,0,-10.3701,4.2912,4.7143,-1.1367
800,0,0,0,0,0,0,0,0,0,0,-10.6413,2.4661,5.0959,-0.2522
805,0,0,0,0,0,0,0,0,0,0,-10.681,0.5989,5.3434,0.6507
