position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-0.969622,1.148334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.579804,-1.638392,1.451250,-0.769286,0.804592,2.235607,-2.243010,-2.597478
103,-1.010652,1.195835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.572726,-1.671271,1.507039,-0.566231,0.599726,2.095295,-2.146123,-2.596743
107,-1.078013,1.249425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.574905,-1.726050,1.573279,-0.302003,0.332539,1.935192,-1.992081,-2.591593
110,-1.126712,1.287909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.573651,-1.763055,1.619121,-0.109563,0.136197,1.810325,-1.871169,-2.584008
114,-1.188427,1.335468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.562066,-1.803927,1.672913,0.137463,-0.115867,1.637694,-1.701947,-2.565516
117,-1.230672,1.367473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.544580,-1.825470,1.705360,0.313211,-0.297857,1.501533,-1.567656,-2.542896
120,-1.269623,1.395094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.516386,-1.838196,1.729289,0.479859,-0.470830,1.360884,-1.426126,-2.510568
124,-1.315165,1.424013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.457321,-1.837988,1.746122,0.686219,-0.684962,1.165217,-1.225607,-2.449288
127,-1.355946,1.431308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.398245,-1.830265,1.743304,0.844069,-0.821674,1.029872,-1.049903,-2.394787
130,-1.364582,1.446977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.316362,-1.791081,1.729063,0.956705,-0.971855,0.849812,-0.896748,-2.309951
