position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-0.600173,0.189729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.887938,-0.308332,0.738274,-0.140713,0.059622,0.095488,-0.078605,-1.847223
103,-0.603864,0.228957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.815604,-0.358742,0.756223,-0.132717,0.054088,0.062852,-0.042188,-1.782008
107,-0.610480,0.280951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.719060,-0.425515,0.779709,-0.122642,0.047956,0.022049,0.005118,-1.694114
110,-0.614771,0.318888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.646371,-0.473933,0.795268,-0.113451,0.042344,-0.008037,0.041316,-1.628587
114,-0.621343,0.369025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.551783,-0.535835,0.815257,-0.097787,0.032378,-0.050744,0.086770,-1.541961
117,-0.626735,0.405336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.481824,-0.579787,0.827358,-0.083767,0.023929,-0.082381,0.121862,-1.477894
120,-0.632077,0.440589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.413936,-0.620826,0.836910,-0.067007,0.013622,-0.116596,0.156339,-1.414395
124,-0.638937,0.486903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.326940,-0.670227,0.845771,-0.042520,-0.003068,-0.165017,0.201442,-1.331615
127,-0.645144,0.519435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.265169,-0.703067,0.848213,-0.020352,-0.017057,-0.203605,0.236991,-1.270870
130,-0.651161,0.551275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.207292,-0.731399,0.847377,0.003355,-0.033781,-0.246247,0.272338,-1.211440
134,-0.660802,0.591247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.135651,-0.761950,0.840415,0.037994,-0.057048,-0.305911,0.321865,-1.135518
137,-0.669164,0.620591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.086809,-0.778822,0.831175,0.064594,-0.076028,-0.353503,0.359938,-1.081535
141,-0.682438,0.658351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.026958,-0.791963,0.813103,0.099098,-0.101186,-0.418195,0.412049,-1.014467
144,-0.694379,0.685910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.986203,-0.794038,0.795262,0.123194,-0.119512,-0.467021,0.452251,-0.968517
147,-0.708219,0.713406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949316,-0.789592,0.773512,0.145447,-0.137398,-0.515648,0.492945,-0.927038
151,-0.731173,0.749152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.904779,-0.771755,0.738878,0.172021,-0.158145,-0.577751,0.548873,-0.879777
154,-0.751392,0.775882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.875401,-0.748839,0.708109,0.187250,-0.172053,-0.622172,0.591092,-0.850638
158,-0.783379,0.811398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.841096,-0.705048,0.660957,0.201893,-0.186283,-0.676635,0.647907,-0.820981
161,-0.810883,0.838452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.819505,-0.662688,0.620263,0.208287,-0.193320,-0.714613,0.690469,-0.805349
165,-0.851364,0.875172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.795560,-0.594388,0.559462,0.208264,-0.197055,-0.759909,0.745507,-0.791662
