position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,0.027035,-0.026595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.832051,0.094212,-0.094667,0.214789,-0.214728,-0.808599,0.808629,-0.832131
103,0.020438,-0.020002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.767758,0.075945,-0.076381,0.142915,-0.142840,-0.795431,0.795426,-0.767786
107,0.011777,-0.011368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.682407,0.051924,-0.052305,0.049442,-0.049383,-0.775716,0.775694,-0.682434
110,0.005312,-0.004943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.619311,0.033990,-0.034332,-0.018453,0.018496,-0.758798,0.758778,-0.619320
114,-0.003167,0.003496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538388,0.010440,-0.010800,-0.104060,0.104138,-0.733561,0.733546,-0.538413
117,-0.010044,0.010706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480349,-0.007145,0.006989,-0.165828,0.165587,-0.712006,0.711230,-0.480309
120,-0.015875,0.016149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.427309,-0.024721,0.024398,-0.220633,0.220713,-0.689411,0.689391,-0.427348
124,-0.024285,0.024549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363497,-0.047919,0.047652,-0.288091,0.288144,-0.656363,0.656315,-0.363493
127,-0.030771,0.030984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322287,-0.065558,0.065302,-0.333171,0.333239,-0.629723,0.629684,-0.322304
130,-0.037472,0.037607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.287671,-0.083443,0.083249,-0.373176,0.373241,-0.601945,0.601954,-0.287714
134,-0.046702,0.046811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250869,-0.107832,0.107669,-0.418876,0.418944,-0.563752,0.563717,-0.250862
137,-0.054252,0.054355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229223,-0.126814,0.126688,-0.448244,0.448268,-0.534696,0.534660,-0.229234
141,-0.065216,0.065280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206969,-0.153040,0.152954,-0.480899,0.480918,-0.496169,0.496137,-0.206971
144,-0.074378,0.074398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194082,-0.173686,0.173697,-0.501225,0.501189,-0.467710,0.467740,-0.194121
147,-0.084559,0.084602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183707,-0.195317,0.195340,-0.518006,0.517893,-0.440107,0.440129,-0.183738
151,-0.099475,0.099400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172411,-0.225128,0.225175,-0.534727,0.534731,-0.405137,0.405089,-0.172354
154,-0.112092,0.112096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164800,-0.248915,0.248951,-0.543874,0.543841,-0.380601,0.380599,-0.164739
158,-0.130682,0.130646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154542,-0.281569,0.281605,-0.550838,0.550808,-0.350558,0.350527,-0.154485
161,-0.146041,0.146031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146911,-0.306944,0.306966,-0.553204,0.553198,-0.330144,0.330115,-0.146837
165,-0.167656,0.167624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136833,-0.340123,0.340138,-0.551700,0.551682,-0.305171,0.305107,-0.136738
169,-0.190420,0.190415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127213,-0.372187,0.372184,-0.546297,0.546324,-0.282775,0.282762,-0.127208
172,-0.208576,0.208568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120625,-0.395688,0.395677,-0.540358,0.540371,-0.267846,0.267750,-0.120479
176,-0.232934,0.232928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112550,-0.424000,0.423945,-0.529587,0.529568,-0.249660,0.249551,-0.112421
