position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-24.192643,-24.138631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.255705,26.307599,26.447590,-7.193432,-7.267330,4.020580,4.063105,-4.209050
103,-22.517946,-22.457785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.306449,24.220063,24.368502,-6.658082,-6.745081,3.888186,3.949753,-4.235744
107,-20.300771,-20.232859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.371692,21.487810,21.646324,-5.956941,-6.060472,3.703394,3.788935,-4.270819
110,-18.683953,-18.610946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.426025,19.492387,19.656736,-5.446662,-5.560909,3.601720,3.703111,-4.305281
114,-16.590057,-16.511734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.514120,16.980241,17.148999,-4.814180,-4.938834,3.460512,3.578571,-4.372382
117,-15.098544,-15.017692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.598866,15.224941,15.393439,-4.381373,-4.510504,3.388262,3.514709,-4.447131
120,-13.696347,-13.614782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.711326,13.603063,13.767426,-3.982491,-4.110343,3.365467,3.494721,-4.554513
124,-11.967440,-11.886959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.912866,11.714335,11.867299,-3.552155,-3.674065,3.359134,3.484411,-4.761526
127,-10.820206,-10.743338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.115098,10.510360,10.648416,-3.290726,-3.401177,3.428176,3.542306,-4.976921
130,-9.806328,-9.735337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.364092,9.512844,9.630625,-3.102299,-3.195480,3.544152,3.639473,-5.247468
134,-8.651166,-8.590827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.753908,8.463596,8.547591,-2.955858,-3.020094,3.755240,3.816875,-5.676516
137,-7.929494,-7.878327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.082796,7.840269,7.895990,-2.881336,-2.921442,3.958587,3.991002,-6.039497
141,-7.115077,-7.076754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.532911,7.187690,7.205082,-2.856252,-2.864087,4.238206,4.230373,-6.537802
144,-6.608566,-6.579257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.872180,6.789870,6.779794,-2.851658,-2.837427,4.450428,4.414348,-6.912062
147,-6.170336,-6.148853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.194926,6.444211,6.409588,-2.853809,-2.821060,4.649760,4.589749,-7.266673
151,-5.663782,-5.649645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.581732,6.022293,5.962677,-2.838578,-2.788868,4.875605,4.793853,-7.687072
154,-5.317091,-5.305460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.827782,5.703519,5.632445,-2.810832,-2.756641,4.991851,4.904865,-7.949265
158,-4.874720,-4.861362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.106022,5.250179,5.175673,-2.710386,-2.662300,5.079230,5.001656,-8.233418
161,-4.546253,-4.527772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.335975,4.907708,4.837700,-2.629574,-2.592344,5.138366,5.077496,-8.456081
165,-4.127714,-4.098123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.768791,4.490948,4.431663,-2.520332,-2.501829,5.301030,5.270126,-8.864027
