position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,0.496105,0.499202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.688894,0.540212,0.548367,-2.371327,-2.346789,3.031718,3.025798,-6.670405
103,0.318636,0.321803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.450945,0.344233,0.352439,-2.092764,-2.070185,2.767105,2.760407,-6.434190
107,0.081282,0.084578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.134521,0.077671,0.086041,-1.732525,-1.711782,2.424130,2.416525,-6.119652
110,-0.082328,-0.078922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.890771,-0.114186,-0.105695,-1.476562,-1.457561,2.158874,2.150651,-5.877313
114,-0.287107,-0.283647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.568487,-0.367252,-0.358832,-1.153891,-1.136935,1.825389,1.816638,-5.556962
117,-0.419905,-0.416453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.327396,-0.546737,-0.538426,-0.932585,-0.917043,1.579218,1.569996,-5.317005
120,-0.531163,-0.527889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.092064,-0.714918,-0.707020,-0.732143,-0.718264,1.336899,1.327551,-5.082989
124,-0.646695,-0.643849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.797232,-0.923888,-0.917019,-0.494564,-0.483165,1.034337,1.025653,-4.790107
127,-0.700827,-0.698314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.592533,-1.064079,-1.057942,-0.351104,-0.341246,0.812468,0.804100,-4.586402
130,-0.730708,-0.728900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.407531,-1.193631,-1.188709,-0.233571,-0.225052,0.603531,0.595760,-4.402379
134,-0.739649,-0.738530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.182718,-1.348752,-1.345679,-0.114292,-0.108669,0.343328,0.337769,-4.179341
137,-0.730849,-0.730481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.033416,-1.452454,-1.450951,-0.059350,-0.055479,0.151057,0.147152,-4.031157
141,-0.714884,-0.715388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.847111,-1.577691,-1.578228,-0.005143,-0.003208,-0.084313,-0.085842,-3.846191
144,-0.708221,-0.709492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.720771,-1.662179,-1.664199,0.015237,0.015835,-0.257778,-0.257329,-3.720856
147,-0.710348,-0.712296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.599270,-1.736978,-1.740568,0.019374,0.018832,-0.428223,-0.425630,-3.600389
151,-0.732980,-0.735446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.432535,-1.816157,-1.820906,0.025812,0.024491,-0.637913,-0.633553,-3.434417
