position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-11.180745,-11.168047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.837771,8.489243,8.519625,-1.995592,-2.105961,-2.101709,-2.069375,4.788738
103,-10.268244,-10.256313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.599020,7.782499,7.809673,-2.079562,-2.188491,-1.782186,-1.740669,4.560643
107,-9.061341,-9.050717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.258432,6.859861,6.882132,-2.166932,-2.275618,-1.376865,-1.324014,4.232879
110,-8.192712,-8.182817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.991775,6.168527,6.187594,-2.205450,-2.313033,-1.039661,-0.978559,3.974968
114,-7.068689,-7.059481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.623391,5.288536,5.303997,-2.235325,-2.340413,-0.657783,-0.588161,3.617623
117,-6.278557,-6.269773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.344851,4.648045,4.660922,-2.228086,-2.331145,-0.375233,-0.299527,3.345033
120,-5.546411,-5.537429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.067640,4.025236,4.037068,-2.191200,-2.289034,-0.097660,-0.018787,3.073855
124,-4.647315,-4.637089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.721079,3.254477,3.267111,-2.133065,-2.220242,0.195088,0.272299,2.734915
127,-4.064690,-4.053567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.479709,2.705701,2.718792,-2.043347,-2.122590,0.409314,0.484097,2.495972
130,-3.549922,-3.536601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.265409,2.200437,2.217011,-1.944742,-2.011131,0.583993,0.650038,2.284848
134,-2.962701,-2.947083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.023340,1.596862,1.616687,-1.798685,-1.849984,0.764052,0.816336,2.043355
137,-2.606971,-2.589248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.867537,1.183552,1.206905,-1.647833,-1.686031,0.887976,0.926474,1.887936
141,-2.201930,-2.181953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.702734,0.709029,0.737047,-1.466475,-1.488204,0.996246,1.013940,1.722126
144,-1.960218,-1.939044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.605249,0.399672,0.430385,-1.311981,-1.322692,1.056558,1.058381,1.623349
147,-1.765576,-1.743470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.529459,0.131063,0.164650,-1.142245,-1.143004,1.098920,1.084307,1.546450
151,-1.554547,-1.533877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.467755,-0.158041,-0.125426,-0.948670,-0.940871,1.110239,1.080638,1.480575
