position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-1.447932,-1.457224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.876293,-1.666384,-1.690781,-0.094088,-0.167092,-2.493541,-2.476222,3.820876
103,-1.350158,-1.360969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.772122,-1.563374,-1.590639,-0.273804,-0.344136,-2.249189,-2.227580,3.720383
107,-1.224464,-1.237339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.610389,-1.423383,-1.454678,-0.494596,-0.562799,-1.932359,-1.905676,3.562755
110,-1.144049,-1.158145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.481383,-1.327646,-1.361262,-0.640972,-0.706954,-1.671345,-1.640694,3.436519
114,-1.044558,-1.059713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.291523,-1.197968,-1.233590,-0.816648,-0.879356,-1.361402,-1.326927,3.250729
117,-0.986874,-1.002401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.143755,-1.110541,-1.146917,-0.923817,-0.984285,-1.125279,-1.087587,3.104993
120,-0.948578,-0.963626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.990763,-1.035584,-1.070844,-1.007264,-1.063315,-0.888904,-0.849729,2.955140
124,-0.915193,-0.928140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.790418,-0.943118,-0.973817,-1.100775,-1.148565,-0.613739,-0.576544,2.760552
127,-0.919738,-0.930584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.643126,-0.892853,-0.919294,-1.129246,-1.171780,-0.403332,-0.367477,2.616379
130,-0.938314,-0.945446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.504407,-0.849662,-0.868188,-1.143619,-1.177321,-0.214583,-0.184561,2.483031
134,-0.977848,-0.979804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.335129,-0.798738,-0.807147,-1.137658,-1.162123,0.010664,0.032303,2.319924
137,-1.028333,-1.026062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.212752,-0.775041,-0.774323,-1.091006,-1.107579,0.179044,0.192118,2.203055
141,-1.087374,-1.079409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.064583,-0.739109,-0.726577,-1.032227,-1.039185,0.369336,0.369457,2.062387
144,-1.135696,-1.124000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.958203,-0.717536,-0.697126,-0.964127,-0.964914,0.501894,0.492037,1.961439
147,-1.183628,-1.168471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.855341,-0.698364,-0.670463,-0.872918,-0.868067,0.626598,0.605871,1.864204
151,-1.223727,-1.206897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.729413,-0.668927,-0.636921,-0.771118,-0.762254,0.762406,0.732960,1.742788
154,-1.249357,-1.231872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.635805,-0.650126,-0.616113,-0.668746,-0.657744,0.854701,0.818881,1.652396
158,-1.259849,-1.244541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.519761,-0.627544,-0.596918,-0.557360,-0.545576,0.952402,0.914894,1.537363
161,-1.263373,-1.251380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.435179,-0.607888,-0.582571,-0.454883,-0.443751,1.012728,0.977277,1.451982
165,-1.258782,-1.252365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.334906,-0.580835,-0.564617,-0.347426,-0.336905,1.074494,1.045643,1.348858
169,-1.257863,-1.258669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.248060,-0.540794,-0.536148,-0.241702,-0.231409,1.118328,1.100218,1.257192
