position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-0.047430,-0.047309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020679,0.035938,0.036156,-0.008465,-0.008916,-0.008908,-0.008786,0.020151
103,-0.100931,-0.100658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057978,0.077947,0.078282,-0.041811,-0.043794,-0.009016,-0.008100,0.057965
107,-0.171245,-0.170775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096220,0.133058,0.133540,-0.075316,-0.079055,-0.005761,-0.003404,0.096653
110,-0.220871,-0.220213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128017,0.168788,0.169455,-0.104734,-0.109646,-0.001739,0.001620,0.128750
114,-0.279322,-0.278488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159796,0.211388,0.212278,-0.132668,-0.138853,0.003564,0.008264,0.160794
117,-0.316309,-0.315321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183706,0.234259,0.235255,-0.154464,-0.161362,0.009548,0.015270,0.184732
120,-0.345894,-0.344837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205206,0.248194,0.249344,-0.173063,-0.180451,0.018914,0.025255,0.206316
124,-0.368221,-0.367079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218534,0.257500,0.258723,-0.182359,-0.189652,0.026546,0.032776,0.220081
127,-0.373472,-0.372294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228562,0.248281,0.249690,-0.187816,-0.195100,0.037452,0.044386,0.229705
130,-0.364838,-0.363688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228679,0.230613,0.232086,-0.183936,-0.190681,0.045862,0.052081,0.229982
134,-0.335533,-0.334446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222593,0.193233,0.194789,-0.173628,-0.179117,0.056696,0.062449,0.223587
137,-0.303045,-0.302010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.206048,0.161181,0.162783,-0.153078,-0.157576,0.060362,0.065422,0.206940
141,-0.250046,-0.249360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181694,0.112243,0.113568,-0.128326,-0.132270,0.064461,0.069000,0.182199
144,-0.204774,-0.204008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156245,0.078052,0.079569,-0.104648,-0.106331,0.063931,0.065930,0.157030
147,-0.159672,-0.159069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129090,0.044683,0.046005,-0.080941,-0.081993,0.062050,0.062349,0.130054
151,-0.102401,-0.101879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093032,0.005979,0.007291,-0.054690,-0.054052,0.057467,0.056744,0.093765
154,-0.064797,-0.064424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063381,-0.013841,-0.012882,-0.035588,-0.034928,0.049905,0.047749,0.064380
158,-0.026432,-0.026070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030556,-0.030480,-0.029682,-0.018998,-0.017688,0.042316,0.039517,0.031573
161,-0.001517,-0.001370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004281,-0.029504,-0.028850,-0.008915,-0.007536,0.028614,0.025415,0.005255
165,0.016851,0.017295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018466,-0.029300,-0.028779,-0.002531,-0.001224,0.021429,0.018320,-0.017339
169,0.028521,0.029208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036074,-0.021923,-0.021240,0.000413,0.001882,0.011123,0.008578,-0.035057
172,0.036453,0.037123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.046112,-0.011621,-0.011276,0.000823,0.001500,0.000300,-0.002153,-0.045025
176,0.039726,0.041798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050027,-0.002301,-0.002426,0.000806,0.001510,-0.010615,-0.012102,-0.049550
179,0.047145,0.047963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052221,0.006846,0.007311,-0.000019,-0.000263,-0.026573,-0.027891,-0.051573
