position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
100,-0.238501,-0.239697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322301,-0.010260,-0.013409,0.896920,0.887466,-2.000177,-1.997934,0.315177
103,-0.156180,-0.157413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398201,0.055920,0.052766,0.680121,0.671582,-1.960947,-1.958412,0.391754
107,-0.055935,-0.057232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.446525,0.147609,0.144410,0.437263,0.429623,-1.897895,-1.895098,0.440897
110,0.016820,0.015561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.506516,0.205910,0.202724,0.231036,0.224139,-1.845829,-1.842850,0.501504
114,0.103636,0.102287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537372,0.284318,0.281184,0.000983,-0.005035,-1.773939,-1.770844,0.533162
117,0.161592,0.160288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.579732,0.327475,0.324424,-0.192176,-0.197590,-1.707851,-1.704675,0.576048
120,0.209624,0.208464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.612040,0.360293,0.357489,-0.376255,-0.381123,-1.629613,-1.626392,0.608793
124,0.261305,0.260294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.609891,0.400601,0.398264,-0.575140,-0.578862,-1.522478,-1.519592,0.607495
127,0.284121,0.283322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.616176,0.407087,0.405136,-0.732232,-0.735358,-1.416035,-1.413409,0.614244
130,0.295996,0.295535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.608650,0.401989,0.400703,-0.874983,-0.877301,-1.297463,-1.295353,0.607256
134,0.307898,0.307695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.560434,0.395537,0.395309,-1.016738,-1.017806,-1.141084,-1.140142,0.559880
137,0.300667,0.300963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526709,0.363216,0.363442,-1.119919,-1.120958,-1.002245,-1.001472,0.526312
141,0.301354,0.300271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.454917,0.324656,0.325596,-1.219656,-1.218878,-0.833560,-0.834597,0.455210
144,0.289273,0.290318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407077,0.266381,0.268097,-1.290512,-1.290421,-0.694564,-0.695524,0.407555
147,0.277668,0.278961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.356056,0.196081,0.198412,-1.344430,-1.343960,-0.557789,-0.559540,0.356905
151,0.286696,0.288090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.277389,0.105906,0.108450,-1.392377,-1.391707,-0.407828,-0.410156,0.278501
154,0.285556,0.286963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.230658,0.005517,0.008235,-1.421059,-1.420206,-0.291228,-0.293980,0.231917
158,0.308412,0.309557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168700,-0.133883,-0.130716,-1.441561,-1.442187,-0.170761,-0.171752,0.170451
161,0.314807,0.315663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136700,-0.270336,-0.268396,-1.448943,-1.448133,-0.075929,-0.078529,0.137897
165,0.348087,0.348427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090736,-0.445458,-0.444287,-1.439798,-1.439011,0.012508,0.010407,0.091679
169,0.381623,0.381382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051594,-0.634074,-0.633790,-1.411140,-1.410354,0.083970,0.082684,0.052177
172,0.386639,0.385935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031180,-0.797077,-0.797354,-1.373346,-1.372488,0.140409,0.139756,0.031484
176,0.409705,0.408568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003058,-0.995127,-0.996157,-1.305869,-1.305072,0.181415,0.181929,-0.002999
179,0.403111,0.401708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.022557,-1.154469,-1.155964,-1.231987,-1.230893,0.215043,0.215941,-0.022837
183,0.409614,0.407816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.057016,-1.338427,-1.340267,-1.118273,-1.117069,0.227931,0.229507,-0.057664
187,0.404289,0.402338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.094458,-1.506384,-1.508329,-0.980467,-0.979149,0.224413,0.226357,-0.095278
190,0.371923,0.369953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.119942,-1.627506,-1.628820,-0.853297,-0.852656,0.222028,0.224856,-0.120939
194,0.345229,0.343340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.159253,-1.757283,-1.758838,-0.690989,-0.689608,0.195598,0.197605,-0.160081
198,0.306149,0.304586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.195735,-1.862638,-1.863745,-0.525980,-0.524766,0.161140,0.162825,-0.196431
201,0.245119,0.243548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.217503,-1.930225,-1.931099,-0.395250,-0.394024,0.140449,0.141947,-0.218134
205,0.184884,0.183683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240444,-1.996619,-1.997092,-0.250848,-0.249865,0.106196,0.107279,-0.240910
208,0.107237,0.106220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.248485,-2.032130,-2.032404,-0.144161,-0.143296,0.091107,0.091869,-0.248791
212,0.024823,0.023970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.247574,-2.060674,-2.060734,-0.043948,-0.043242,0.073390,0.073781,-0.247742
216,-0.117270,-0.117927,0.046419,0.046437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.237329,-2.066838,-2.066785,0.032741,0.033441,0.067508,0.067352,-0.237436
221,-0.304455,-0.306816,0.132632,0.132589,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.213327,-2.046331,-2.042609,0.073442,0.072099,0.065723,0.063323,-0.213773
225,-0.488612,-0.488583,0.201936,0.202091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.180668,-2.002930,-2.002944,0.091592,0.091592,0.079195,0.078901,-0.180598
229,-0.681593,-0.681353,0.271546,0.271798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.143348,-1.941666,-1.941834,0.092635,0.092410,0.098015,0.097638,-0.143288
233,-0.876044,-0.875605,0.334876,0.335171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.104234,-1.856817,-1.857117,0.081522,0.081118,0.117691,0.117280,-0.104165
238,-1.091297,-1.090680,0.410774,0.411206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060518,-1.726930,-1.727453,0.043583,0.043020,0.131777,0.131374,-0.060492
242,-1.264170,-1.263439,0.440636,0.441129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.027396,-1.598048,-1.598733,0.022783,0.022103,0.144447,0.144103,-0.027354
246,-1.411071,-1.410300,0.449223,0.449768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.449183,-1.450023,0.007217,0.006425,0.151283,0.150966,0.000000
250,-1.527153,-1.526488,0.441478,0.442101,-0.006333,-0.006305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.285126,-1.286077,0.005793,0.004986,0.155150,0.154931,0.000000
