position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-0.858916,0.737051,-1.854215,1.923671,1.739127,-1.759982,-1.542896,1.608587,-1.260102,1.170641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,-1.205393,1.084784,-1.518713,1.587747,1.769505,-1.827386,-1.967733,2.034154,-1.049652,0.989360,0.178249,-0.075130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-1.559531,1.420619,-1.193253,1.257372,1.793436,-1.858585,-2.396887,2.461593,-0.849548,0.803661,0.345858,-0.154345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,-1.893964,1.740827,-0.880216,0.936180,1.790464,-1.858143,-2.803091,2.864127,-0.661693,0.630002,0.503738,-0.229308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,-2.202605,2.040707,-0.581287,0.628515,1.755497,-1.824892,-3.162669,3.223304,-0.488919,0.465151,0.645583,-0.301322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,-2.481084,2.311118,-0.296382,0.334865,1.685736,-1.756789,-3.461774,3.518170,-0.329058,0.321677,0.767069,-0.363064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,-2.713167,2.543170,-0.027817,0.056310,1.581972,-1.648727,-3.682441,3.733312,-0.191529,0.193212,0.861330,-0.419686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,-2.891928,2.731566,0.224678,-0.208781,1.436626,-1.500043,-3.805030,3.850294,-0.075585,0.088012,0.923603,-0.465435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,-3.023180,2.859058,0.472679,-0.450632,1.263479,-1.291641,-3.830601,3.846747,0.000000,0.000000,0.945554,-0.505629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-3.062068,2.941007,0.685809,-0.692367,1.022901,-1.058711,-3.702214,3.729056,0.000000,0.000000,0.934723,-0.523615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-3.049805,2.958550,0.892663,-0.910930,0.750338,-0.769994,-3.485350,3.496444,0.000000,0.000000,0.889809,-0.540087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-2.979997,2.922892,1.081955,-1.112432,0.440787,-0.443615,-3.186373,3.180832,0.000000,0.000000,0.827615,-0.556084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
