position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-0.081686,0.163680,-0.450535,0.403787,-0.271896,0.285947,-0.392068,0.347854,-0.149340,0.209531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,-0.107936,0.203222,-0.447494,0.402262,-0.258984,0.277725,-0.417344,0.376794,-0.125506,0.176742,-0.019642,-0.048494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-0.134373,0.241825,-0.442891,0.401498,-0.250114,0.269257,-0.440009,0.404520,-0.101419,0.144403,-0.038536,-0.095690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,-0.162566,0.280945,-0.437954,0.399640,-0.241089,0.262762,-0.462741,0.430858,-0.079080,0.113368,-0.055179,-0.139591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,-0.193084,0.320103,-0.431586,0.396730,-0.233875,0.257737,-0.483112,0.454500,-0.058385,0.084186,-0.068825,-0.178721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,-0.226690,0.359226,-0.423334,0.392413,-0.229088,0.254363,-0.499826,0.474469,-0.039747,0.057541,-0.078417,-0.211554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,-0.263984,0.398471,-0.412920,0.386208,-0.227545,0.252304,-0.511656,0.490367,-0.023314,0.034348,-0.082827,-0.236402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,-0.306308,0.437353,-0.399735,0.378124,-0.228683,0.252988,-0.518291,0.500728,-0.010146,0.014730,-0.081295,-0.251951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,-0.353815,0.476516,-0.383958,0.367475,-0.234360,0.255407,-0.517556,0.505496,0.000000,0.000000,-0.072527,-0.256355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-0.406920,0.515690,-0.365113,0.353443,-0.244849,0.259780,-0.509194,0.503633,0.000000,0.000000,-0.055810,-0.248981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-0.463439,0.553676,-0.343190,0.336389,-0.260311,0.268261,-0.493469,0.495512,0.000000,0.000000,-0.031522,-0.232892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-0.520461,0.589060,-0.317872,0.315936,-0.281725,0.282272,-0.470831,0.480937,0.000000,0.000000,-0.000313,-0.211995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,-0.575122,0.621540,-0.289748,0.290778,-0.310216,0.303087,-0.442448,0.461051,0.000000,0.000000,0.037657,-0.189886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,-0.624864,0.648329,-0.258611,0.262264,-0.346685,0.332031,-0.408319,0.435101,0.000000,0.000000,0.081441,-0.170689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,-0.667335,0.668817,-0.222976,0.228871,-0.393860,0.373609,-0.371994,0.403816,0.000000,0.000000,0.130165,-0.158695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,-0.698048,0.678782,-0.184631,0.193519,-0.453090,0.428018,-0.332140,0.366959,0.000000,0.000000,0.183297,-0.157241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,-0.719353,0.684067,-0.144814,0.153910,-0.524036,0.495878,-0.289756,0.326206,0.000000,0.000000,0.240563,-0.171255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,-0.723152,0.678353,-0.102996,0.113023,-0.609481,0.580563,-0.246423,0.281440,0.000000,0.000000,0.301718,-0.202309,0.030038,-0.041016,0.000000,0.000000,0.000000,0.000000
-350,-0.712566,0.663404,-0.062196,0.074480,-0.705299,0.676818,-0.202770,0.234100,0.000000,0.000000,0.365321,-0.249198,0.069566,-0.093466,0.000000,0.000000,0.000000,0.000000
-345,-0.688914,0.640423,-0.026450,0.039659,-0.805681,0.779787,-0.160814,0.186446,0.000000,0.000000,0.431955,-0.309541,0.116081,-0.154553,0.000000,0.000000,0.000000,0.000000
-340,-0.654141,0.610266,0.002241,0.012069,-0.904995,0.882089,-0.119981,0.139890,0.000000,0.000000,0.500406,-0.380159,0.168572,-0.221651,0.000000,0.000000,0.000000,0.000000
-335,-0.609134,0.572605,0.021390,-0.006507,-0.998161,0.978787,-0.082459,0.096800,0.000000,0.000000,0.571213,-0.458468,0.225194,-0.291485,0.000000,0.000000,0.000000,0.000000
-330,-0.555903,0.528782,0.028116,-0.015330,-1.078052,1.064436,-0.049211,0.057660,0.000000,0.000000,0.642733,-0.542004,0.283998,-0.360415,0.000000,0.000000,0.000000,0.000000
-325,-0.495650,0.478439,0.022156,-0.010536,-1.140855,1.132113,-0.021400,0.024723,0.000000,0.000000,0.715768,-0.627759,0.343141,-0.426342,0.000000,0.000000,0.000000,0.000000
-320,-0.429379,0.421292,-0.000163,0.010205,-1.179352,1.174670,0.000000,0.000000,0.000000,0.000000,0.787856,-0.713039,0.401603,-0.486021,0.000000,0.000000,0.000000,0.000000
-315,-0.359250,0.357021,-0.038858,0.046765,-1.190767,1.188404,0.000000,0.000000,0.000000,0.000000,0.859051,-0.795307,0.457125,-0.537415,0.000000,0.000000,0.000000,0.000000
-310,-0.286859,0.288885,-0.093637,0.101107,-1.176051,1.174097,0.000000,0.000000,0.000000,0.000000,0.925213,-0.870923,0.509752,-0.582221,0.000000,0.000000,0.000000,0.000000
-305,-0.214101,0.217333,-0.164806,0.171386,-1.138575,1.136810,0.000000,0.000000,0.000000,0.000000,0.981194,-0.935667,0.561122,-0.621740,0.000000,0.000000,0.000000,0.000000
-300,-0.141958,0.145283,-0.251005,0.257571,-1.080522,1.077804,0.000000,0.000000,0.000000,0.000000,1.023105,-0.985486,0.610794,-0.658877,0.000000,0.000000,0.000000,0.000000
-295,-0.073501,0.075393,-0.350909,0.357946,-1.003906,0.999525,0.000000,0.000000,0.000000,0.000000,1.046028,-1.015834,0.659745,-0.694851,0.000000,0.000000,0.000000,0.000000
-290,-0.008889,0.009254,-0.465162,0.472791,-0.912536,0.906341,0.000000,0.000000,0.000000,0.000000,1.045779,-1.022670,0.708583,-0.732195,0.000000,0.000000,0.000000,0.000000
-285,0.049116,-0.050477,-0.593314,0.601343,-0.808763,0.801130,0.000000,0.000000,0.000000,0.000000,1.018193,-1.001450,0.758252,-0.772506,0.000000,0.000000,0.000000,0.000000
-280,0.098101,-0.100318,-0.735312,0.743500,-0.695573,0.687011,0.000000,0.000000,0.000000,0.000000,0.959551,-0.947856,0.809761,-0.817672,0.000000,0.000000,0.000000,0.000000
-276,0.130437,-0.133351,-0.856970,0.865176,-0.600066,0.591054,0.000000,0.000000,0.000000,0.000000,0.886091,-0.877522,0.852425,-0.856923,0.063086,-0.063155,0.000000,0.000000
-272,0.153399,-0.156011,-0.979855,0.987295,-0.502623,0.494176,0.000000,0.000000,0.000000,0.000000,0.795856,-0.789762,0.895322,-0.898423,0.141219,-0.140203,0.000000,0.000000
-267,0.163104,-0.166981,-1.125372,1.131759,-0.382065,0.375601,0.000000,0.000000,0.000000,0.000000,0.663739,-0.657577,0.945470,-0.950106,0.253641,-0.251651,0.000000,0.000000
-263,0.153186,-0.157473,-1.226001,1.231711,-0.290208,0.284943,0.000000,0.000000,0.000000,0.000000,0.545267,-0.539158,0.981212,-0.987362,0.350529,-0.346987,0.000000,0.000000
-259,0.126518,-0.131232,-1.306055,1.310798,-0.204580,0.201004,0.000000,0.000000,0.000000,0.000000,0.420210,-0.413813,1.010940,-1.019883,0.450449,-0.443913,0.000000,0.000000
-255,0.080828,-0.085839,-1.356199,1.360014,-0.127718,0.125663,0.000000,0.000000,0.000000,0.000000,0.292024,-0.285194,1.032745,-1.044507,0.547708,-0.538085,0.000000,0.000000
-250,-0.004293,-0.000955,-1.365754,1.368436,-0.047918,0.047330,0.000000,0.000000,0.000000,0.000000,0.133344,-0.126201,1.045503,-1.061154,0.660546,-0.645953,0.000000,0.000000
-246,-0.097045,0.091989,-1.322091,1.323946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010695,-0.003267,1.041239,-1.060116,0.738446,-0.719348,0.000000,0.000000
-242,-0.206992,0.202768,-1.226253,1.227878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106844,0.115056,1.021564,-1.041715,0.801813,-0.776511,0.054226,-0.061502
-238,-0.334297,0.330764,-1.088358,1.090082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.213962,0.223237,0.988851,-1.009344,0.850925,-0.819770,0.122629,-0.138937
-233,-0.508304,0.504533,-0.876453,0.879669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.325959,0.340783,0.927257,-0.949835,0.895991,-0.857013,0.222817,-0.251463
-229,-0.650147,0.649113,-0.688875,0.689782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.403793,0.413959,0.871378,-0.891347,0.921971,-0.877418,0.309042,-0.346495
-225,-0.788551,0.788547,-0.498133,0.498523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.458560,0.469268,0.803347,-0.822788,0.939061,-0.890466,0.397408,-0.441830
-221,-0.918703,0.919020,-0.316184,0.317299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.494052,0.505230,0.729195,-0.745681,0.947628,-0.899177,0.482093,-0.531633
-216,-1.053403,1.055022,-0.119268,0.119483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.505212,0.513836,0.626714,-0.640006,0.953393,-0.906971,0.579149,-0.630378
