position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-0.036090,0.036076,-0.222291,0.222302,-0.468658,0.468652,-0.199203,0.199216,-0.047181,0.047167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,-0.041023,0.041154,-0.250560,0.250667,-0.463051,0.462686,-0.185787,0.185999,-0.039837,0.039793,0.001583,-0.001598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-0.046397,0.046402,-0.278147,0.278144,-0.456340,0.456344,-0.172047,0.172061,-0.032534,0.032499,0.003237,-0.003240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,-0.052548,0.051823,-0.304370,0.304833,-0.448792,0.448417,-0.158634,0.158869,-0.025226,0.025380,0.004861,-0.004908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,-0.058528,0.058813,-0.331855,0.331609,-0.438322,0.438840,-0.145664,0.145385,-0.018991,0.018709,0.006653,-0.006606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,-0.066647,0.066250,-0.356396,0.356705,-0.427907,0.427338,-0.132705,0.133191,-0.012905,0.012922,0.008394,-0.008534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,-0.075218,0.075244,-0.380537,0.380532,-0.414724,0.414681,-0.120927,0.120971,-0.007643,0.007621,0.010313,-0.010383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,-0.085715,0.085696,-0.403875,0.403890,-0.399226,0.399209,-0.110105,0.110124,-0.003309,0.003305,0.012392,-0.012409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,-0.098106,0.098113,-0.425817,0.425817,-0.381535,0.381536,-0.100262,0.100261,0.000000,0.000000,0.014590,-0.014613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-0.112674,0.112678,-0.446501,0.446504,-0.361122,0.361130,-0.091656,0.091650,0.000000,0.000000,0.016989,-0.017009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-0.129357,0.129386,-0.465527,0.465508,-0.338572,0.338590,-0.083968,0.083948,0.000000,0.000000,0.019606,-0.019619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-0.148084,0.148096,-0.482489,0.482481,-0.314401,0.314418,-0.076987,0.076964,0.000000,0.000000,0.022526,-0.022545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,-0.168780,0.168824,-0.497100,0.497068,-0.289228,0.289217,-0.070484,0.070511,0.000000,0.000000,0.025787,-0.025846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,-0.191466,0.191437,-0.508781,0.508834,-0.263953,0.264063,-0.064376,0.064179,0.000000,0.000000,0.029464,-0.029461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,-0.215813,0.215830,-0.517534,0.517528,-0.239637,0.239658,-0.058259,0.058237,0.000000,0.000000,0.033560,-0.033578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,-0.242030,0.242051,-0.523054,0.523018,-0.216955,0.216969,-0.052132,0.052120,0.000000,0.000000,0.038190,-0.038208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,-0.270005,0.270024,-0.525085,0.525076,-0.196927,0.196944,-0.045866,0.045852,0.000000,0.000000,0.043393,-0.043413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,-0.299580,0.299504,-0.523323,0.523444,-0.180540,0.180440,-0.039281,0.039356,0.000000,0.000000,0.049260,-0.049242,0.003632,-0.003542,0.000000,0.000000,0.000000,0.000000
-350,-0.330296,0.330272,-0.518618,0.518650,-0.166701,0.166664,-0.032405,0.032448,0.000000,0.000000,0.055903,-0.055863,0.008277,-0.008272,0.000000,0.000000,0.000000,0.000000
-345,-0.361625,0.361700,-0.510944,0.510760,-0.155430,0.155615,-0.025814,0.025677,0.000000,0.000000,0.063418,-0.063395,0.013744,-0.013888,0.000000,0.000000,0.000000,0.000000
-340,-0.393665,0.393750,-0.499689,0.499739,-0.147115,0.146979,-0.019317,0.019542,0.000000,0.000000,0.071964,-0.072051,0.020007,-0.020241,0.000000,0.000000,0.000000,0.000000
-335,-0.424890,0.424836,-0.485897,0.486243,-0.140549,0.140351,-0.013462,0.013396,0.000000,0.000000,0.081919,-0.081753,0.027003,-0.027041,0.000000,0.000000,0.000000,0.000000
-330,-0.455839,0.455836,-0.469435,0.469454,-0.134823,0.134821,-0.007952,0.007933,0.000000,0.000000,0.093040,-0.092980,0.034192,-0.034264,0.000000,0.000000,0.000000,0.000000
-325,-0.485201,0.485145,-0.450408,0.450505,-0.129974,0.129844,-0.003395,0.003493,0.000000,0.000000,0.105664,-0.105531,0.041554,-0.041612,0.000000,0.000000,0.000000,0.000000
-320,-0.513025,0.513021,-0.428829,0.428836,-0.125269,0.125259,0.000000,0.000000,0.000000,0.000000,0.119910,-0.119861,0.048874,-0.048953,0.000000,0.000000,0.000000,0.000000
-315,-0.538548,0.538557,-0.404994,0.405010,-0.120414,0.120414,0.000000,0.000000,0.000000,0.000000,0.135914,-0.135856,0.056105,-0.056172,0.000000,0.000000,0.000000,0.000000
-310,-0.561480,0.561491,-0.379547,0.379548,-0.115197,0.115194,0.000000,0.000000,0.000000,0.000000,0.153674,-0.153650,0.063530,-0.063593,0.000000,0.000000,0.000000,0.000000
-305,-0.581302,0.581326,-0.353128,0.353117,-0.109400,0.109413,0.000000,0.000000,0.000000,0.000000,0.173188,-0.173177,0.071541,-0.071598,0.000000,0.000000,0.000000,0.000000
-300,-0.597638,0.597648,-0.326504,0.326529,-0.102981,0.102959,0.000000,0.000000,0.000000,0.000000,0.194423,-0.194411,0.080550,-0.080550,0.000000,0.000000,0.000000,0.000000
-295,-0.610134,0.610083,-0.300762,0.300706,-0.095729,0.095787,0.000000,0.000000,0.000000,0.000000,0.217487,-0.217480,0.090914,-0.090925,0.000000,0.000000,0.000000,0.000000
-290,-0.618548,0.618465,-0.276486,0.276499,-0.087832,0.087819,0.000000,0.000000,0.000000,0.000000,0.242318,-0.242298,0.103147,-0.103120,0.000000,0.000000,0.000000,0.000000
-285,-0.622467,0.622569,-0.254974,0.254967,-0.078902,0.078928,0.000000,0.000000,0.000000,0.000000,0.269085,-0.269049,0.117548,-0.117606,0.000000,0.000000,0.000000,0.000000
