position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-8.645050,-8.617037,3.499379,3.466740,-1.817245,-1.797946,3.222105,3.180946,-6.086791,-5.978874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,-5.273015,-5.211089,2.602825,2.559066,-1.510027,-1.475991,2.586157,2.523851,-5.148123,-5.057126,-6.078070,-6.040451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-1.979326,-1.875024,1.720664,1.684809,-1.192876,-1.156064,1.960213,1.878127,-4.220314,-4.146129,-11.993014,-11.916867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,1.178214,1.296641,0.922719,0.755902,-0.881759,-0.767417,1.312232,1.217254,-3.300059,-3.246726,-17.549356,-17.467902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,4.028960,4.198291,0.055172,0.037638,-0.467054,-0.439832,0.687510,0.570708,-2.496519,-2.391344,-22.686805,-22.578575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,6.591362,6.760306,-0.674849,-0.751971,-0.055311,0.018065,0.016413,-0.106292,-1.701064,-1.671799,-27.157951,-26.996446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,8.691800,8.875945,-1.344573,-1.411040,0.433864,0.509315,-0.682945,-0.836049,-1.015160,-1.000472,-30.817223,-30.622129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,10.335001,10.524664,-1.911039,-1.990934,0.963709,1.038018,-1.440299,-1.557039,-0.450453,-0.442916,-33.518790,-33.330386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,11.394500,11.580239,-2.342792,-2.417642,1.532369,1.599662,-2.228375,-2.328843,0.000000,0.000000,-35.083448,-34.894911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,11.876085,12.048057,-2.606292,-2.671650,2.190868,2.244839,-2.996707,-3.070745,0.000000,0.000000,-35.388659,-35.210193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,11.838876,11.988356,-2.741409,-2.794314,2.798523,2.834979,-3.809575,-3.849340,0.000000,0.000000,-34.522055,-34.362577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,11.361320,11.480598,-2.763836,-2.803245,3.326895,3.344464,-4.627963,-4.628579,0.000000,0.000000,-32.619919,-32.486415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,10.519040,10.606745,-2.708627,-2.732200,3.745132,3.740100,-5.396649,-5.357105,0.000000,0.000000,-29.818225,-29.716603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,9.376183,9.428337,-2.605742,-2.613926,4.024192,3.998385,-6.061192,-5.983310,0.000000,0.000000,-26.259787,-26.193301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,7.973530,7.992656,-2.478469,-2.472979,4.143699,4.099594,-6.567216,-6.455303,0.000000,0.000000,-22.094374,-22.065399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,6.339368,6.327208,-2.338710,-2.320594,4.082465,4.023837,-6.861756,-6.724209,0.000000,0.000000,-17.481980,-17.490399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,4.486844,4.449474,-2.167689,-2.140457,3.815162,3.748726,-6.897257,-6.744704,0.000000,0.000000,-12.593771,-12.638285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,3.022226,2.973759,-1.858752,-1.827831,3.364374,3.297721,-6.521582,-6.368574,0.000000,0.000000,-7.360946,-7.435458,-2.810725,-2.779706,0.000000,0.000000,0.000000,0.000000
-350,1.648939,1.582575,-1.498455,-1.461310,2.749378,2.687895,-5.855244,-5.710552,0.000000,0.000000,-2.069142,-2.176101,-6.358023,-6.289070,0.000000,0.000000,0.000000,0.000000
-345,0.374838,0.303213,-1.062366,-1.023636,1.999205,1.947023,-4.973370,-4.846827,0.000000,0.000000,3.106241,2.974059,-10.358351,-10.247474,0.000000,0.000000,0.000000,0.000000
-340,-0.718075,-0.891193,-0.540216,-0.432263,1.178269,1.086855,-4.045047,-3.879428,0.000000,0.000000,8.020898,7.846765,-14.533503,-14.382111,0.000000,0.000000,0.000000,0.000000
-335,-1.770179,-1.839734,0.052349,0.090632,0.209359,0.179198,-2.867710,-2.792653,0.000000,0.000000,12.453582,12.284827,-18.595360,-18.404227,0.000000,0.000000,0.000000,0.000000
-330,-2.553333,-2.700350,0.698407,0.793873,-0.774461,-0.799605,-1.797127,-1.746194,0.000000,0.000000,16.300296,16.114887,-22.265748,-22.036838,0.000000,0.000000,0.000000,0.000000
-325,-3.237782,-3.297023,1.454138,1.492655,-1.774443,-1.794276,-0.814480,-0.793614,0.000000,0.000000,19.388045,19.205033,-25.247975,-25.005013,0.000000,0.000000,0.000000,0.000000
-320,-3.686008,-3.741734,2.226168,2.268051,-2.768436,-2.791237,0.000000,0.000000,0.000000,0.000000,21.560142,21.379939,-27.256186,-27.007133,0.000000,0.000000,0.000000,0.000000
-315,-3.944289,-3.996326,3.108780,3.154595,-3.537024,-3.571978,0.000000,0.000000,0.000000,0.000000,22.781930,22.610495,-27.996173,-27.758067,0.000000,0.000000,0.000000,0.000000
-310,-4.050637,-4.101746,3.934217,3.988316,-4.356178,-4.408645,0.000000,0.000000,0.000000,0.000000,23.008308,22.852112,-27.599283,-27.385247,0.000000,0.000000,0.000000,0.000000
-305,-4.081485,-4.131283,4.620422,4.683140,-5.149256,-5.222759,0.000000,0.000000,0.000000,0.000000,22.348376,22.210174,-26.172510,-25.992115,0.000000,0.000000,0.000000,0.000000
