position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-5.956197,-5.934239,2.910568,2.884132,-1.597158,-1.581508,2.916988,2.883786,-5.626259,-5.541169,-3.470613,-3.486232,-3.043394,-3.053821,0.000000,0.000000,0.000000,0.000000
-435,-4.859838,-4.830691,2.618499,2.592165,-1.587440,-1.567917,3.399867,3.366185,-6.554473,-6.504202,-3.756425,-3.762630,-3.555970,-3.557755,0.000000,0.000000,0.000000,0.000000
-430,-3.785347,-3.748688,2.310762,2.287150,-1.571793,-1.554208,3.848143,3.823012,-7.456543,-7.439744,-4.041839,-4.042691,-4.058812,-4.053229,0.000000,0.000000,0.000000,0.000000
-425,-2.751364,-2.714734,1.998204,1.963667,-1.552855,-1.520698,4.261469,4.222023,-8.304570,-8.316199,-4.337657,-4.326781,-4.547601,-4.531643,0.000000,0.000000,0.000000,0.000000
-420,-1.759139,-1.705476,1.626819,1.638602,-1.467964,-1.473722,4.560575,4.556643,-9.039764,-9.100793,-4.642262,-4.601985,-4.996043,-4.978004,0.000000,0.000000,0.000000,0.000000
-415,-0.834261,-0.785668,1.297025,1.275864,-1.424781,-1.407096,4.816895,4.805856,-9.661339,-9.724887,-4.925944,-4.907765,-5.398951,-5.376250,0.000000,0.000000,0.000000,0.000000
-410,-0.000249,0.052329,0.942588,0.926661,-1.309315,-1.295764,4.935694,4.929556,-10.114863,-10.197583,-5.233439,-5.206740,-5.753885,-5.727902,0.000000,0.000000,0.000000,0.000000
-405,0.744470,0.799870,0.592809,0.574291,-1.153216,-1.139819,4.911185,4.912963,-10.375054,-10.468770,-5.539284,-5.515868,-6.043574,-6.017432,0.000000,0.000000,0.000000,0.000000
-400,1.386778,1.437832,0.250986,0.241411,-0.947546,-0.944144,4.720963,4.732589,-10.407157,-10.503736,-5.851420,-5.827600,-6.256062,-6.233499,0.000000,0.000000,0.000000,0.000000
-395,1.917751,1.967014,-0.056818,-0.080282,-0.694953,-0.680089,4.336983,4.355614,-10.191374,-10.286617,-6.157746,-6.135022,-6.378694,-6.363320,0.000000,0.000000,0.000000,0.000000
