position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,-0.810155,-0.810202,-0.975810,-0.976042,-0.467392,-0.467396,-1.015944,-1.015716,-0.291432,-0.291370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,-0.893507,-0.893662,-0.931923,-0.931534,-0.482663,-0.482999,-1.027797,-1.027400,-0.247489,-0.247325,-0.073097,-0.073084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-0.976470,-0.977433,-0.888613,-0.886999,-0.499062,-0.499217,-1.037273,-1.038532,-0.202913,-0.203738,-0.145060,-0.145120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,-1.057156,-1.057691,-0.844800,-0.844570,-0.516595,-0.516662,-1.045431,-1.045463,-0.160858,-0.160845,-0.215244,-0.215100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,-1.135142,-1.135452,-0.798452,-0.805788,-0.536404,-0.533680,-1.052225,-1.047870,-0.122397,-0.119480,-0.281778,-0.280914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,-1.208562,-1.209350,-0.759889,-0.760608,-0.557749,-0.556604,-1.048804,-1.050511,-0.083707,-0.083596,-0.343989,-0.343590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,-1.275170,-1.275541,-0.720923,-0.720308,-0.581738,-0.582054,-1.044063,-1.044303,-0.050109,-0.050092,-0.399366,-0.399189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,-1.334281,-1.334593,-0.683961,-0.683261,-0.609821,-0.610320,-1.032213,-1.032327,-0.021797,-0.022088,-0.447727,-0.448016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,-1.384807,-1.384472,-0.651405,-0.650596,-0.641616,-0.642306,-1.013145,-1.013539,0.000000,0.000000,-0.487861,-0.487909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-1.424602,-1.423671,-0.624427,-0.623569,-0.673861,-0.674806,-0.983527,-0.983947,0.000000,0.000000,-0.518495,-0.518736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-1.455343,-1.453698,-0.604907,-0.603976,-0.710882,-0.712228,-0.948109,-0.948582,0.000000,0.000000,-0.543204,-0.543622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-1.479173,-1.476924,-0.592629,-0.590958,-0.751338,-0.752955,-0.906178,-0.910698,0.000000,0.000000,-0.565158,-0.566675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,-1.498889,-1.495837,-0.584900,-0.583912,-0.796454,-0.798752,-0.861415,-0.862092,0.000000,0.000000,-0.591909,-0.592714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,-1.513281,-1.509036,-0.585423,-0.585397,-0.845775,-0.847662,-0.807538,-0.807774,0.000000,0.000000,-0.623677,-0.624503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,-1.526477,-1.522564,-0.590179,-0.589396,-0.898091,-0.901178,-0.747708,-0.748583,0.000000,0.000000,-0.666697,-0.667647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,-1.537937,-1.534168,-0.597270,-0.596579,-0.954743,-0.958113,-0.680453,-0.681337,0.000000,0.000000,-0.724798,-0.725646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,-1.548045,-1.544539,-0.604899,-0.604220,-1.016249,-1.019821,-0.606181,-0.607157,0.000000,0.000000,-0.802147,-0.802760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,-1.538806,-1.535767,-0.608817,-0.608431,-1.081758,-1.084800,-0.522300,-0.523334,0.000000,0.000000,-0.893738,-0.893306,-0.078196,-0.078145,0.000000,0.000000,0.000000,0.000000
-350,-1.520196,-1.513758,-0.610123,-0.617067,-1.153840,-1.145811,-0.435238,-0.434623,0.000000,0.000000,-0.996367,-0.999541,-0.182318,-0.179584,0.000000,0.000000,0.000000,0.000000
-345,-1.486287,-1.486333,-0.622403,-0.621316,-1.213859,-1.215473,-0.344924,-0.347338,0.000000,0.000000,-1.106081,-1.105377,-0.307697,-0.306967,0.000000,0.000000,0.000000,0.000000
-340,-1.450746,-1.446437,-0.637362,-0.641516,-1.273538,-1.270996,-0.260829,-0.261544,0.000000,0.000000,-1.205271,-1.211112,-0.449442,-0.451544,0.000000,0.000000,0.000000,0.000000
-335,-1.395232,-1.397918,-0.663368,-0.662216,-1.322573,-1.320762,-0.179687,-0.179113,0.000000,0.000000,-1.310977,-1.309386,-0.622443,-0.621112,0.000000,0.000000,0.000000,0.000000
-330,-1.339493,-1.343068,-0.704117,-0.702103,-1.353927,-1.352110,-0.106904,-0.106952,0.000000,0.000000,-1.395364,-1.393616,-0.807982,-0.808621,0.000000,0.000000,0.000000,0.000000
-325,-1.283392,-1.287551,-0.762158,-0.759118,-1.361669,-1.360085,-0.046813,-0.047001,0.000000,0.000000,-1.456362,-1.454399,-1.010517,-1.009536,0.000000,0.000000,0.000000,0.000000
-320,-1.230304,-1.234929,-0.840833,-0.837354,-1.340074,-1.337751,0.000000,0.000000,0.000000,0.000000,-1.490567,-1.488863,-1.228164,-1.227484,0.000000,0.000000,0.000000,0.000000
-315,-1.185274,-1.189366,-0.934517,-0.931226,-1.274162,-1.271626,0.000000,0.000000,0.000000,0.000000,-1.490396,-1.489479,-1.455802,-1.455633,0.000000,0.000000,0.000000,0.000000
-310,-1.152502,-1.156098,-1.045857,-1.042970,-1.182494,-1.179970,0.000000,0.000000,0.000000,0.000000,-1.464635,-1.464553,-1.688497,-1.689020,0.000000,0.000000,0.000000,0.000000
-305,-1.135362,-1.138059,-1.168269,-1.166265,-1.068697,-1.066533,0.000000,0.000000,0.000000,0.000000,-1.418056,-1.419016,-1.915202,-1.916405,0.000000,0.000000,0.000000,0.000000
-300,-1.132704,-1.134576,-1.294091,-1.293096,-0.940911,-0.939244,0.000000,0.000000,0.000000,0.000000,-1.359317,-1.361230,-2.127899,-2.129666,0.000000,0.000000,0.000000,0.000000
-295,-1.150435,-1.151456,-1.418463,-1.418810,-0.803217,-0.802272,0.000000,0.000000,0.000000,0.000000,-1.293176,-1.295907,-2.315427,-2.317623,0.000000,0.000000,0.000000,0.000000
-290,-1.180305,-1.180821,-1.532312,-1.534326,-0.665865,-0.665471,0.000000,0.000000,0.000000,0.000000,-1.229108,-1.233909,-2.472424,-2.474331,0.000000,0.000000,0.000000,0.000000
-285,-1.217802,-1.217590,-1.633202,-1.635567,-0.536702,-0.537092,0.000000,0.000000,0.000000,0.000000,-1.180740,-1.183841,-2.593691,-2.595743,0.000000,0.000000,0.000000,0.000000
-280,-1.259825,-1.259195,-1.715215,-1.718263,-0.424137,-0.425099,0.000000,0.000000,0.000000,0.000000,-1.152185,-1.154772,-2.673897,-2.675239,0.000000,0.000000,0.000000,0.000000
-276,-1.285781,-1.285712,-1.768040,-1.769837,-0.333515,-0.332473,0.000000,0.000000,0.000000,0.000000,-1.098323,-1.098412,-2.655406,-2.658267,-0.189553,-0.191152,0.000000,0.000000
-272,-1.316851,-1.316070,-1.803384,-1.804904,-0.249316,-0.250203,0.000000,0.000000,0.000000,0.000000,-1.043876,-1.044204,-2.596084,-2.595651,-0.419058,-0.418905,0.000000,0.000000
-267,-1.357102,-1.355011,-1.823772,-1.825593,-0.161707,-0.163209,0.000000,0.000000,0.000000,0.000000,-0.974601,-0.974132,-2.480812,-2.478547,-0.744681,-0.740163,0.000000,0.000000
-263,-1.405450,-1.402867,-1.818466,-1.819273,-0.104871,-0.106218,0.000000,0.000000,0.000000,0.000000,-0.922682,-0.920581,-2.365061,-2.361693,-1.013009,-1.010197,0.000000,0.000000
-259,-1.462369,-1.459010,-1.793178,-1.792517,-0.060302,-0.061160,0.000000,0.000000,0.000000,0.000000,-0.869426,-0.865658,-2.242784,-2.238209,-1.276935,-1.274722,0.000000,0.000000
-255,-1.530730,-1.526937,-1.745948,-1.744272,-0.028539,-0.029199,0.000000,0.000000,0.000000,0.000000,-0.815532,-0.810918,-2.123847,-2.118637,-1.524153,-1.521768,0.000000,0.000000
-250,-1.639733,-1.634770,-1.652359,-1.649351,-0.006912,-0.007142,0.000000,0.000000,0.000000,0.000000,-0.747743,-0.742080,-1.998000,-1.991703,-1.789321,-1.786863,0.000000,0.000000
-246,-1.755214,-1.750567,-1.541251,-1.537371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.695178,-0.689663,-1.924478,-1.919341,-1.947137,-1.945107,0.000000,0.000000
-242,-1.889515,-1.884463,-1.387733,-1.382980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.629343,-0.622944,-1.860282,-1.856354,-2.029000,-2.027347,-0.108563,-0.108736
-238,-2.039617,-2.036106,-1.208597,-1.204222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.565344,-0.560854,-1.819735,-1.817162,-2.057418,-2.056788,-0.248398,-0.248862
-233,-2.235477,-2.234805,-0.961414,-0.958970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.490125,-0.490099,-1.792612,-1.789518,-2.037444,-2.038437,-0.456308,-0.456835
-229,-2.381582,-2.382364,-0.746518,-0.743698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.456049,-0.454632,-1.765215,-1.766608,-1.979758,-1.980852,-0.631874,-0.632773
-225,-2.510679,-2.512210,-0.537191,-0.525063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.428923,-0.423875,-1.736471,-1.739778,-1.904958,-1.907923,-0.812782,-0.815257
-221,-2.608278,-2.611685,-0.332907,-0.331662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.421206,-0.420096,-1.692221,-1.696473,-1.826960,-1.829478,-0.987101,-0.988486
-216,-2.686282,-2.693827,-0.129709,-0.127494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.435446,-0.436633,-1.615659,-1.619859,-1.750041,-1.754375,-1.197147,-1.199361
