position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,0.077272,0.084972,-1.183901,-1.152171,-0.058452,-0.060187,1.291307,1.266155,-0.495829,-0.498361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,0.114474,0.113310,-1.199825,-1.182353,0.056402,0.056964,1.195292,1.176880,-0.414523,-0.417630,-0.425200,-0.414663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,0.142323,0.139022,-1.199461,-1.193541,0.160614,0.167389,1.106703,1.084293,-0.338885,-0.341076,-0.831350,-0.823802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,0.172538,0.159605,-1.191012,-1.199215,0.271499,0.284930,1.003205,0.984559,-0.263258,-0.266815,-1.218017,-1.206788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,0.184408,0.177296,-1.176056,-1.188402,0.387535,0.402812,0.894551,0.875564,-0.197496,-0.197508,-1.570501,-1.559747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,0.190510,0.177183,-1.148319,-1.170457,0.505752,0.528048,0.773040,0.757343,-0.136318,-0.137576,-1.883725,-1.868110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,0.174288,0.161259,-1.111230,-1.136940,0.626511,0.652203,0.642411,0.629057,-0.082295,-0.083136,-2.140276,-2.123905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,0.135202,0.123221,-1.060679,-1.090735,0.749037,0.778905,0.499636,0.490675,-0.036784,-0.037203,-2.331967,-2.314920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,0.070000,0.062046,-0.998810,-1.028921,0.873074,0.903925,0.346647,0.341378,0.000000,0.000000,-2.447371,-2.431417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-0.020591,-0.021329,-0.923889,-0.949961,1.004407,1.031793,0.188372,0.186053,0.000000,0.000000,-2.477996,-2.464563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-0.128805,-0.121357,-0.835876,-0.865567,1.125496,1.155408,0.018044,0.023048,0.000000,0.000000,-2.429849,-2.419561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-0.254734,-0.239505,-0.742073,-0.761156,1.239634,1.257065,-0.149342,-0.144224,0.000000,0.000000,-2.315174,-2.309203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,-0.388820,-0.363866,-0.641915,-0.654264,1.336030,1.341965,-0.311702,-0.305662,0.000000,0.000000,-2.141717,-2.140167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,-0.523500,-0.492555,-0.540090,-0.550205,1.409994,1.408823,-0.462562,-0.452893,0.000000,0.000000,-1.921219,-1.924191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,-0.662652,-0.625368,-0.438349,-0.444584,1.460122,1.447855,-0.588330,-0.577763,0.000000,0.000000,-1.665198,-1.672471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,-0.802058,-0.763916,-0.337579,-0.341987,1.479612,1.460342,-0.682370,-0.670724,0.000000,0.000000,-1.386511,-1.397027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,-0.944267,-0.906348,-0.238320,-0.240781,1.467179,1.440415,-0.735189,-0.723962,0.000000,0.000000,-1.098375,-1.111519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,-1.023615,-0.991566,-0.127246,-0.128418,1.421660,1.392672,-0.728643,-0.718696,0.000000,0.000000,-0.788182,-0.802422,-0.306751,-0.304172,0.000000,0.000000,0.000000,0.000000
-350,-1.078254,-1.053652,-0.014103,-0.009105,1.351015,1.313844,-0.673274,-0.672619,0.000000,0.000000,-0.480522,-0.492541,-0.695535,-0.690091,0.000000,0.000000,0.000000,0.000000
-345,-1.107357,-1.097516,0.100627,0.107459,1.250578,1.220576,-0.586627,-0.583261,0.000000,0.000000,-0.174950,-0.189864,-1.139300,-1.127349,0.000000,0.000000,0.000000,0.000000
-340,-1.112149,-1.110539,0.214647,0.221329,1.138028,1.116575,-0.478911,-0.472698,0.000000,0.000000,0.103287,0.091609,-1.609423,-1.595790,0.000000,0.000000,0.000000,0.000000
-335,-1.095391,-1.105875,0.331552,0.344152,1.012412,0.995807,-0.351809,-0.348970,0.000000,0.000000,0.358731,0.349607,-2.077551,-2.059723,0.000000,0.000000,0.000000,0.000000
-330,-1.060626,-1.076385,0.452728,0.468036,0.879760,0.868290,-0.223843,-0.221316,0.000000,0.000000,0.579806,0.573007,-2.516139,-2.494192,0.000000,0.000000,0.000000,0.000000
-325,-1.007543,-1.029637,0.573114,0.593513,0.744438,0.737801,-0.102329,-0.101291,0.000000,0.000000,0.758259,0.754571,-2.895543,-2.869602,0.000000,0.000000,0.000000,0.000000
-320,-0.941175,-0.968028,0.693489,0.719613,0.610383,0.607670,0.000000,0.000000,0.000000,0.000000,0.885641,0.885856,-3.187703,-3.157891,0.000000,0.000000,0.000000,0.000000
-315,-0.867262,-0.893411,0.826772,0.855836,0.506079,0.503764,0.000000,0.000000,0.000000,0.000000,0.965104,0.968557,-3.362127,-3.329248,0.000000,0.000000,0.000000,0.000000
-310,-0.788871,-0.814268,0.953222,0.986185,0.393103,0.390469,0.000000,0.000000,0.000000,0.000000,0.985061,0.992941,-3.432779,-3.397115,0.000000,0.000000,0.000000,0.000000
-305,-0.715294,-0.737253,1.067587,1.102337,0.278547,0.273628,0.000000,0.000000,0.000000,0.000000,0.952371,0.964104,-3.407136,-3.369790,0.000000,0.000000,0.000000,0.000000
-300,-0.651778,-0.668770,1.166753,1.201206,0.166442,0.158149,0.000000,0.000000,0.000000,0.000000,0.870483,0.885115,-3.295270,-3.257734,0.000000,0.000000,0.000000,0.000000
-295,-0.582531,-0.595494,1.252313,1.287393,0.054256,0.043048,0.000000,0.000000,0.000000,0.000000,0.734361,0.752669,-3.115092,-3.078260,0.000000,0.000000,0.000000,0.000000
-290,-0.520596,-0.528985,1.318391,1.352075,-0.048699,-0.062813,0.000000,0.000000,0.000000,0.000000,0.551429,0.571917,-2.875437,-2.841356,0.000000,0.000000,0.000000,0.000000
-285,-0.454434,-0.458475,1.363905,1.394257,-0.140797,-0.157232,0.000000,0.000000,0.000000,0.000000,0.322001,0.342825,-2.592783,-2.563854,0.000000,0.000000,0.000000,0.000000
-280,-0.376829,-0.377945,1.383564,1.410976,-0.219127,-0.236018,0.000000,0.000000,0.000000,0.000000,0.049348,0.070305,-2.282601,-2.260535,0.000000,0.000000,0.000000,0.000000
-276,-0.295153,-0.294753,1.379049,1.402375,-0.240313,-0.256595,0.000000,0.000000,0.000000,0.000000,-0.121393,-0.102166,-1.949645,-1.935149,-0.262673,-0.266009,0.000000,0.000000
-272,-0.205030,-0.204148,1.359494,1.377889,-0.242952,-0.257747,0.000000,0.000000,0.000000,0.000000,-0.287604,-0.271159,-1.590109,-1.584147,-0.584773,-0.592127,0.000000,0.000000
-267,-0.083652,-0.083778,1.317601,1.328151,-0.223388,-0.235710,0.000000,0.000000,0.000000,0.000000,-0.484774,-0.473646,-1.118859,-1.124114,-1.045329,-1.058279,0.000000,0.000000
-263,0.031514,0.026250,1.269029,1.275220,-0.196356,-0.203748,0.000000,0.000000,0.000000,0.000000,-0.624860,-0.622878,-0.739201,-0.751646,-1.441258,-1.459790,0.000000,0.000000
-259,0.149058,0.144617,1.210225,1.208493,-0.154990,-0.162124,0.000000,0.000000,0.000000,0.000000,-0.757285,-0.755166,-0.366891,-0.386358,-1.842460,-1.863721,0.000000,0.000000
-255,0.274843,0.267766,1.141613,1.134874,-0.109407,-0.113575,0.000000,0.000000,0.000000,0.000000,-0.870234,-0.871592,-0.013585,-0.036587,-2.232817,-2.257113,0.000000,0.000000
-250,0.437046,0.425077,1.046187,1.033074,-0.047383,-0.048757,0.000000,0.000000,0.000000,0.000000,-0.986388,-0.995726,0.387369,0.363733,-2.678658,-2.705314,0.000000,0.000000
-246,0.580907,0.566767,0.957565,0.940264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.051011,-1.064464,0.660627,0.641045,-2.982028,-3.008978,0.000000,0.000000
-242,0.734888,0.720102,0.862781,0.842990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.113897,-1.131355,0.851863,0.842126,-3.243282,-3.268002,0.158054,0.152369
-238,0.887975,0.871351,0.750692,0.731047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.154866,-1.177097,0.981145,0.982911,-3.448239,-3.472827,0.347924,0.332666
-233,1.063741,1.049168,0.596123,0.578287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.183818,-1.211277,1.065416,1.084293,-3.628392,-3.646435,0.598308,0.575650
-229,1.198240,1.185872,0.462089,0.444869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.167745,-1.202505,1.073301,1.111410,-3.705619,-3.722250,0.786449,0.756072
-225,1.311115,1.302660,0.330887,0.318956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.137950,-1.172540,1.047314,1.093318,-3.728140,-3.738874,0.941899,0.903418
-221,1.404853,1.400831,0.207800,0.200319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.083415,-1.119984,0.982968,1.038867,-3.685569,-3.693925,1.047993,1.002921
-216,1.489041,1.488124,0.079184,0.075649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.984017,-1.022536,0.864595,0.926577,-3.540897,-3.547976,1.082421,1.031521
-212,1.529697,1.532641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868506,-0.905368,0.749537,0.812035,-3.350250,-3.357893,1.009656,0.956871
-208,1.511094,1.513137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.737405,-0.769565,0.622703,0.677478,-3.098598,-3.109834,0.827188,0.775081
-205,1.497061,1.497888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.621364,-0.648216,0.526725,0.573328,-2.872195,-2.886648,0.639748,0.589994
-201,1.474571,1.473177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.459137,-0.476982,0.396264,0.430898,-2.539344,-2.557789,0.342208,0.297753
-198,1.456060,1.450408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.324927,-0.334180,0.307194,0.330613,-2.279250,-2.301463,0.097780,0.058012
-194,1.425375,1.415030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.144017,-0.141874,0.197677,0.207945,-1.939762,-1.965214,-0.237638,-0.269874
-190,1.390733,1.376173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032220,0.045038,0.107086,0.106053,-1.627999,-1.654921,-0.559217,-0.583326
-187,1.360477,1.343453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.167196,0.186829,0.065612,0.058258,-1.428546,-1.454910,-0.776779,-0.794828
-183,1.318926,1.300705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325892,0.351017,0.037343,0.024549,-1.222494,-1.245939,-1.012461,-1.023168
-179,1.278315,1.261810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.453548,0.479153,0.043997,0.029649,-1.096865,-1.114547,-1.167903,-1.172674
-176,1.247818,1.234219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.535165,0.558151,0.087291,0.073851,-1.052714,-1.064488,-1.240096,-1.241326
