position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,0.223872,0.229162,-1.264867,-1.236996,-0.035423,-0.033385,1.214378,1.186278,-0.386645,-0.394070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,0.097700,0.093311,-1.248661,-1.233901,0.060243,0.064304,1.132506,1.109881,-0.319100,-0.324499,-0.051236,-0.047987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,-0.031112,-0.036431,-1.225519,-1.221461,0.163593,0.169244,1.043920,1.027474,-0.256972,-0.261920,-0.093161,-0.090209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,-0.152978,-0.162164,-1.194445,-1.197938,0.273113,0.274530,0.940975,0.945554,-0.200820,-0.205964,-0.129664,-0.137335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,-0.274066,-0.287069,-1.148014,-1.163615,0.363362,0.375979,0.851218,0.847552,-0.144353,-0.147776,-0.167633,-0.165470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,-0.393406,-0.410125,-1.095764,-1.117624,0.460930,0.475560,0.745842,0.753579,-0.097469,-0.101718,-0.193468,-0.190838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,-0.514721,-0.529718,-1.036271,-1.060674,0.556760,0.575398,0.640161,0.646034,-0.057378,-0.059289,-0.210574,-0.208250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,-0.636382,-0.651060,-0.966461,-0.993756,0.648207,0.669820,0.529251,0.540256,-0.024996,-0.025719,-0.216371,-0.214355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,-0.760820,-0.771725,-0.888734,-0.915377,0.734458,0.757008,0.419350,0.432298,0.000000,0.000000,-0.209334,-0.207793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-0.884981,-0.889564,-0.803573,-0.824976,0.819879,0.838802,0.314675,0.327386,0.000000,0.000000,-0.188148,-0.187615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,-1.005580,-1.003137,-0.710679,-0.727037,0.895943,0.910184,0.210785,0.222449,0.000000,0.000000,-0.158319,-0.158866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,-1.117201,-1.107976,-0.612400,-0.624427,0.960627,0.969722,0.110832,0.120695,0.000000,0.000000,-0.125720,-0.127363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,-1.217035,-1.199420,-0.511986,-0.517406,1.015003,1.014144,0.018216,0.024106,0.000000,0.000000,-0.096500,-0.099448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,-1.298757,-1.275777,-0.410598,-0.412343,1.054153,1.045920,-0.064694,-0.062194,0.000000,0.000000,-0.077012,-0.080846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,-1.362801,-1.334226,-0.310409,-0.307932,1.080117,1.061704,-0.134549,-0.136533,0.000000,0.000000,-0.074238,-0.079020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,-1.405033,-1.375575,-0.211779,-0.207658,1.088560,1.064399,-0.188925,-0.194074,0.000000,0.000000,-0.095582,-0.100566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,-1.425986,-1.396367,-0.117122,-0.111629,1.081087,1.050989,-0.223447,-0.231675,0.000000,0.000000,-0.147991,-0.153218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,-1.407981,-1.382956,-0.022477,-0.016109,1.056726,1.024402,-0.234069,-0.243849,0.000000,0.000000,-0.230871,-0.235550,-0.073823,-0.073617,0.000000,0.000000,0.000000,0.000000
-350,-1.362604,-1.344301,0.069217,0.074992,1.016729,0.987676,-0.224781,-0.234588,0.000000,0.000000,-0.341521,-0.345343,-0.168951,-0.169097,0.000000,0.000000,0.000000,0.000000
-345,-1.292710,-1.282510,0.155218,0.161275,0.967278,0.943018,-0.200447,-0.209598,0.000000,0.000000,-0.471376,-0.473940,-0.280772,-0.281007,0.000000,0.000000,0.000000,0.000000
-340,-1.201128,-1.201203,0.233273,0.240848,0.911567,0.894881,-0.165257,-0.172752,0.000000,0.000000,-0.612549,-0.613184,-0.404135,-0.404153,0.000000,0.000000,0.000000,0.000000
-335,-1.093308,-1.100148,0.300181,0.309317,0.857098,0.846116,-0.122260,-0.128396,0.000000,0.000000,-0.757248,-0.757801,-0.534638,-0.533785,0.000000,0.000000,0.000000,0.000000
-330,-0.975151,-0.989477,0.357964,0.369681,0.803596,0.801087,-0.078575,-0.082431,0.000000,0.000000,-0.894234,-0.891167,-0.664675,-0.663907,0.000000,0.000000,0.000000,0.000000
-325,-0.850608,-0.869664,0.400474,0.414423,0.759839,0.765154,-0.035835,-0.037642,0.000000,0.000000,-1.019137,-1.013619,-0.792311,-0.790523,0.000000,0.000000,0.000000,0.000000
-320,-0.726186,-0.749601,0.428099,0.445916,0.728985,0.740764,0.000000,0.000000,0.000000,0.000000,-1.123882,-1.115150,-0.912152,-0.908652,0.000000,0.000000,0.000000,0.000000
-315,-0.609716,-0.632607,0.447782,0.467394,0.723023,0.737870,0.000000,0.000000,0.000000,0.000000,-1.199806,-1.188403,-1.018344,-1.012912,0.000000,0.000000,0.000000,0.000000
-310,-0.503062,-0.525772,0.456640,0.479465,0.724042,0.741069,0.000000,0.000000,0.000000,0.000000,-1.251244,-1.236061,-1.114495,-1.106457,0.000000,0.000000,0.000000,0.000000
-305,-0.410415,-0.430739,0.461041,0.485686,0.728544,0.745679,0.000000,0.000000,0.000000,0.000000,-1.276802,-1.258428,-1.199845,-1.189373,0.000000,0.000000,0.000000,0.000000
-300,-0.335840,-0.352415,0.465674,0.490706,0.731549,0.747229,0.000000,0.000000,0.000000,0.000000,-1.276414,-1.255752,-1.274388,-1.262081,0.000000,0.000000,0.000000,0.000000
-295,-0.268368,-0.282195,0.478448,0.505147,0.722524,0.736742,0.000000,0.000000,0.000000,0.000000,-1.255784,-1.232607,-1.343292,-1.329288,0.000000,0.000000,0.000000,0.000000
