position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,0.000019,0.000011,0.000549,0.000519,0.000044,0.000035,-0.000628,-0.000629,0.000277,0.000271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,0.000150,0.000153,0.000404,0.000327,0.000042,0.000057,-0.000505,-0.000612,0.000225,0.000210,-0.000276,-0.000272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,0.000297,0.000317,0.000267,0.000249,0.000012,0.000125,-0.000407,-0.000538,0.000083,0.000162,-0.000522,-0.000514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,0.000493,0.000442,0.000087,0.000245,0.000215,0.000056,-0.000516,-0.000301,0.000092,0.000216,-0.000743,-0.000745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,0.000505,0.000533,0.000030,0.000036,0.000036,0.000051,-0.000344,-0.000328,0.000033,0.000069,-0.000964,-0.000986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,0.000473,0.000602,-0.000021,-0.000034,0.000047,0.000065,-0.000205,-0.000215,0.000014,0.000075,-0.001111,-0.001116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,0.000595,0.000570,-0.000110,-0.000086,0.000165,0.000124,-0.000084,-0.000078,0.000026,0.000020,-0.001228,-0.001218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,0.000409,0.000435,-0.000200,-0.000285,0.000155,0.000293,-0.000021,-0.000080,-0.000038,0.000006,-0.001289,-0.001294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,0.000199,0.000205,-0.000332,-0.000337,0.000278,0.000292,0.000063,0.000066,0.000000,0.000000,-0.001273,-0.001267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,-0.000128,-0.000154,-0.000348,-0.000408,0.000398,0.000428,0.000124,0.000128,0.000000,0.000000,-0.001181,-0.001200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
