position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-440,0.456308,0.456346,0.364542,0.364732,-1.089631,-1.089621,0.387852,0.387682,0.200793,0.200748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,0.570998,0.567196,0.211679,0.216533,-1.083924,-1.084635,0.480561,0.479061,0.164918,0.159135,0.053577,0.051160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-430,0.675349,0.678139,0.065305,0.065254,-1.078828,-1.080554,0.573163,0.577085,0.122015,0.120828,0.105011,0.105237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-425,0.778445,0.775386,-0.084320,-0.087138,-1.068172,-1.067325,0.662942,0.665770,0.088091,0.087201,0.157321,0.156363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,0.865382,0.864816,-0.236711,-0.236961,-1.046759,-1.046572,0.745081,0.745158,0.061569,0.061459,0.203927,0.204169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-415,0.939463,0.938622,-0.388384,-0.387832,-1.009483,-1.009895,0.812238,0.812617,0.039221,0.039322,0.247741,0.247798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-410,0.993949,0.992972,-0.536188,-0.535946,-0.951106,-0.951257,0.857988,0.858447,0.021883,0.021772,0.285980,0.287032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,1.026842,1.026414,-0.677978,-0.678446,-0.868714,-0.868325,0.875879,0.876050,0.008943,0.008904,0.319907,0.320003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-400,1.034966,1.034796,-0.809199,-0.809603,-0.757500,-0.757160,0.856650,0.856841,0.000000,0.000000,0.346771,0.346795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-395,1.016902,1.017152,-0.925503,-0.925728,-0.619904,-0.619765,0.795162,0.795306,0.000000,0.000000,0.367176,0.367085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,0.971995,0.972770,-1.022105,-1.022141,-0.460795,-0.460985,0.696811,0.696886,0.000000,0.000000,0.382544,0.382352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-385,0.903568,0.904756,-1.098943,-1.098995,-0.291095,-0.291439,0.572260,0.572320,0.000000,0.000000,0.395840,0.395559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-380,0.812593,0.814392,-1.154856,-1.154588,-0.118644,-0.119638,0.431163,0.431015,0.000000,0.000000,0.409380,0.409029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-375,0.705380,0.707308,-1.194409,-1.194214,0.047892,0.046789,0.286352,0.286148,0.000000,0.000000,0.427272,0.426922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-370,0.582440,0.584832,-1.217302,-1.216931,0.202903,0.201162,0.147369,0.146975,0.000000,0.000000,0.452055,0.451573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-365,0.449755,0.451992,-1.231519,-1.231221,0.340852,0.339020,0.027227,0.026825,0.000000,0.000000,0.488261,0.487831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-360,0.306593,0.308654,-1.239516,-1.239143,0.457519,0.455472,-0.063984,-0.064549,0.000000,0.000000,0.538640,0.538270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-355,0.135418,0.137853,-1.244737,-1.244672,0.548585,0.546565,-0.121952,-0.122742,0.000000,0.000000,0.597293,0.597206,0.080816,0.080692,0.000000,0.000000,0.000000,0.000000
-350,-0.050436,-0.050560,-1.243172,-1.242139,0.616000,0.614140,-0.147535,-0.148797,0.000000,0.000000,0.663333,0.662918,0.182558,0.181869,0.000000,0.000000,0.000000,0.000000
-345,-0.249212,-0.249484,-1.233490,-1.232740,0.663542,0.662359,-0.148332,-0.148837,0.000000,0.000000,0.730010,0.730270,0.295049,0.295272,0.000000,0.000000,0.000000,0.000000
-340,-0.455831,-0.456991,-1.211913,-1.210913,0.691814,0.691210,-0.129426,-0.129877,0.000000,0.000000,0.791790,0.792322,0.411141,0.411457,0.000000,0.000000,0.000000,0.000000
-335,-0.664860,-0.666890,-1.173620,-1.172244,0.701299,0.701380,-0.098588,-0.098923,0.000000,0.000000,0.841484,0.842280,0.521452,0.521839,0.000000,0.000000,0.000000,0.000000
-330,-0.869314,-0.872731,-1.114960,-1.112612,0.692229,0.691661,-0.063139,-0.062371,0.000000,0.000000,0.874294,0.873174,0.617685,0.616910,0.000000,0.000000,0.000000,0.000000
-325,-1.060419,-1.063309,-1.036329,-1.034320,0.666087,0.667486,-0.027520,-0.027774,0.000000,0.000000,0.878862,0.880217,0.689468,0.690027,0.000000,0.000000,0.000000,0.000000
-320,-1.225377,-1.228877,-0.933916,-0.931268,0.624001,0.625738,0.000000,0.000000,0.000000,0.000000,0.855368,0.856702,0.730150,0.730688,0.000000,0.000000,0.000000,0.000000
-315,-1.355411,-1.358566,-0.808758,-0.806022,0.574974,0.576819,0.000000,0.000000,0.000000,0.000000,0.802885,0.804195,0.737238,0.737759,0.000000,0.000000,0.000000,0.000000
-310,-1.449228,-1.449595,-0.670729,-0.670229,0.514101,0.514379,0.000000,0.000000,0.000000,0.000000,0.721721,0.722676,0.713427,0.714034,0.000000,0.000000,0.000000,0.000000
-305,-1.510784,-1.513390,-0.529886,-0.527049,0.443329,0.445222,0.000000,0.000000,0.000000,0.000000,0.622338,0.623639,0.668020,0.668512,0.000000,0.000000,0.000000,0.000000
-300,-1.545629,-1.547516,-0.387883,-0.385523,0.369845,0.371411,0.000000,0.000000,0.000000,0.000000,0.507379,0.508476,0.609335,0.609719,0.000000,0.000000,0.000000,0.000000
-295,-1.553520,-1.554995,-0.249050,-0.246913,0.295188,0.296920,0.000000,0.000000,0.000000,0.000000,0.381749,0.382973,0.543998,0.544770,0.000000,0.000000,0.000000,0.000000
-290,-1.550586,-1.551600,-0.118746,-0.116701,0.226508,0.227348,0.000000,0.000000,0.000000,0.000000,0.251756,0.253105,0.483054,0.483636,0.000000,0.000000,0.000000,0.000000
-285,-1.543173,-1.543668,0.003430,0.004754,0.163455,0.164053,0.000000,0.000000,0.000000,0.000000,0.117088,0.117981,0.431088,0.431466,0.000000,0.000000,0.000000,0.000000
-280,-1.539561,-1.539784,0.115296,0.116297,0.111684,0.111996,0.000000,0.000000,0.000000,0.000000,-0.024516,-0.023623,0.391061,0.391519,0.000000,0.000000,0.000000,0.000000
