position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,-5.943181,5.799014,-1.415416,1.595398,5.686385,-5.844619,-3.916404,4.231905,-4.633372,4.320233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,-5.928750,5.746297,-2.039121,2.244060,5.763754,-5.913045,-3.111890,3.373008,-4.882911,4.689208,-0.565910,0.479992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,-5.917501,5.683625,-2.671950,2.902068,5.805159,-5.926800,-2.317768,2.525860,-5.135628,5.047837,-1.127352,0.956635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,-5.880471,5.595011,-3.293834,3.546599,5.785858,-5.880689,-1.536515,1.699384,-5.381252,5.388771,-1.674937,1.421708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,-5.802133,5.472633,-3.887361,4.159952,5.685406,-5.762476,-0.761655,0.883988,-5.611054,5.702006,-2.196241,1.878855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,-5.665896,5.299663,-4.429099,4.722421,5.488233,-5.559585,0.009697,0.082642,-5.820898,5.976101,-2.684209,2.320854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,-5.454714,5.062300,-4.905846,5.218890,5.182061,-5.257715,0.782689,-0.709143,-6.002867,6.197126,-3.128687,2.743241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,-5.150789,4.747742,-5.297917,5.631890,4.749492,-4.845944,1.558392,-1.492557,-6.149568,6.357548,-3.524587,3.142370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,-4.745827,4.338651,-5.596008,5.947006,4.180505,-4.299259,2.351806,-2.266099,-6.259313,6.438149,-3.863846,3.509633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,-4.213838,3.842650,-5.777702,6.161541,3.438843,-3.629299,3.140563,-3.043190,-6.307635,6.439839,-4.127466,3.853196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,-3.600008,3.270197,-5.871596,6.282278,2.575763,-2.833537,3.923468,-3.790157,-6.301126,6.350401,-4.340527,4.164433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
