position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,0.570200,-0.446752,-0.310389,0.156102,-1.382752,1.518564,-0.360285,0.089783,0.377387,-0.109108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,0.606271,-0.452005,-0.210938,0.044161,-1.417006,1.527264,-0.466669,0.242500,0.384739,-0.200705,0.092343,-0.029159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,0.642184,-0.456173,-0.108925,-0.068778,-1.443004,1.528318,-0.571414,0.391075,0.392218,-0.289239,0.182092,-0.058838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,0.678897,-0.457564,-0.009348,-0.180476,-1.456660,1.519021,-0.678753,0.534898,0.401305,-0.369838,0.267663,-0.088269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,0.699504,-0.454774,0.087703,-0.283990,-1.455827,1.503134,-0.777760,0.670448,0.406001,-0.441883,0.342664,-0.120797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,0.713452,-0.447005,0.174741,-0.379603,-1.436477,1.475821,-0.879287,0.799319,0.410705,-0.498386,0.407494,-0.153711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,0.713704,-0.431930,0.249203,-0.463822,-1.396358,1.436762,-0.982190,0.919916,0.414044,-0.535572,0.458800,-0.187754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,0.696151,-0.409216,0.307425,-0.534325,-1.331393,1.385906,-1.086225,1.032045,0.414500,-0.550052,0.493188,-0.223747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,0.658256,-0.377007,0.346400,-0.588647,-1.239264,1.320803,-1.192988,1.134472,0.411857,-0.537196,0.508147,-0.261307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,0.597779,-0.335559,0.364193,-0.626076,-1.117083,1.241015,-1.301811,1.226953,0.404586,-0.494877,0.501706,-0.301086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,0.519654,-0.286641,0.364545,-0.647077,-0.971352,1.145303,-1.409700,1.309589,0.390945,-0.426624,0.477942,-0.342081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
655,0.428511,-0.233828,0.353193,-0.656587,-0.808782,1.038015,-1.510910,1.380721,0.366708,-0.335223,0.441200,-0.383241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
660,0.331701,-0.179457,0.335788,-0.653883,-0.638515,0.917990,-1.602847,1.441078,0.332606,-0.227836,0.397729,-0.424294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
665,0.234338,-0.126338,0.316994,-0.641846,-0.466330,0.787346,-1.680214,1.491024,0.283848,-0.107262,0.351639,-0.464208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
670,0.142866,-0.076808,0.302767,-0.621617,-0.301011,0.647954,-1.739729,1.529216,0.218931,0.021837,0.309492,-0.501386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
675,0.062689,-0.033903,0.297865,-0.595419,-0.150013,0.502257,-1.776661,1.556938,0.135606,0.155297,0.275587,-0.535174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
680,0.000000,0.000000,0.308037,-0.564224,-0.022125,0.351756,-1.788363,1.573809,0.031736,0.289407,0.256065,-0.563669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
685,0.000000,0.000000,0.333619,-0.531166,0.073429,0.198718,-1.777747,1.579789,-0.098858,0.418669,0.251368,-0.588066,0.053842,-0.017888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.373830,-0.495017,0.143855,0.048719,-1.740692,1.574294,-0.247787,0.543228,0.260025,-0.606791,0.122263,-0.040170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
