position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,-8.140479,-7.725080,7.721306,7.407142,-8.288791,-8.041307,12.751392,12.513794,-15.472136,-15.377042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,-9.608895,-9.201904,8.903860,8.609503,-8.463963,-8.243382,11.662227,11.458251,-12.880936,-12.824155,-1.374324,-1.327697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,-10.998461,-10.600083,10.001009,9.724326,-8.603595,-8.407817,10.516543,10.345129,-10.319379,-10.296888,-2.768124,-2.678232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,-12.230184,-11.840119,10.930465,10.673677,-8.627867,-8.457955,9.284361,9.144469,-7.800455,-7.808882,-4.190480,-4.064164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,-13.223368,-12.847686,11.614082,11.371087,-8.473563,-8.321787,7.950156,7.837234,-5.323948,-5.361077,-5.660299,-5.499349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,-13.912906,-13.552079,11.950639,11.719657,-8.055338,-7.920516,6.499993,6.411101,-2.898989,-2.955694,-7.172805,-6.989716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,-14.226884,-13.886019,11.840752,11.620752,-7.306412,-7.184426,4.927013,4.857526,-0.514695,-0.585685,-8.733030,-8.540177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,-14.104845,-13.787773,11.179759,10.967534,-6.159948,-6.046411,3.229010,3.172541,1.834686,1.760975,-10.343512,-10.152627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,-13.484603,-13.196448,9.854370,9.645146,-4.553854,-4.442003,1.403014,1.352660,4.165219,4.099639,-11.999522,-11.828540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,-12.340518,-12.086904,7.795319,7.584710,-2.461848,-2.345269,-0.538018,-0.589340,6.472846,6.427760,-13.679758,-13.546370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,-10.781186,-10.566811,5.114210,4.904263,0.007664,0.133100,-2.527581,-2.586790,8.691891,8.676963,-15.279694,-15.198701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
