position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,-1.347667,-1.349375,-0.664731,-0.668448,-0.917797,-0.916719,-1.801082,-1.797410,-1.113507,-1.112055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,-1.287910,-1.289506,-0.716789,-0.720427,-0.887404,-0.886951,-1.739024,-1.735308,-1.168294,-1.166507,-0.121292,-0.121116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,-1.227633,-1.228675,-0.768182,-0.774607,-0.857484,-0.857367,-1.675249,-1.669040,-1.222865,-1.219648,-0.239213,-0.242026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,-1.164412,-1.166851,-0.820260,-0.827847,-0.835094,-0.831402,-1.605749,-1.604794,-1.271480,-1.267895,-0.361371,-0.357442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,-1.101559,-1.102900,-0.874877,-0.878408,-0.813306,-0.814488,-1.537101,-1.533122,-1.318506,-1.315869,-0.474922,-0.474227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,-1.033186,-1.034417,-0.926662,-0.930113,-0.804148,-0.805480,-1.463886,-1.460476,-1.361273,-1.358462,-0.586913,-0.586164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,-0.959659,-0.960530,-0.976409,-0.980036,-0.806419,-0.808208,-1.389156,-1.385486,-1.399902,-1.397117,-0.695339,-0.694553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,-0.878261,-0.878488,-1.021129,-1.025621,-0.822008,-0.827768,-1.314458,-1.307715,-1.434832,-1.428970,-0.799332,-0.797905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,-0.786929,-0.787902,-1.061768,-1.064750,-0.856493,-0.858917,-1.235490,-1.232282,-1.462821,-1.460325,-0.898041,-0.897275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,-0.685671,-0.686359,-1.094864,-1.097252,-0.906698,-0.909105,-1.159164,-1.156394,-1.487628,-1.485944,-0.992284,-0.991575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,-0.576613,-0.577323,-1.119267,-1.121495,-0.970404,-0.972512,-1.085300,-1.083060,-1.508070,-1.506461,-1.081104,-1.080677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
655,-0.463699,-0.464270,-1.136830,-1.138619,-1.042247,-1.043982,-1.017315,-1.015559,-1.522758,-1.521733,-1.163903,-1.163697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
660,-0.351972,-0.352501,-1.149039,-1.150415,-1.116639,-1.117696,-0.955097,-0.953745,-1.531818,-1.531832,-1.240901,-1.240469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
665,-0.244557,-0.244903,-1.155816,-1.156580,-1.190246,-1.190879,-0.903463,-0.902703,-1.534167,-1.534196,-1.310481,-1.310644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
