position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,0.143294,0.038360,1.247529,1.257257,1.196879,1.163015,-4.997826,-4.900853,2.968511,2.969820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,0.119878,0.024982,1.153359,1.158344,1.456909,1.418212,-4.803962,-4.710832,2.359892,2.375681,0.239311,0.241026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,0.089644,0.003602,1.047697,1.047370,1.721085,1.677342,-4.594182,-4.503918,1.763151,1.792886,0.478498,0.481865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,0.055018,-0.021630,0.930586,0.923421,1.979170,1.931263,-4.366475,-4.279700,1.183209,1.225834,0.714933,0.719776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,0.018933,-0.049134,0.800975,0.788079,2.227705,2.175752,-4.119631,-4.037150,0.623901,0.676448,0.944244,0.949757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,-0.016079,-0.075747,0.659996,0.642788,2.460066,2.405194,-3.853438,-3.777030,0.088206,0.146950,1.162222,1.167584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,-0.046712,-0.099251,0.510147,0.488210,2.672114,2.615427,-3.569159,-3.498472,-0.422444,-0.360835,1.364381,1.368807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,-0.071215,-0.116242,0.350452,0.327449,2.860266,2.804738,-3.264407,-3.203232,-0.904917,-0.845004,1.545145,1.547649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,-0.086450,-0.124990,0.184056,0.160783,3.022006,2.969654,-2.942285,-2.888797,-1.357260,-1.306483,1.701207,1.700452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,-0.088693,-0.120873,0.014098,-0.005425,3.148493,3.104542,-2.604011,-2.561174,-1.774723,-1.738740,1.829439,1.823958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,-0.087976,-0.113748,-0.163188,-0.177555,3.253046,3.220120,-2.239104,-2.205527,-2.165565,-2.148196,1.918712,1.908208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
655,-0.077238,-0.098138,-0.334441,-0.340935,3.317276,3.299083,-1.862868,-1.838590,-2.515754,-2.518738,1.974080,1.957934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
660,-0.063130,-0.078567,-0.497357,-0.495332,3.344856,3.341795,-1.472382,-1.454375,-2.827186,-2.851093,1.989708,1.969141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
665,-0.046262,-0.056869,-0.645150,-0.632983,3.329612,3.345403,-1.070916,-1.060042,-3.094803,-3.137439,1.963753,1.939331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
670,-0.028784,-0.035380,-0.771791,-0.751718,3.273110,3.304511,-0.661220,-0.653823,-3.317410,-3.373925,1.893253,1.867086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
675,-0.013788,-0.016581,-0.873348,-0.846610,3.171143,3.215453,-0.242264,-0.236794,-3.491523,-3.556862,1.774634,1.749197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
680,0.000000,0.000000,-0.939403,-0.909097,3.021675,3.073680,0.177166,0.181322,-3.612928,-3.679048,1.608631,1.586933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
685,0.000000,0.000000,-0.965199,-0.935933,2.828178,2.880111,0.591161,0.593983,-3.699951,-3.757948,1.378692,1.364201,0.095172,0.096709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
690,0.000000,0.000000,-0.957622,-0.931996,2.591091,2.637167,0.999833,0.999666,-3.739451,-3.783300,1.099901,1.094273,0.219491,0.222781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
695,0.000000,0.000000,-0.923127,-0.904017,2.317492,2.351758,1.399161,1.394885,-3.729667,-3.756528,0.776996,0.783045,0.367212,0.372385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
700,0.000000,0.000000,-0.864246,-0.853686,2.014752,2.033867,1.782182,1.771251,-3.672438,-3.680170,0.421034,0.438691,0.533819,0.540843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
705,0.000000,0.000000,-0.788959,-0.787413,1.688951,1.690291,2.146282,2.127403,-3.567097,-3.556673,0.036940,0.065801,0.713401,0.722053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,0.000000,0.000000,-0.701040,-0.708847,1.346186,1.330102,2.487027,2.458031,-3.414583,-3.387803,-0.367789,-0.328294,0.899762,0.910485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
715,0.000000,0.000000,-0.606837,-0.622386,0.994792,0.962335,2.797535,2.758582,-3.214707,-3.175786,-0.786473,-0.738074,1.088405,1.100681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
720,0.000000,0.000000,-0.510115,-0.531584,0.641241,0.596339,3.073228,3.024788,-2.969928,-2.923520,-1.211262,-1.156320,1.273869,1.287498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
725,0.000000,0.000000,-0.417917,-0.442075,0.291641,0.239101,3.310375,3.254390,-2.679599,-2.631187,-1.636575,-1.577256,1.449137,1.463989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
730,0.000000,0.000000,-0.331284,-0.355258,-0.045988,-0.101193,3.502330,3.441455,-2.350323,-2.304559,-2.051279,-1.989888,1.607612,1.623493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
735,0.000000,0.000000,-0.252341,-0.274297,-0.364291,-0.419156,3.645842,3.581143,-1.987384,-1.946542,-2.446336,-2.383265,1.740646,1.757816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
740,0.000000,0.000000,-0.182919,-0.199924,-0.655355,-0.706449,3.735812,3.670422,-1.596378,-1.563265,-2.810277,-2.747466,1.840349,1.859023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
745,0.000000,0.000000,-0.121638,-0.135153,-0.909967,-0.955589,3.768467,3.703027,-1.183833,-1.159012,-3.135244,-3.072107,1.899199,1.918944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
750,0.000000,0.000000,-0.070805,-0.079407,-1.118424,-1.158011,3.740307,3.675727,-0.758670,-0.742774,-3.410631,-3.346861,1.908599,1.930051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
755,0.000000,0.000000,-0.030143,-0.033927,-1.271317,-1.304521,3.648315,3.586004,-0.326720,-0.319507,-3.626516,-3.563432,1.860691,1.883749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
760,0.000000,0.000000,0.000000,0.000000,-1.359019,-1.387098,3.490742,3.430500,0.106740,0.105116,-3.775546,-3.711369,1.746722,1.771621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
765,0.000000,0.000000,0.000000,0.000000,-1.372327,-1.396628,3.272492,3.215121,0.531302,0.521923,-3.865167,-3.801025,1.550501,1.576752,0.072557,0.072478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
770,0.000000,0.000000,0.000000,0.000000,-1.324086,-1.346248,2.995502,2.940662,0.942362,0.925430,-3.888378,-3.823831,1.286055,1.314277,0.168824,0.168826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
775,0.000000,0.000000,0.000000,0.000000,-1.229180,-1.250466,2.669874,2.617161,1.341106,1.317375,-3.848099,-3.783680,0.961466,0.991634,0.285642,0.285861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
780,0.000000,0.000000,0.000000,0.000000,-1.096898,-1.117888,2.308367,2.258288,1.718792,1.688377,-3.749070,-3.685527,0.589378,0.622088,0.422717,0.423442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
785,0.000000,0.000000,0.000000,0.000000,-0.941179,-0.962351,1.921454,1.873684,2.072546,2.036108,-3.595400,-3.533679,0.178823,0.214570,0.577343,0.579031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
790,0.000000,0.000000,0.000000,0.000000,-0.774981,-0.796297,1.519690,1.474084,2.399353,2.357427,-3.390991,-3.332184,-0.260669,-0.221067,0.747305,0.750514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
