position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,-1.185000,-1.208076,2.887141,2.836248,-0.244161,-0.230145,-2.152608,-2.102598,0.160973,0.180822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
605,-1.230345,-1.251585,2.747101,2.696487,0.161583,0.165896,-2.341731,-2.288223,0.088515,0.117376,0.059340,0.063636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
610,-1.280165,-1.300155,2.591079,2.539686,0.568260,0.563090,-2.508820,-2.451475,0.018015,0.055638,0.124409,0.132844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
615,-1.327326,-1.346512,2.415986,2.362814,0.968101,0.953816,-2.647950,-2.586971,-0.058525,-0.013164,0.196185,0.208269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
620,-1.364612,-1.383182,2.219774,2.165703,1.355305,1.332329,-2.752167,-2.689174,-0.149145,-0.098391,0.275337,0.290261,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
625,-1.384673,-1.402172,2.000553,1.946854,1.724456,1.694079,-2.815775,-2.753288,-0.263293,-0.210046,0.361922,0.378408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
630,-1.379161,-1.396120,1.758893,1.705236,2.070808,2.034515,-2.833468,-2.772265,-0.410298,-0.357200,0.456358,0.473129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
635,-1.341206,-1.357250,1.492131,1.441247,2.389663,2.350812,-2.796506,-2.740119,-0.597219,-0.549084,0.559375,0.574682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
640,-1.263367,-1.278713,1.199709,1.152700,2.677091,2.638717,-2.698280,-2.647904,-0.832260,-0.792887,0.672125,0.684209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
645,-1.140574,-1.154567,0.882742,0.843314,2.924120,2.891754,-2.535335,-2.494162,-1.113737,-1.088757,0.797238,0.803869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
650,-0.989084,-1.001714,0.541518,0.511048,3.141597,3.118655,-2.299891,-2.267835,-1.439338,-1.431127,0.920588,0.920738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
655,-0.813086,-0.823812,0.195829,0.176615,3.310253,3.300844,-2.012965,-1.990553,-1.781371,-1.791550,1.042127,1.034961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
660,-0.627210,-0.635795,-0.146266,-0.153329,3.431547,3.437984,-1.678116,-1.664303,-2.127958,-2.155907,1.150225,1.136239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
665,-0.441980,-0.448157,-0.471965,-0.466529,3.501215,3.524768,-1.305945,-1.299275,-2.462813,-2.506626,1.237301,1.217197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
670,-0.268561,-0.272525,-0.768361,-0.752254,3.517785,3.556282,-0.905415,-0.903523,-2.772864,-2.827358,1.293194,1.269203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
675,-0.118557,-0.120326,-1.023947,-0.998787,3.477950,3.529152,-0.483468,-0.484930,-3.044260,-3.104660,1.307388,1.281651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
680,0.000000,0.000000,-1.220990,-1.190532,3.380862,3.438935,-0.054804,-0.058262,-3.263657,-3.322541,1.271880,1.247678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
685,0.000000,0.000000,-1.334722,-1.303235,3.246683,3.304043,0.381651,0.376343,-3.430081,-3.479611,1.171953,1.153148,0.039519,0.041109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
690,0.000000,0.000000,-1.394012,-1.365646,3.051025,3.101163,0.811203,0.803564,-3.536236,-3.571253,1.013649,1.002431,0.091969,0.095019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
695,0.000000,0.000000,-1.406469,-1.383871,2.801396,2.839045,1.232212,1.220391,-3.583477,-3.600573,0.801496,0.799867,0.157236,0.162279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
700,0.000000,0.000000,-1.374791,-1.360110,2.507609,2.529029,1.635703,1.618328,-3.573007,-3.571638,0.543752,0.552516,0.237711,0.244648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
705,0.000000,0.000000,-1.307717,-1.302099,2.176109,2.178954,2.021230,1.996266,-3.506661,-3.487143,0.244235,0.263709,0.333184,0.342035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
710,0.000000,0.000000,-1.210791,-1.214278,1.814915,1.800146,2.382028,2.348837,-3.385354,-3.351393,-0.090195,-0.060880,0.445331,0.455723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
715,0.000000,0.000000,-1.091629,-1.103124,1.432412,1.399713,2.715137,2.672901,-3.212523,-3.166394,-0.453857,-0.416519,0.574326,0.586735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
720,0.000000,0.000000,-0.956668,-0.974057,1.035430,0.989538,3.015075,2.964257,-2.990073,-2.937482,-0.841707,-0.796809,0.721905,0.735807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
725,0.000000,0.000000,-0.814337,-0.834819,0.630380,0.576508,3.278829,3.221275,-2.719616,-2.665811,-1.247650,-1.197854,0.885508,0.900845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
730,0.000000,0.000000,-0.669411,-0.690230,0.227391,0.170779,3.499890,3.437958,-2.407833,-2.357392,-1.659283,-1.606529,1.056225,1.072937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
735,0.000000,0.000000,-0.527184,-0.546443,-0.163523,-0.219635,3.674477,3.609141,-2.060976,-2.016025,-2.064319,-2.009476,1.221496,1.240396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
740,0.000000,0.000000,-0.392995,-0.409205,-0.532934,-0.583641,3.797468,3.732037,-1.683588,-1.647717,-2.450442,-2.394412,1.370372,1.391124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
745,0.000000,0.000000,-0.268413,-0.280462,-0.866612,-0.912864,3.864094,3.797885,-1.284611,-1.256813,-2.805596,-2.747711,1.489950,1.511260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
750,0.000000,0.000000,-0.159369,-0.167081,-1.154932,-1.194370,3.871433,3.805581,-0.871229,-0.852635,-3.117951,-3.058330,1.568132,1.591106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
755,0.000000,0.000000,-0.068624,-0.072185,-1.384966,-1.417160,3.815662,3.751805,-0.449604,-0.439998,-3.375230,-3.315479,1.592819,1.617258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
760,0.000000,0.000000,0.000000,0.000000,-1.544454,-1.571100,3.695290,3.633283,-0.025051,-0.024959,-3.567695,-3.505438,1.550758,1.576694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
765,0.000000,0.000000,0.000000,0.000000,-1.616836,-1.638830,3.519829,3.460178,0.398209,0.390181,-3.692189,-3.628998,1.428925,1.455601,0.032821,0.033182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
770,0.000000,0.000000,0.000000,0.000000,-1.621373,-1.640415,3.280232,3.222772,0.809466,0.793692,-3.746229,-3.682106,1.236260,1.264205,0.078380,0.079243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
775,0.000000,0.000000,0.000000,0.000000,-1.570923,-1.588127,2.984074,2.928685,1.211901,1.189245,-3.734170,-3.670026,0.980241,1.009226,0.137013,0.138769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
780,0.000000,0.000000,0.000000,0.000000,-1.472651,-1.488849,2.643905,2.590369,1.596104,1.566778,-3.661531,-3.597586,0.672956,0.703326,0.212147,0.215059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
785,0.000000,0.000000,0.000000,0.000000,-1.339497,-1.355198,2.267107,2.215654,1.961420,1.926017,-3.533317,-3.470819,0.322809,0.355141,0.304672,0.309267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
790,0.000000,0.000000,0.000000,0.000000,-1.183311,-1.198692,1.862541,1.813293,2.305822,2.264780,-3.354187,-3.294221,-0.061376,-0.026261,0.415964,0.422853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
795,0.000000,0.000000,0.000000,0.000000,-1.014675,-1.029678,1.439157,1.392387,2.625482,2.579059,-3.130168,-3.073844,-0.470223,-0.431114,0.547784,0.557700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
800,0.000000,0.000000,0.000000,0.000000,-0.845312,-0.859641,1.006769,0.961871,2.917599,2.865672,-2.868385,-2.816431,-0.895294,-0.850362,0.701380,0.715362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
805,0.000000,0.000000,0.000000,0.000000,-0.686222,-0.699205,0.572599,0.529904,3.179983,3.122660,-2.572684,-2.526473,-1.329429,-1.277344,0.874312,0.893503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
810,0.000000,0.000000,0.000000,0.000000,-0.539953,-0.550963,0.147031,0.106489,3.404448,3.343641,-2.249500,-2.211131,-1.759267,-1.699881,1.057042,1.080895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
815,0.000000,0.000000,0.000000,0.000000,-0.409360,-0.418414,-0.261508,-0.300353,3.587049,3.521044,-1.900226,-1.868678,-2.176221,-2.109197,1.233837,1.262919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
820,0.000000,0.000000,0.000000,0.000000,-0.294176,-0.300934,-0.640612,-0.677641,3.718902,3.650175,-1.530554,-1.507600,-2.567677,-2.494250,1.393008,1.426213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
825,0.000000,0.000000,0.000000,0.000000,-0.195436,-0.200084,-0.979579,-1.014649,3.795706,3.724222,-1.145064,-1.129348,-2.922372,-2.845188,1.520574,1.555836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
830,0.000000,0.000000,0.000000,0.000000,-0.112503,-0.115259,-1.264378,-1.297272,3.810507,3.738173,-0.751178,-0.742412,-3.228668,-3.150747,1.603842,1.639780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
835,0.000000,0.000000,0.000000,0.000000,-0.047901,-0.048821,-1.486878,-1.517815,3.760036,3.688509,-0.345962,-0.341871,-3.477381,-3.403405,1.626740,1.660267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.631852,-1.659407,3.636997,3.571150,0.062349,0.062301,-3.655612,-3.589751,1.577817,1.605379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.686452,-1.710022,3.447570,3.391506,0.465491,0.465865,-3.760922,-3.710665,1.444338,1.462333,0.040015,0.038038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
