position,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_119,SAT_120,SAT_121,SAT_122,SAT_123,SAT_124,SAT_125,SAT_126,SAT_127,SAT_128,SAT_129,SAT_130,SAT_131,SAT_132,SAT_133,SAT_134,SAT_135,SAT_136,SAT_137,SAT_138
600,1.089329,1.090725,0.247333,0.2504,-2.762785,-2.763662,0.47016,0.467292,1.514213,1.513104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1.074573,1.075861,0.382496,0.385446,-2.711861,-2.712273,0.165194,0.16223,1.556003,1.554512,0.186508,0.186287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,1.058574,1.059762,0.517264,0.520144,-2.655948,-2.655825,-0.138541,-0.141686,1.594939,1.593052,0.370407,0.369995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,1.040279,1.041242,0.650933,0.653797,-2.590677,-2.590077,-0.440811,-0.443982,1.626706,1.624824,0.548679,0.548034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,1.017931,1.019079,0.782733,0.785677,-2.51221,-2.509971,-0.74015,-0.744786,1.648758,1.645557,0.718244,0.717069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0.98851,0.989097,0.909226,0.912053,-2.409127,-2.407062,-1.035697,-1.039875,1.654639,1.652542,0.875047,0.874249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0.949849,0.950709,1.028711,1.031602,-2.281907,-2.280149,-1.323918,-1.32703,1.644713,1.642202,1.017694,1.016868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0.897725,0.898557,1.136293,1.138913,-2.121218,-2.119327,-1.599703,-1.602563,1.614802,1.612453,1.14315,1.142349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0.829301,0.830099,1.228002,1.230447,-1.924669,-1.922694,-1.85971,-1.862302,1.564853,1.562859,1.249972,1.249354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0.741732,0.742452,1.299738,1.301728,-1.690818,-1.68887,-2.099436,-2.101722,1.494176,1.492699,1.337441,1.336779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,0.638125,0.63874,1.350983,1.352681,-1.426602,-1.425154,-2.314814,-2.316578,1.403515,1.402765,1.407199,1.407172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,0.523541,0.524031,1.384544,1.385792,-1.143278,-1.142417,-2.503121,-2.504458,1.293635,1.293718,1.46308,1.463387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,0.404285,0.404717,1.404883,1.404948,-0.850991,-0.850786,-2.664028,-2.664732,1.165487,1.166353,1.508357,1.509092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,0.284561,0.285607,1.413255,1.413593,-0.55764,-0.558461,-2.792989,-2.793225,1.018426,1.019323,1.54492,1.545423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,0.174283,0.174434,1.417495,1.417188,-0.274311,-0.275175,-2.893532,-2.89417,0.852689,0.854833,1.577258,1.578485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,0.07688,0.076991,1.420502,1.419781,-0.007658,-0.009259,-2.963032,-2.963055,0.668577,0.670521,1.608018,1.608897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,0,0,1.428113,1.427165,0.23348,0.23168,-3.002122,-3.002005,0.465334,0.467125,1.640731,1.64146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,0,0,1.432401,1.430771,0.431963,0.430167,-3.02344,-3.022361,0.221648,0.222318,1.661633,1.661498,0.098736,0.098387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,0,0,1.447464,1.44658,0.609277,0.607941,-3.012326,-3.011673,-0.047085,-0.046559,1.677715,1.677507,0.225036,0.224695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,0,0,1.465912,1.465257,0.767137,0.766333,-2.965461,-2.964349,-0.335758,-0.336097,1.686593,1.685698,0.371453,0.37099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,0,1.481052,1.480699,0.907794,0.907747,-2.881398,-2.879929,-0.639445,-0.640624,1.686032,1.684511,0.530964,0.530309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,0,0,1.483849,1.483954,1.03136,1.032108,-2.755736,-2.753784,-0.951619,-0.953585,1.672908,1.670857,0.695786,0.694963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,0,0,1.46691,1.467512,1.138964,1.139774,-2.588385,-2.584854,-1.265123,-1.268472,1.645494,1.64251,0.858094,0.857726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,0,0,1.420474,1.421252,1.227129,1.229375,-2.372023,-2.369252,-1.573991,-1.576925,1.600797,1.598131,1.012264,1.011373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,0,0,1.33769,1.338686,1.298215,1.300839,-2.111372,-2.108484,-1.868856,-1.871842,1.538751,1.536221,1.14992,1.149137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,0,0,1.213551,1.214699,1.351055,1.35381,-1.80763,-1.804865,-2.142765,-2.14552,1.459663,1.457508,1.267393,1.266758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0,0,1.054246,1.055736,1.386009,1.388596,-1.471209,-1.469058,-2.38972,-2.391851,1.36213,1.360284,1.365065,1.364896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,0,0,0.8708,0.871809,1.404532,1.40644,-1.115514,-1.114097,-2.605868,-2.607198,1.246055,1.245167,1.446617,1.446252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,0,0,0.674567,0.675418,1.410501,1.412094,-0.753535,-0.75248,-2.787039,-2.788416,1.110141,1.110048,1.514052,1.514191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,0,0,0.477295,0.477912,1.407564,1.408495,-0.396126,-0.396,-2.931466,-2.932313,0.953517,0.954227,1.57053,1.570973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0.290692,0.290557,1.400314,1.400437,-0.053933,-0.056563,-3.037495,-3.036921,0.774955,0.776586,1.619073,1.620807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,0,0,0.128372,0.128711,1.392827,1.392437,0.258823,0.25813,-3.102578,-3.103327,0.57553,0.577164,1.664414,1.665983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,0,1.389407,1.388545,0.535582,0.533567,-3.123714,-3.123721,0.351589,0.353646,1.709783,1.710646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,0,0,0,0,1.376266,1.375118,0.747422,0.745116,-3.120192,-3.120194,0.078482,0.080565,1.737307,1.73818,0.123254,0.123251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,0,0,0,0,1.376126,1.374217,0.929614,0.927613,-3.073145,-3.072897,-0.222978,-0.221618,1.758288,1.759057,0.280972,0.280604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,0,0,0,0,1.378466,1.377277,1.085684,1.083474,-2.982197,-2.982337,-0.546052,-0.544366,1.770998,1.771729,0.462167,0.462157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,0,0,0,1.377768,1.376723,1.216809,1.214925,-2.849668,-2.849855,-0.880751,-0.879337,1.7729,1.773529,0.655703,0.655713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,0,0,0,0,1.366915,1.366097,1.326368,1.32487,-2.678851,-2.679118,-1.21949,-1.218411,1.76302,1.763519,0.851035,0.851068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,0,0,0,0,1.337498,1.336893,1.415234,1.414147,-2.470174,-2.470547,-1.552713,-1.551873,1.737895,1.738329,1.036114,1.036247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,0,0,0,0,1.284038,1.283718,1.487291,1.486683,-2.2275,-2.227786,-1.87099,-1.870521,1.697375,1.697674,1.200888,1.200992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,1.199454,1.199385,1.54405,1.543824,-1.954058,-1.954359,-2.164231,-2.163927,1.639519,1.639822,1.33408,1.334177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,0,0,0,0,1.080712,1.080849,1.588436,1.589124,-1.657237,-1.654286,-2.422648,-2.424948,1.565722,1.564152,1.429836,1.429753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,0,0,0,0,0.933761,0.934042,1.620357,1.620532,-1.339672,-1.339875,-2.64671,-2.646738,1.47333,1.473666,1.490008,1.489943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0.768244,0.768443,1.640894,1.64111,-1.015745,-1.016048,-2.831863,-2.831832,1.364331,1.364611,1.52477,1.524919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0.59352,0.593729,1.651387,1.651611,-0.691135,-0.691422,-2.979253,-2.979311,1.236368,1.236649,1.54059,1.54072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,0,0,0,0,0.419059,0.419222,1.653085,1.653306,-0.373696,-0.373988,-3.088558,-3.088595,1.088677,1.088922,1.54486,1.545073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0.255575,0.255673,1.649595,1.649705,-0.070633,-0.070832,-3.162335,-3.162412,0.920961,0.921192,1.546523,1.546601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,0,0,0,0,0.112439,0.112517,1.642393,1.642358,0.211765,0.21155,-3.200939,-3.200953,0.730997,0.731249,1.552538,1.552662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,1.634485,1.634437,0.467643,0.46752,-3.206469,-3.206476,0.516815,0.516962,1.571239,1.571303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0,1.615527,1.616297,0.6782,0.678188,-3.195247,-3.196365,0.251593,0.253093,1.588326,1.587901,0.111948,0.112595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,1.601424,1.601097,0.869508,0.869577,-3.151309,-3.151186,-0.044163,-0.04425,1.611578,1.611468,0.25574,0.25584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,0,0,0,0,0,0,1.586217,1.586161,1.041554,1.041703,-3.071914,-3.071781,-0.364588,-0.364821,1.63548,1.635376,0.420638,0.420602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,1.565159,1.565143,1.195617,1.195824,-2.956454,-2.956274,-0.701688,-0.702034,1.65568,1.655557,0.59767,0.597655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,0,0,0,0,0,0,1.531248,1.531288,1.329932,1.330223,-2.801903,-2.801639,-1.04662,-1.047064,1.665805,1.665609,0.776641,0.776607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,0,0,0,0,0,0,1.479684,1.479775,1.444682,1.445079,-2.608574,-2.608098,-1.390608,-1.391197,1.661937,1.661606,0.948608,0.948543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,0,0,0,0,0,0,1.404404,1.404552,1.538309,1.538799,-2.375212,-2.374689,-1.722814,-1.723447,1.639852,1.639413,1.1045,1.10439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,1.299857,1.300019,1.60952,1.610079,-2.1034,-2.102743,-2.033309,-2.033964,1.596562,1.595984,1.235583,1.235402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,1.162147,1.16338,1.657169,1.656841,-1.792217,-1.796889,-2.315108,-2.310981,1.531136,1.531849,1.337281,1.336595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
